[1275, 750]
[folio, [220.0, 89.0, 294.0, 18.0], 0rtIZ4u8Ph, 5767534]
[folio, [220.0, 107.0, 294.0, 18.0], 0rtIZ4u8Ph, 5767534]
[paragraph, [64.0, 153.0, 620.0, 18.0], shoonya_0sH97QSSIO6H3P, 5767534]
[paragraph, [64.0, 171.0, 620.0, 18.0], shoonya_0sH97QSSIO6H3P, 5767534]
[paragraph, [64.0, 189.0, 620.0, 18.0], shoonya_0sH97QSSIO6H3P, 5767534]
[paragraph, [64.0, 207.0, 620.0, 18.0], shoonya_0sH97QSSIO6H3P, 5767534]
[paragraph, [64.0, 225.0, 620.0, 18.0], shoonya_0sH97QSSIO6H3P, 5767534]
[paragraph, [64.0, 243.0, 620.0, 18.0], shoonya_0sH97QSSIO6H3P, 5767534]
[paragraph, [64.0, 261.0, 620.0, 18.0], shoonya_0sH97QSSIO6H3P, 5767534]
[paragraph, [64.0, 279.0, 620.0, 18.0], shoonya_0sH97QSSIO6H3P, 5767534]
[paragraph, [64.0, 297.0, 620.0, 18.0], shoonya_0sH97QSSIO6H3P, 5767534]
[paragraph, [64.0, 315.0, 620.0, 18.0], shoonya_0sH97QSSIO6H3P, 5767534]
[paragraph, [64.0, 333.0, 620.0, 18.0], shoonya_0sH97QSSIO6H3P, 5767534]
[paragraph, [64.0, 351.0, 620.0, 18.0], shoonya_0sH97QSSIO6H3P, 5767534]
[paragraph, [64.0, 369.0, 620.0, 18.0], shoonya_0sH97QSSIO6H3P, 5767534]
[paragraph, [64.0, 387.0, 620.0, 18.0], shoonya_0sH97QSSIO6H3P, 5767534]
[paragraph, [64.0, 405.0, 620.0, 18.0], shoonya_0sH97QSSIO6H3P, 5767534]
[paragraph, [67.0, 438.0, 619.0, 18.0], shoonya_2s2TV6A6HCR9ZD, 5767534]
[paragraph, [67.0, 456.0, 619.0, 18.0], shoonya_2s2TV6A6HCR9ZD, 5767534]
[paragraph, [67.0, 474.0, 619.0, 18.0], shoonya_2s2TV6A6HCR9ZD, 5767534]
[paragraph, [67.0, 492.0, 619.0, 18.0], shoonya_2s2TV6A6HCR9ZD, 5767534]
[paragraph, [67.0, 510.0, 619.0, 18.0], shoonya_2s2TV6A6HCR9ZD, 5767534]
[paragraph, [67.0, 528.0, 619.0, 18.0], shoonya_2s2TV6A6HCR9ZD, 5767534]
[paragraph, [67.0, 546.0, 619.0, 18.0], shoonya_2s2TV6A6HCR9ZD, 5767534]
[paragraph, [67.0, 564.0, 619.0, 18.0], shoonya_2s2TV6A6HCR9ZD, 5767534]
[paragraph, [67.0, 582.0, 619.0, 18.0], shoonya_2s2TV6A6HCR9ZD, 5767534]
[paragraph, [67.0, 600.0, 619.0, 18.0], shoonya_2s2TV6A6HCR9ZD, 5767534]
[paragraph, [67.0, 618.0, 619.0, 18.0], shoonya_2s2TV6A6HCR9ZD, 5767534]
[paragraph, [67.0, 636.0, 619.0, 18.0], shoonya_2s2TV6A6HCR9ZD, 5767534]
[paragraph, [74.0, 669.0, 618.0, 18.0], shoonya_1sVBYPH9OMGSLW, 5767534]
[paragraph, [74.0, 687.0, 618.0, 18.0], shoonya_1sVBYPH9OMGSLW, 5767534]
[paragraph, [74.0, 705.0, 618.0, 18.0], shoonya_1sVBYPH9OMGSLW, 5767534]
[paragraph, [74.0, 723.0, 618.0, 18.0], shoonya_1sVBYPH9OMGSLW, 5767534]
[paragraph, [74.0, 741.0, 618.0, 18.0], shoonya_1sVBYPH9OMGSLW, 5767534]
[paragraph, [74.0, 759.0, 618.0, 18.0], shoonya_1sVBYPH9OMGSLW, 5767534]
[paragraph, [74.0, 777.0, 618.0, 18.0], shoonya_1sVBYPH9OMGSLW, 5767534]
[paragraph, [74.0, 795.0, 618.0, 18.0], shoonya_1sVBYPH9OMGSLW, 5767534]
[paragraph, [74.0, 813.0, 618.0, 18.0], shoonya_1sVBYPH9OMGSLW, 5767534]
[paragraph, [74.0, 831.0, 618.0, 18.0], shoonya_1sVBYPH9OMGSLW, 5767534]
[paragraph, [74.0, 849.0, 618.0, 18.0], shoonya_1sVBYPH9OMGSLW, 5767534]
[paragraph, [74.0, 867.0, 618.0, 18.0], shoonya_1sVBYPH9OMGSLW, 5767534]
[paragraph, [74.0, 885.0, 618.0, 18.0], shoonya_1sVBYPH9OMGSLW, 5767534]
[paragraph, [74.0, 903.0, 618.0, 18.0], shoonya_1sVBYPH9OMGSLW, 5767534]
[paragraph, [72.0, 943.0, 621.0, 18.0], rD7PujhyCr, 5767534]
[paragraph, [72.0, 961.0, 621.0, 18.0], rD7PujhyCr, 5767534]
[paragraph, [72.0, 979.0, 621.0, 18.0], rD7PujhyCr, 5767534]
[paragraph, [72.0, 997.0, 621.0, 18.0], rD7PujhyCr, 5767534]
[paragraph, [72.0, 1015.0, 621.0, 18.0], rD7PujhyCr, 5767534]
[paragraph, [72.0, 1033.0, 621.0, 18.0], rD7PujhyCr, 5767534]
[paragraph, [72.0, 1051.0, 621.0, 18.0], rD7PujhyCr, 5767534]
[paragraph, [72.0, 1069.0, 621.0, 18.0], rD7PujhyCr, 5767534]
[paragraph, [72.0, 1087.0, 621.0, 18.0], rD7PujhyCr, 5767534]
[paragraph, [72.0, 1105.0, 621.0, 18.0], rD7PujhyCr, 5767534]
[paragraph, [72.0, 1123.0, 621.0, 18.0], rD7PujhyCr, 5767534]
[paragraph, [72.0, 1141.0, 621.0, 18.0], rD7PujhyCr, 5767534]
[paragraph, [72.0, 1159.0, 621.0, 18.0], rD7PujhyCr, 5767534]
