[3960, 3060]
[answer, [379.0, 777.0, 2320.0, 52.5], shoonya_0sSC4NIB3A32QB, 5698511]
[answer, [379.0, 829.5, 2320.0, 52.5], shoonya_0sSC4NIB3A32QB, 5698511]
[answer, [379.0, 882.0, 2320.0, 52.5], shoonya_0sSC4NIB3A32QB, 5698511]
[answer, [379.0, 934.5, 2320.0, 52.5], shoonya_0sSC4NIB3A32QB, 5698511]
[answer, [379.0, 987.0, 2320.0, 52.5], shoonya_0sSC4NIB3A32QB, 5698511]
[answer, [379.0, 1039.5, 2320.0, 52.5], shoonya_0sSC4NIB3A32QB, 5698511]
[answer, [379.0, 1092.0, 2320.0, 52.5], shoonya_0sSC4NIB3A32QB, 5698511]
[answer, [379.0, 1144.5, 2320.0, 52.5], shoonya_0sSC4NIB3A32QB, 5698511]
[answer, [379.0, 1197.0, 2320.0, 52.5], shoonya_0sSC4NIB3A32QB, 5698511]
[answer, [379.0, 1249.5, 2320.0, 52.5], shoonya_0sSC4NIB3A32QB, 5698511]
[answer, [379.0, 1302.0, 2320.0, 52.5], shoonya_0sSC4NIB3A32QB, 5698511]
[answer, [379.0, 1354.5, 2320.0, 52.5], shoonya_0sSC4NIB3A32QB, 5698511]
[answer, [379.0, 1407.0, 2320.0, 52.5], shoonya_0sSC4NIB3A32QB, 5698511]
[answer, [379.0, 1459.5, 2320.0, 52.5], shoonya_0sSC4NIB3A32QB, 5698511]
[answer, [379.0, 1512.0, 2320.0, 52.5], shoonya_0sSC4NIB3A32QB, 5698511]
[answer, [379.0, 1564.5, 2320.0, 52.5], shoonya_0sSC4NIB3A32QB, 5698511]
[answer, [379.0, 1617.0, 2320.0, 52.5], shoonya_0sSC4NIB3A32QB, 5698511]
[answer, [379.0, 1669.5, 2320.0, 52.5], shoonya_0sSC4NIB3A32QB, 5698511]
[answer, [379.0, 1722.0, 2320.0, 52.5], shoonya_0sSC4NIB3A32QB, 5698511]
[answer, [379.0, 1774.5, 2320.0, 52.5], shoonya_0sSC4NIB3A32QB, 5698511]
[answer, [379.0, 1827.0, 2320.0, 52.5], shoonya_0sSC4NIB3A32QB, 5698511]
[answer, [379.0, 1879.5, 2320.0, 52.5], shoonya_0sSC4NIB3A32QB, 5698511]
[answer, [379.0, 1932.0, 2320.0, 52.5], shoonya_0sSC4NIB3A32QB, 5698511]
[answer, [379.0, 1984.5, 2320.0, 52.5], shoonya_0sSC4NIB3A32QB, 5698511]
[answer, [379.0, 2037.0, 2320.0, 52.5], shoonya_0sSC4NIB3A32QB, 5698511]
[answer, [379.0, 2089.5, 2320.0, 52.5], shoonya_0sSC4NIB3A32QB, 5698511]
[answer, [379.0, 2142.0, 2320.0, 52.5], shoonya_0sSC4NIB3A32QB, 5698511]
[answer, [379.0, 2194.5, 2320.0, 52.5], shoonya_0sSC4NIB3A32QB, 5698511]
[answer, [379.0, 2247.0, 2320.0, 52.5], shoonya_0sSC4NIB3A32QB, 5698511]
[paragraph, [435.0, 1053.0, 2151.0, 52.5], t54-JfHHz4, 5698511]
[paragraph, [435.0, 1105.5, 2151.0, 52.5], t54-JfHHz4, 5698511]
[paragraph, [435.0, 1158.0, 2151.0, 52.5], t54-JfHHz4, 5698511]
[paragraph, [435.0, 1210.5, 2151.0, 52.5], t54-JfHHz4, 5698511]
[paragraph, [454.0, 1307.0, 2142.0, 52.5], OtqtaxXx1R, 5698511]
[paragraph, [454.0, 1359.5, 2142.0, 52.5], OtqtaxXx1R, 5698511]
[paragraph, [454.0, 1412.0, 2142.0, 52.5], OtqtaxXx1R, 5698511]
[paragraph, [454.0, 1464.5, 2142.0, 52.5], OtqtaxXx1R, 5698511]
[paragraph, [454.0, 1517.0, 2142.0, 52.5], OtqtaxXx1R, 5698511]
[paragraph, [454.0, 1569.5, 2142.0, 52.5], OtqtaxXx1R, 5698511]
[paragraph, [454.0, 1622.0, 2142.0, 52.5], OtqtaxXx1R, 5698511]
[paragraph, [454.0, 1674.5, 2142.0, 52.5], OtqtaxXx1R, 5698511]
[paragraph, [454.0, 1727.0, 2142.0, 52.5], OtqtaxXx1R, 5698511]
[paragraph, [454.0, 1779.5, 2142.0, 52.5], OtqtaxXx1R, 5698511]
[paragraph, [454.0, 1832.0, 2142.0, 52.5], OtqtaxXx1R, 5698511]
[paragraph, [454.0, 1884.5, 2142.0, 52.5], OtqtaxXx1R, 5698511]
[paragraph, [454.0, 1937.0, 2142.0, 52.5], OtqtaxXx1R, 5698511]
[paragraph, [454.0, 1989.5, 2142.0, 52.5], OtqtaxXx1R, 5698511]
[paragraph, [454.0, 2042.0, 2142.0, 52.5], OtqtaxXx1R, 5698511]
[paragraph, [454.0, 2094.5, 2142.0, 52.5], OtqtaxXx1R, 5698511]
[paragraph, [454.0, 2147.0, 2142.0, 52.5], OtqtaxXx1R, 5698511]
[paragraph, [454.0, 2199.5, 2142.0, 52.5], OtqtaxXx1R, 5698511]
