[1650, 1275]
[paragraph, [180.0, 55.0, 842.0, 36.0], 2Tmjoi2E0e, 6476191]
[paragraph, [180.0, 91.0, 842.0, 36.0], 2Tmjoi2E0e, 6476191]
[paragraph, [180.0, 127.0, 842.0, 36.0], 2Tmjoi2E0e, 6476191]
[paragraph, [180.0, 163.0, 842.0, 36.0], 2Tmjoi2E0e, 6476191]
[paragraph, [184.0, 217.0, 832.0, 36.0], FNY0Sv8L7h, 6476191]
[paragraph, [184.0, 253.0, 832.0, 36.0], FNY0Sv8L7h, 6476191]
[paragraph, [184.0, 289.0, 832.0, 36.0], FNY0Sv8L7h, 6476191]
[paragraph, [184.0, 325.0, 832.0, 36.0], FNY0Sv8L7h, 6476191]
[paragraph, [187.0, 389.0, 838.0, 36.0], Le4IHAxd-n, 6476191]
[paragraph, [187.0, 425.0, 838.0, 36.0], Le4IHAxd-n, 6476191]
[paragraph, [187.0, 461.0, 838.0, 36.0], Le4IHAxd-n, 6476191]
[paragraph, [187.0, 497.0, 838.0, 36.0], Le4IHAxd-n, 6476191]
[paragraph, [187.0, 533.0, 838.0, 36.0], Le4IHAxd-n, 6476191]
[paragraph, [187.0, 569.0, 838.0, 36.0], Le4IHAxd-n, 6476191]
[paragraph, [187.0, 605.0, 838.0, 36.0], Le4IHAxd-n, 6476191]
[paragraph, [187.0, 641.0, 838.0, 36.0], Le4IHAxd-n, 6476191]
[paragraph, [187.0, 677.0, 838.0, 36.0], Le4IHAxd-n, 6476191]
[paragraph, [187.0, 713.0, 838.0, 36.0], Le4IHAxd-n, 6476191]
