[668, 446]
[paragraph, [55.0, 106.0, 348.0, 18.0], ZJLrb7bBCq, 6496383]
[paragraph, [55.0, 124.0, 348.0, 18.0], ZJLrb7bBCq, 6496383]
[paragraph, [55.0, 142.0, 348.0, 18.0], ZJLrb7bBCq, 6496383]
[paragraph, [55.0, 160.0, 348.0, 18.0], ZJLrb7bBCq, 6496383]
[paragraph, [55.0, 178.0, 348.0, 18.0], ZJLrb7bBCq, 6496383]
[paragraph, [59.0, 218.0, 347.0, 18.0], shoonya_0sHNA5ZBOUXJZF, 6496383]
[paragraph, [59.0, 236.0, 347.0, 18.0], shoonya_0sHNA5ZBOUXJZF, 6496383]
[paragraph, [59.0, 254.0, 347.0, 18.0], shoonya_0sHNA5ZBOUXJZF, 6496383]
[paragraph, [59.0, 272.0, 347.0, 18.0], shoonya_0sHNA5ZBOUXJZF, 6496383]
[paragraph, [59.0, 290.0, 347.0, 18.0], shoonya_0sHNA5ZBOUXJZF, 6496383]
[paragraph, [59.0, 308.0, 347.0, 18.0], shoonya_0sHNA5ZBOUXJZF, 6496383]
[paragraph, [56.0, 342.0, 349.0, 18.0], NlKl6vU0jc, 6496383]
[paragraph, [56.0, 360.0, 349.0, 18.0], NlKl6vU0jc, 6496383]
[paragraph, [56.0, 378.0, 349.0, 18.0], NlKl6vU0jc, 6496383]
[paragraph, [56.0, 396.0, 349.0, 18.0], NlKl6vU0jc, 6496383]
[paragraph, [56.0, 414.0, 349.0, 18.0], NlKl6vU0jc, 6496383]
[paragraph, [56.0, 432.0, 349.0, 18.0], NlKl6vU0jc, 6496383]
[paragraph, [56.0, 450.0, 349.0, 18.0], NlKl6vU0jc, 6496383]
[paragraph, [56.0, 468.0, 349.0, 18.0], NlKl6vU0jc, 6496383]
[paragraph, [56.0, 486.0, 349.0, 18.0], NlKl6vU0jc, 6496383]
[paragraph, [56.0, 504.0, 349.0, 18.0], NlKl6vU0jc, 6496383]
[paragraph, [62.0, 532.0, 345.0, 18.0], G1N6Sv-uyG, 6496383]
[paragraph, [62.0, 550.0, 345.0, 18.0], G1N6Sv-uyG, 6496383]
[paragraph, [62.0, 568.0, 345.0, 18.0], G1N6Sv-uyG, 6496383]
[paragraph, [62.0, 586.0, 345.0, 18.0], G1N6Sv-uyG, 6496383]
