[644, 393]
[folio, [155.0, 31.0, 78.0, 18.0], EPhwXv1TRP, 6459023]
[paragraph, [30.0, 57.0, 330.0, 18.0], w5Why0w8eZ, 6459023]
[paragraph, [30.0, 75.0, 330.0, 18.0], w5Why0w8eZ, 6459023]
[paragraph, [26.0, 95.0, 340.0, 18.0], T_oIoGaVM9, 6459023]
[paragraph, [26.0, 113.0, 340.0, 18.0], T_oIoGaVM9, 6459023]
[paragraph, [26.0, 131.0, 340.0, 18.0], T_oIoGaVM9, 6459023]
[paragraph, [26.0, 149.0, 340.0, 18.0], T_oIoGaVM9, 6459023]
[paragraph, [26.0, 167.0, 340.0, 18.0], T_oIoGaVM9, 6459023]
[paragraph, [26.0, 185.0, 340.0, 18.0], T_oIoGaVM9, 6459023]
[paragraph, [26.0, 203.0, 340.0, 18.0], T_oIoGaVM9, 6459023]
[paragraph, [26.0, 221.0, 340.0, 18.0], T_oIoGaVM9, 6459023]
[paragraph, [109.0, 244.0, 183.0, 18.0], r5yTWrcO0T, 6459023]
[paragraph, [86.0, 265.0, 230.0, 18.0], KOjtLPsp9G, 6459023]
[paragraph, [86.0, 283.0, 230.0, 18.0], KOjtLPsp9G, 6459023]
[paragraph, [33.0, 323.0, 325.0, 18.0], cKinpxVMQp, 6459023]
[paragraph, [33.0, 341.0, 325.0, 18.0], cKinpxVMQp, 6459023]
[paragraph, [33.0, 359.0, 325.0, 18.0], cKinpxVMQp, 6459023]
[paragraph, [95.0, 395.0, 200.0, 18.0], J_JUC39-gT, 6459023]
[paragraph, [33.0, 417.0, 329.0, 18.0], h_XKuL4dq-, 6459023]
[paragraph, [33.0, 435.0, 329.0, 18.0], h_XKuL4dq-, 6459023]
[paragraph, [33.0, 453.0, 329.0, 18.0], h_XKuL4dq-, 6459023]
[paragraph, [125.0, 491.0, 133.0, 18.0], jCaCX4ToxY, 6459023]
[paragraph, [86.0, 511.0, 227.0, 18.0], sQ0is77o0-, 6459023]
[paragraph, [86.0, 529.0, 227.0, 18.0], sQ0is77o0-, 6459023]
[paragraph, [90.0, 552.0, 209.0, 18.0], VgTMmNo6M3, 6459023]
[paragraph, [59.0, 585.0, 135.0, 18.0], r37ke79GHT, 6459023]
