[1625, 1211]
[paragraph, [64.0, 84.0, 354.0, 36.0], gA4D8KzpKx, 5742063]
[paragraph, [64.0, 120.0, 354.0, 36.0], gA4D8KzpKx, 5742063]
[paragraph, [64.0, 156.0, 354.0, 36.0], gA4D8KzpKx, 5742063]
[paragraph, [64.0, 192.0, 354.0, 36.0], gA4D8KzpKx, 5742063]
[paragraph, [64.0, 228.0, 354.0, 36.0], gA4D8KzpKx, 5742063]
[paragraph, [64.0, 264.0, 354.0, 36.0], gA4D8KzpKx, 5742063]
[paragraph, [64.0, 300.0, 354.0, 36.0], gA4D8KzpKx, 5742063]
[paragraph, [64.0, 336.0, 354.0, 36.0], gA4D8KzpKx, 5742063]
[paragraph, [64.0, 372.0, 354.0, 36.0], gA4D8KzpKx, 5742063]
[paragraph, [64.0, 408.0, 354.0, 36.0], gA4D8KzpKx, 5742063]
[paragraph, [64.0, 444.0, 354.0, 36.0], gA4D8KzpKx, 5742063]
[paragraph, [64.0, 480.0, 354.0, 36.0], gA4D8KzpKx, 5742063]
[paragraph, [64.0, 516.0, 354.0, 36.0], gA4D8KzpKx, 5742063]
[paragraph, [64.0, 552.0, 354.0, 36.0], gA4D8KzpKx, 5742063]
[paragraph, [64.0, 588.0, 354.0, 36.0], gA4D8KzpKx, 5742063]
[paragraph, [64.0, 624.0, 354.0, 36.0], gA4D8KzpKx, 5742063]
[paragraph, [428.0, 95.0, 349.0, 36.0], Bc_Y5Ptgh-, 5742063]
[paragraph, [428.0, 131.0, 349.0, 36.0], Bc_Y5Ptgh-, 5742063]
[paragraph, [428.0, 167.0, 349.0, 36.0], Bc_Y5Ptgh-, 5742063]
[paragraph, [428.0, 203.0, 349.0, 36.0], Bc_Y5Ptgh-, 5742063]
[paragraph, [428.0, 239.0, 349.0, 36.0], Bc_Y5Ptgh-, 5742063]
[paragraph, [428.0, 275.0, 349.0, 36.0], Bc_Y5Ptgh-, 5742063]
[paragraph, [428.0, 311.0, 349.0, 36.0], Bc_Y5Ptgh-, 5742063]
[paragraph, [428.0, 347.0, 349.0, 36.0], Bc_Y5Ptgh-, 5742063]
[paragraph, [428.0, 383.0, 349.0, 36.0], Bc_Y5Ptgh-, 5742063]
[paragraph, [428.0, 419.0, 349.0, 36.0], Bc_Y5Ptgh-, 5742063]
[paragraph, [787.0, 95.0, 346.0, 36.0], dQOgF3eBcy, 5742063]
[paragraph, [787.0, 131.0, 346.0, 36.0], dQOgF3eBcy, 5742063]
[paragraph, [787.0, 167.0, 346.0, 36.0], dQOgF3eBcy, 5742063]
[paragraph, [787.0, 203.0, 346.0, 36.0], dQOgF3eBcy, 5742063]
[paragraph, [787.0, 239.0, 346.0, 36.0], dQOgF3eBcy, 5742063]
[paragraph, [787.0, 275.0, 346.0, 36.0], dQOgF3eBcy, 5742063]
[paragraph, [787.0, 311.0, 346.0, 36.0], dQOgF3eBcy, 5742063]
[paragraph, [787.0, 347.0, 346.0, 36.0], dQOgF3eBcy, 5742063]
[paragraph, [787.0, 383.0, 346.0, 36.0], dQOgF3eBcy, 5742063]
[paragraph, [787.0, 419.0, 346.0, 36.0], dQOgF3eBcy, 5742063]
[paragraph, [787.0, 455.0, 346.0, 36.0], dQOgF3eBcy, 5742063]
[paragraph, [787.0, 491.0, 346.0, 36.0], dQOgF3eBcy, 5742063]
[paragraph, [787.0, 527.0, 346.0, 36.0], dQOgF3eBcy, 5742063]
[paragraph, [787.0, 563.0, 346.0, 36.0], dQOgF3eBcy, 5742063]
[paragraph, [787.0, 599.0, 346.0, 36.0], dQOgF3eBcy, 5742063]
[paragraph, [787.0, 635.0, 346.0, 36.0], dQOgF3eBcy, 5742063]
[paragraph, [430.0, 483.0, 346.0, 36.0], iOHv6IAkXd, 5742063]
[paragraph, [430.0, 519.0, 346.0, 36.0], iOHv6IAkXd, 5742063]
[paragraph, [430.0, 555.0, 346.0, 36.0], iOHv6IAkXd, 5742063]
[paragraph, [430.0, 591.0, 346.0, 36.0], iOHv6IAkXd, 5742063]
[paragraph, [430.0, 627.0, 346.0, 36.0], iOHv6IAkXd, 5742063]
[paragraph, [430.0, 663.0, 346.0, 36.0], iOHv6IAkXd, 5742063]
[paragraph, [104.0, 670.0, 313.0, 36.0], Z6CiSbjHk4, 5742063]
[paragraph, [788.0, 717.0, 348.0, 36.0], POMTXn6ZoU, 5742063]
[paragraph, [788.0, 753.0, 348.0, 36.0], POMTXn6ZoU, 5742063]
[paragraph, [788.0, 789.0, 348.0, 36.0], POMTXn6ZoU, 5742063]
[paragraph, [788.0, 825.0, 348.0, 36.0], POMTXn6ZoU, 5742063]
[paragraph, [788.0, 861.0, 348.0, 36.0], POMTXn6ZoU, 5742063]
[paragraph, [788.0, 897.0, 348.0, 36.0], POMTXn6ZoU, 5742063]
[paragraph, [788.0, 933.0, 348.0, 36.0], POMTXn6ZoU, 5742063]
[section-title, [461.0, 732.0, 277.0, 49.5], 0o0OonCaZd, 5742063]
[section-title, [119.0, 737.0, 287.0, 49.5], mVSqWtvcIS, 5742063]
[paragraph, [81.0, 840.0, 346.0, 36.0], UfL-vW6dLV, 5742063]
[paragraph, [81.0, 876.0, 346.0, 36.0], UfL-vW6dLV, 5742063]
[paragraph, [81.0, 912.0, 346.0, 36.0], UfL-vW6dLV, 5742063]
[paragraph, [81.0, 948.0, 346.0, 36.0], UfL-vW6dLV, 5742063]
[paragraph, [81.0, 984.0, 346.0, 36.0], UfL-vW6dLV, 5742063]
[paragraph, [81.0, 1020.0, 346.0, 36.0], UfL-vW6dLV, 5742063]
[paragraph, [443.0, 846.0, 336.0, 36.0], DHAufAZYe7, 5742063]
[paragraph, [443.0, 882.0, 336.0, 36.0], DHAufAZYe7, 5742063]
[paragraph, [443.0, 918.0, 336.0, 36.0], DHAufAZYe7, 5742063]
[paragraph, [443.0, 954.0, 336.0, 36.0], DHAufAZYe7, 5742063]
[paragraph, [443.0, 990.0, 336.0, 36.0], DHAufAZYe7, 5742063]
[section-title, [794.0, 1023.0, 339.0, 49.5], 65xy4XC4r9, 5742063]
[paragraph, [442.0, 1057.0, 330.0, 36.0], shoonya_2s7ZBXCHUWV3FE, 5742063]
[paragraph, [442.0, 1093.0, 330.0, 36.0], shoonya_2s7ZBXCHUWV3FE, 5742063]
[paragraph, [442.0, 1129.0, 330.0, 36.0], shoonya_2s7ZBXCHUWV3FE, 5742063]
[paragraph, [442.0, 1165.0, 330.0, 36.0], shoonya_2s7ZBXCHUWV3FE, 5742063]
[paragraph, [442.0, 1201.0, 330.0, 36.0], shoonya_2s7ZBXCHUWV3FE, 5742063]
[paragraph, [442.0, 1237.0, 330.0, 36.0], shoonya_2s7ZBXCHUWV3FE, 5742063]
[paragraph, [442.0, 1273.0, 330.0, 36.0], shoonya_2s7ZBXCHUWV3FE, 5742063]
[paragraph, [442.0, 1309.0, 330.0, 36.0], shoonya_2s7ZBXCHUWV3FE, 5742063]
[paragraph, [84.0, 1077.0, 335.0, 36.0], shoonya_3sHKVHA9DJBFND, 5742063]
[paragraph, [84.0, 1113.0, 335.0, 36.0], shoonya_3sHKVHA9DJBFND, 5742063]
[paragraph, [84.0, 1149.0, 335.0, 36.0], shoonya_3sHKVHA9DJBFND, 5742063]
[paragraph, [84.0, 1185.0, 335.0, 36.0], shoonya_3sHKVHA9DJBFND, 5742063]
[paragraph, [84.0, 1221.0, 335.0, 36.0], shoonya_3sHKVHA9DJBFND, 5742063]
[paragraph, [799.0, 1107.0, 337.0, 36.0], zaEVSt3bCt, 5742063]
[paragraph, [799.0, 1143.0, 337.0, 36.0], zaEVSt3bCt, 5742063]
[paragraph, [799.0, 1179.0, 337.0, 36.0], zaEVSt3bCt, 5742063]
[paragraph, [799.0, 1215.0, 337.0, 36.0], zaEVSt3bCt, 5742063]
[paragraph, [86.0, 1275.0, 341.0, 36.0], shoonya_1sZQP3CV9M3NNS, 5742063]
[paragraph, [86.0, 1311.0, 341.0, 36.0], shoonya_1sZQP3CV9M3NNS, 5742063]
[paragraph, [86.0, 1347.0, 341.0, 36.0], shoonya_1sZQP3CV9M3NNS, 5742063]
[paragraph, [86.0, 1383.0, 341.0, 36.0], shoonya_1sZQP3CV9M3NNS, 5742063]
[paragraph, [86.0, 1419.0, 341.0, 36.0], shoonya_1sZQP3CV9M3NNS, 5742063]
[paragraph, [796.0, 1286.0, 349.0, 36.0], shoonya_5sGLRMFBET1FPP, 5742063]
[paragraph, [796.0, 1322.0, 349.0, 36.0], shoonya_5sGLRMFBET1FPP, 5742063]
[paragraph, [796.0, 1358.0, 349.0, 36.0], shoonya_5sGLRMFBET1FPP, 5742063]
[paragraph, [796.0, 1394.0, 349.0, 36.0], shoonya_5sGLRMFBET1FPP, 5742063]
[paragraph, [796.0, 1430.0, 349.0, 36.0], shoonya_5sGLRMFBET1FPP, 5742063]
[paragraph, [442.0, 1380.0, 336.0, 36.0], shoonya_4s8PXN9PVWCCSP, 5742063]
[paragraph, [442.0, 1416.0, 336.0, 36.0], shoonya_4s8PXN9PVWCCSP, 5742063]
[footnote, [750.0, 1576.0, 378.0, 36.0], q0HOJxb-AJ, 5742063]
