[1839, 1268]
[paragraph, [221.0, 169.0, 947.0, 36.0], -ysF8yOlTB, 5744043]
[paragraph, [221.0, 205.0, 947.0, 36.0], -ysF8yOlTB, 5744043]
[paragraph, [221.0, 241.0, 947.0, 36.0], -ysF8yOlTB, 5744043]
[paragraph, [221.0, 277.0, 947.0, 36.0], -ysF8yOlTB, 5744043]
[paragraph, [221.0, 313.0, 947.0, 36.0], -ysF8yOlTB, 5744043]
[paragraph, [221.0, 349.0, 947.0, 36.0], -ysF8yOlTB, 5744043]
[paragraph, [221.0, 385.0, 947.0, 36.0], -ysF8yOlTB, 5744043]
[paragraph, [221.0, 421.0, 947.0, 36.0], -ysF8yOlTB, 5744043]
[paragraph, [221.0, 457.0, 947.0, 36.0], -ysF8yOlTB, 5744043]
[paragraph, [221.0, 493.0, 947.0, 36.0], -ysF8yOlTB, 5744043]
[paragraph, [221.0, 529.0, 947.0, 36.0], -ysF8yOlTB, 5744043]
[paragraph, [221.0, 565.0, 947.0, 36.0], -ysF8yOlTB, 5744043]
[paragraph, [221.0, 601.0, 947.0, 36.0], -ysF8yOlTB, 5744043]
[paragraph, [221.0, 637.0, 947.0, 36.0], -ysF8yOlTB, 5744043]
[paragraph, [221.0, 673.0, 947.0, 36.0], -ysF8yOlTB, 5744043]
[paragraph, [221.0, 709.0, 947.0, 36.0], -ysF8yOlTB, 5744043]
[paragraph, [221.0, 745.0, 947.0, 36.0], -ysF8yOlTB, 5744043]
[paragraph, [221.0, 781.0, 947.0, 36.0], -ysF8yOlTB, 5744043]
[paragraph, [221.0, 817.0, 947.0, 36.0], -ysF8yOlTB, 5744043]
[paragraph, [221.0, 853.0, 947.0, 36.0], -ysF8yOlTB, 5744043]
[paragraph, [221.0, 889.0, 947.0, 36.0], -ysF8yOlTB, 5744043]
[paragraph, [221.0, 925.0, 947.0, 36.0], -ysF8yOlTB, 5744043]
[paragraph, [226.0, 987.0, 936.0, 36.0], WSHDS0vG-d, 5744043]
[paragraph, [226.0, 1023.0, 936.0, 36.0], WSHDS0vG-d, 5744043]
[paragraph, [226.0, 1059.0, 936.0, 36.0], WSHDS0vG-d, 5744043]
[paragraph, [226.0, 1095.0, 936.0, 36.0], WSHDS0vG-d, 5744043]
[paragraph, [226.0, 1131.0, 936.0, 36.0], WSHDS0vG-d, 5744043]
[paragraph, [226.0, 1167.0, 936.0, 36.0], WSHDS0vG-d, 5744043]
[paragraph, [226.0, 1203.0, 936.0, 36.0], WSHDS0vG-d, 5744043]
[paragraph, [226.0, 1239.0, 936.0, 36.0], WSHDS0vG-d, 5744043]
[paragraph, [226.0, 1275.0, 936.0, 36.0], WSHDS0vG-d, 5744043]
[paragraph, [226.0, 1311.0, 936.0, 36.0], WSHDS0vG-d, 5744043]
[paragraph, [226.0, 1347.0, 936.0, 36.0], WSHDS0vG-d, 5744043]
[paragraph, [226.0, 1383.0, 936.0, 36.0], WSHDS0vG-d, 5744043]
[paragraph, [226.0, 1419.0, 936.0, 36.0], WSHDS0vG-d, 5744043]
[paragraph, [226.0, 1455.0, 936.0, 36.0], WSHDS0vG-d, 5744043]
[paragraph, [226.0, 1491.0, 936.0, 36.0], WSHDS0vG-d, 5744043]
