[2200, 1700]
[folio, [717.0, 170.0, 261.0, 36.0], shoonya_3sZSUX30JU4YND, 5749515]
[folio, [717.0, 206.0, 261.0, 36.0], shoonya_3sZSUX30JU4YND, 5749515]
[folio, [100.0, 200.0, 80.0, 36.0], shoonya_5sSDTIH33E0H13, 5749515]
[section-title, [635.0, 1071.0, 332.0, 52.5], shoonya_4sOVV2UY8NAOD6, 5749515]
[paragraph, [286.0, 1158.0, 1039.0, 36.0], shoonya_6sZQLBXE1M8DE6, 5749515]
[paragraph, [286.0, 1194.0, 1039.0, 36.0], shoonya_6sZQLBXE1M8DE6, 5749515]
[paragraph, [286.0, 1230.0, 1039.0, 36.0], shoonya_6sZQLBXE1M8DE6, 5749515]
[paragraph, [286.0, 1266.0, 1039.0, 36.0], shoonya_6sZQLBXE1M8DE6, 5749515]
[paragraph, [286.0, 1302.0, 1039.0, 36.0], shoonya_6sZQLBXE1M8DE6, 5749515]
[paragraph, [286.0, 1338.0, 1039.0, 36.0], shoonya_6sZQLBXE1M8DE6, 5749515]
[paragraph, [286.0, 1374.0, 1039.0, 36.0], shoonya_6sZQLBXE1M8DE6, 5749515]
[paragraph, [283.0, 1425.0, 1037.0, 36.0], shoonya_1s5HPDB9ES7X4B, 5749515]
[paragraph, [283.0, 1461.0, 1037.0, 36.0], shoonya_1s5HPDB9ES7X4B, 5749515]
[paragraph, [283.0, 1497.0, 1037.0, 36.0], shoonya_1s5HPDB9ES7X4B, 5749515]
[paragraph, [283.0, 1533.0, 1037.0, 36.0], shoonya_1s5HPDB9ES7X4B, 5749515]
[paragraph, [283.0, 1569.0, 1037.0, 36.0], shoonya_1s5HPDB9ES7X4B, 5749515]
[paragraph, [283.0, 1605.0, 1037.0, 36.0], shoonya_1s5HPDB9ES7X4B, 5749515]
[paragraph, [283.0, 1641.0, 1037.0, 36.0], shoonya_1s5HPDB9ES7X4B, 5749515]
[paragraph, [279.0, 1699.0, 1043.0, 36.0], shoonya_2sJ5CJCRBAD2TC, 5749515]
[paragraph, [279.0, 1735.0, 1043.0, 36.0], shoonya_2sJ5CJCRBAD2TC, 5749515]
[paragraph, [279.0, 1771.0, 1043.0, 36.0], shoonya_2sJ5CJCRBAD2TC, 5749515]
[paragraph, [279.0, 1807.0, 1043.0, 36.0], shoonya_2sJ5CJCRBAD2TC, 5749515]
[paragraph, [279.0, 1843.0, 1043.0, 36.0], shoonya_2sJ5CJCRBAD2TC, 5749515]
[paragraph, [279.0, 1879.0, 1043.0, 36.0], shoonya_2sJ5CJCRBAD2TC, 5749515]
[paragraph, [279.0, 1915.0, 1043.0, 36.0], shoonya_2sJ5CJCRBAD2TC, 5749515]
[paragraph, [279.0, 1951.0, 1043.0, 36.0], shoonya_2sJ5CJCRBAD2TC, 5749515]
[paragraph, [279.0, 1987.0, 1043.0, 36.0], shoonya_2sJ5CJCRBAD2TC, 5749515]
[paragraph, [279.0, 2023.0, 1043.0, 36.0], shoonya_2sJ5CJCRBAD2TC, 5749515]
