[2200, 1700]
[paragraph, [370.0, 116.0, 1136.0, 36.0], shoonya_2sHAWG904VGRH1, 5733716]
[paragraph, [370.0, 152.0, 1136.0, 36.0], shoonya_2sHAWG904VGRH1, 5733716]
[paragraph, [370.0, 188.0, 1136.0, 36.0], shoonya_2sHAWG904VGRH1, 5733716]
[paragraph, [370.0, 224.0, 1136.0, 36.0], shoonya_2sHAWG904VGRH1, 5733716]
[paragraph, [370.0, 260.0, 1136.0, 36.0], shoonya_2sHAWG904VGRH1, 5733716]
[paragraph, [370.0, 296.0, 1136.0, 36.0], shoonya_2sHAWG904VGRH1, 5733716]
[paragraph, [370.0, 332.0, 1136.0, 36.0], shoonya_2sHAWG904VGRH1, 5733716]
[paragraph, [369.0, 411.0, 1135.0, 36.0], shoonya_0sEUFXUESTXUO7, 5733716]
[paragraph, [369.0, 447.0, 1135.0, 36.0], shoonya_0sEUFXUESTXUO7, 5733716]
[paragraph, [369.0, 483.0, 1135.0, 36.0], shoonya_0sEUFXUESTXUO7, 5733716]
[paragraph, [369.0, 519.0, 1135.0, 36.0], shoonya_0sEUFXUESTXUO7, 5733716]
[paragraph, [369.0, 555.0, 1135.0, 36.0], shoonya_0sEUFXUESTXUO7, 5733716]
[paragraph, [369.0, 591.0, 1135.0, 36.0], shoonya_0sEUFXUESTXUO7, 5733716]
[paragraph, [369.0, 627.0, 1135.0, 36.0], shoonya_0sEUFXUESTXUO7, 5733716]
[paragraph, [369.0, 663.0, 1135.0, 36.0], shoonya_0sEUFXUESTXUO7, 5733716]
[paragraph, [369.0, 699.0, 1135.0, 36.0], shoonya_0sEUFXUESTXUO7, 5733716]
[paragraph, [369.0, 735.0, 1135.0, 36.0], shoonya_0sEUFXUESTXUO7, 5733716]
[paragraph, [369.0, 771.0, 1135.0, 36.0], shoonya_0sEUFXUESTXUO7, 5733716]
[paragraph, [369.0, 807.0, 1135.0, 36.0], shoonya_0sEUFXUESTXUO7, 5733716]
[paragraph, [369.0, 843.0, 1135.0, 36.0], shoonya_0sEUFXUESTXUO7, 5733716]
[paragraph, [369.0, 879.0, 1135.0, 36.0], shoonya_0sEUFXUESTXUO7, 5733716]
[paragraph, [369.0, 915.0, 1135.0, 36.0], shoonya_0sEUFXUESTXUO7, 5733716]
[paragraph, [374.0, 990.0, 1131.0, 36.0], shoonya_1s5LE7RTLT2QRU, 5733716]
[paragraph, [374.0, 1026.0, 1131.0, 36.0], shoonya_1s5LE7RTLT2QRU, 5733716]
[paragraph, [374.0, 1062.0, 1131.0, 36.0], shoonya_1s5LE7RTLT2QRU, 5733716]
[paragraph, [374.0, 1098.0, 1131.0, 36.0], shoonya_1s5LE7RTLT2QRU, 5733716]
[paragraph, [374.0, 1134.0, 1131.0, 36.0], shoonya_1s5LE7RTLT2QRU, 5733716]
[paragraph, [374.0, 1170.0, 1131.0, 36.0], shoonya_1s5LE7RTLT2QRU, 5733716]
[paragraph, [374.0, 1206.0, 1131.0, 36.0], shoonya_1s5LE7RTLT2QRU, 5733716]
[paragraph, [374.0, 1242.0, 1131.0, 36.0], shoonya_1s5LE7RTLT2QRU, 5733716]
[paragraph, [374.0, 1278.0, 1131.0, 36.0], shoonya_1s5LE7RTLT2QRU, 5733716]
[paragraph, [374.0, 1314.0, 1131.0, 36.0], shoonya_1s5LE7RTLT2QRU, 5733716]
[paragraph, [374.0, 1350.0, 1131.0, 36.0], shoonya_1s5LE7RTLT2QRU, 5733716]
[paragraph, [374.0, 1386.0, 1131.0, 36.0], shoonya_1s5LE7RTLT2QRU, 5733716]
[paragraph, [374.0, 1422.0, 1131.0, 36.0], shoonya_1s5LE7RTLT2QRU, 5733716]
[paragraph, [374.0, 1458.0, 1131.0, 36.0], shoonya_1s5LE7RTLT2QRU, 5733716]
[paragraph, [374.0, 1494.0, 1131.0, 36.0], shoonya_1s5LE7RTLT2QRU, 5733716]
[paragraph, [374.0, 1530.0, 1131.0, 36.0], shoonya_1s5LE7RTLT2QRU, 5733716]
[paragraph, [374.0, 1566.0, 1131.0, 36.0], shoonya_1s5LE7RTLT2QRU, 5733716]
[paragraph, [374.0, 1602.0, 1131.0, 36.0], shoonya_1s5LE7RTLT2QRU, 5733716]
[paragraph, [374.0, 1638.0, 1131.0, 36.0], shoonya_1s5LE7RTLT2QRU, 5733716]
[paragraph, [374.0, 1674.0, 1131.0, 36.0], shoonya_1s5LE7RTLT2QRU, 5733716]
[paragraph, [374.0, 1710.0, 1131.0, 36.0], shoonya_1s5LE7RTLT2QRU, 5733716]
[paragraph, [374.0, 1746.0, 1131.0, 36.0], shoonya_1s5LE7RTLT2QRU, 5733716]
[paragraph, [374.0, 1782.0, 1131.0, 36.0], shoonya_1s5LE7RTLT2QRU, 5733716]
[paragraph, [374.0, 1818.0, 1131.0, 36.0], shoonya_1s5LE7RTLT2QRU, 5733716]
[paragraph, [376.0, 1904.0, 1126.0, 36.0], shoonya_3sX6W2M8LVNFHO, 5733716]
[paragraph, [376.0, 1940.0, 1126.0, 36.0], shoonya_3sX6W2M8LVNFHO, 5733716]
[paragraph, [376.0, 1976.0, 1126.0, 36.0], shoonya_3sX6W2M8LVNFHO, 5733716]
[paragraph, [376.0, 2012.0, 1126.0, 36.0], shoonya_3sX6W2M8LVNFHO, 5733716]
