[792, 612]
[folio, [251.0, 44.0, 268.0, 18.0], -6gZBohofj, 5743584]
[paragraph, [116.0, 67.0, 406.0, 18.0], shoonya_3sL291C72AEMDT, 5743584]
[paragraph, [116.0, 85.0, 406.0, 18.0], shoonya_3sL291C72AEMDT, 5743584]
[paragraph, [116.0, 119.0, 406.0, 18.0], shoonya_0s5ZXSOWYWABEW, 5743584]
[paragraph, [116.0, 137.0, 406.0, 18.0], shoonya_0s5ZXSOWYWABEW, 5743584]
[paragraph, [116.0, 155.0, 406.0, 18.0], shoonya_0s5ZXSOWYWABEW, 5743584]
[paragraph, [116.0, 173.0, 406.0, 18.0], shoonya_0s5ZXSOWYWABEW, 5743584]
[paragraph, [116.0, 191.0, 406.0, 18.0], shoonya_0s5ZXSOWYWABEW, 5743584]
[paragraph, [116.0, 209.0, 406.0, 18.0], shoonya_0s5ZXSOWYWABEW, 5743584]
[paragraph, [116.0, 227.0, 406.0, 18.0], shoonya_0s5ZXSOWYWABEW, 5743584]
[paragraph, [116.0, 245.0, 406.0, 18.0], shoonya_0s5ZXSOWYWABEW, 5743584]
[paragraph, [116.0, 263.0, 406.0, 18.0], shoonya_0s5ZXSOWYWABEW, 5743584]
[paragraph, [116.0, 281.0, 406.0, 18.0], shoonya_0s5ZXSOWYWABEW, 5743584]
[paragraph, [116.0, 299.0, 406.0, 18.0], shoonya_0s5ZXSOWYWABEW, 5743584]
[paragraph, [116.0, 317.0, 406.0, 18.0], shoonya_0s5ZXSOWYWABEW, 5743584]
[paragraph, [116.0, 335.0, 406.0, 18.0], shoonya_0s5ZXSOWYWABEW, 5743584]
[paragraph, [116.0, 353.0, 406.0, 18.0], shoonya_0s5ZXSOWYWABEW, 5743584]
[paragraph, [116.0, 371.0, 406.0, 18.0], shoonya_0s5ZXSOWYWABEW, 5743584]
[paragraph, [116.0, 412.0, 405.0, 18.0], shoonya_1sSOG6JLH2YTAQ, 5743584]
[paragraph, [116.0, 430.0, 405.0, 18.0], shoonya_1sSOG6JLH2YTAQ, 5743584]
[paragraph, [116.0, 448.0, 405.0, 18.0], shoonya_1sSOG6JLH2YTAQ, 5743584]
[paragraph, [116.0, 466.0, 405.0, 18.0], shoonya_1sSOG6JLH2YTAQ, 5743584]
[paragraph, [116.0, 484.0, 405.0, 18.0], shoonya_1sSOG6JLH2YTAQ, 5743584]
[paragraph, [116.0, 502.0, 405.0, 18.0], shoonya_1sSOG6JLH2YTAQ, 5743584]
[paragraph, [116.0, 520.0, 405.0, 18.0], shoonya_1sSOG6JLH2YTAQ, 5743584]
[paragraph, [116.0, 538.0, 405.0, 18.0], shoonya_1sSOG6JLH2YTAQ, 5743584]
[paragraph, [116.0, 556.0, 405.0, 18.0], shoonya_1sSOG6JLH2YTAQ, 5743584]
[paragraph, [116.0, 574.0, 405.0, 18.0], shoonya_1sSOG6JLH2YTAQ, 5743584]
[paragraph, [116.0, 592.0, 405.0, 18.0], shoonya_1sSOG6JLH2YTAQ, 5743584]
[paragraph, [116.0, 610.0, 405.0, 18.0], shoonya_1sSOG6JLH2YTAQ, 5743584]
[paragraph, [116.0, 637.0, 407.0, 18.0], shoonya_4s33QFTLP457DS, 5743584]
[paragraph, [116.0, 655.0, 407.0, 18.0], shoonya_4s33QFTLP457DS, 5743584]
[paragraph, [116.0, 673.0, 407.0, 18.0], shoonya_4s33QFTLP457DS, 5743584]
