[2339, 1654]
[unordered-list, [146.0, 186.0, 1055.0, 36.0], sAzFSoeSOb, 5753942]
[unordered-list, [146.0, 222.0, 1055.0, 36.0], sAzFSoeSOb, 5753942]
[unordered-list, [146.0, 258.0, 1055.0, 36.0], sAzFSoeSOb, 5753942]
[unordered-list, [146.0, 294.0, 1055.0, 36.0], sAzFSoeSOb, 5753942]
[unordered-list, [146.0, 330.0, 1055.0, 36.0], sAzFSoeSOb, 5753942]
[unordered-list, [146.0, 366.0, 1055.0, 36.0], sAzFSoeSOb, 5753942]
[unordered-list, [146.0, 402.0, 1055.0, 36.0], sAzFSoeSOb, 5753942]
[unordered-list, [146.0, 438.0, 1055.0, 36.0], sAzFSoeSOb, 5753942]
[unordered-list, [146.0, 474.0, 1055.0, 36.0], sAzFSoeSOb, 5753942]
[unordered-list, [146.0, 510.0, 1055.0, 36.0], sAzFSoeSOb, 5753942]
[unordered-list, [146.0, 546.0, 1055.0, 36.0], sAzFSoeSOb, 5753942]
[paragraph, [182.0, 637.0, 1146.0, 36.0], FRukRK5br8, 5753942]
[paragraph, [308.0, 720.0, 1051.0, 36.0], XTCaqX9mqX, 5753942]
[paragraph, [308.0, 756.0, 1051.0, 36.0], XTCaqX9mqX, 5753942]
[paragraph, [185.0, 811.0, 1174.0, 36.0], shoonya_0sP7JX23MP60AJ, 5753942]
[paragraph, [185.0, 847.0, 1174.0, 36.0], shoonya_0sP7JX23MP60AJ, 5753942]
[paragraph, [185.0, 883.0, 1174.0, 36.0], shoonya_0sP7JX23MP60AJ, 5753942]
[paragraph, [185.0, 919.0, 1174.0, 36.0], shoonya_0sP7JX23MP60AJ, 5753942]
[paragraph, [185.0, 955.0, 1174.0, 36.0], shoonya_0sP7JX23MP60AJ, 5753942]
[paragraph, [185.0, 991.0, 1174.0, 36.0], shoonya_0sP7JX23MP60AJ, 5753942]
[paragraph, [185.0, 1027.0, 1174.0, 36.0], shoonya_0sP7JX23MP60AJ, 5753942]
[paragraph, [185.0, 1063.0, 1174.0, 36.0], shoonya_0sP7JX23MP60AJ, 5753942]
[paragraph, [185.0, 1099.0, 1174.0, 36.0], shoonya_0sP7JX23MP60AJ, 5753942]
[paragraph, [185.0, 1135.0, 1174.0, 36.0], shoonya_0sP7JX23MP60AJ, 5753942]
[paragraph, [185.0, 1171.0, 1174.0, 36.0], shoonya_0sP7JX23MP60AJ, 5753942]
[paragraph, [185.0, 1207.0, 1174.0, 36.0], shoonya_0sP7JX23MP60AJ, 5753942]
[paragraph, [185.0, 1243.0, 1174.0, 36.0], shoonya_0sP7JX23MP60AJ, 5753942]
[paragraph, [185.0, 1279.0, 1174.0, 36.0], shoonya_0sP7JX23MP60AJ, 5753942]
[paragraph, [185.0, 1315.0, 1174.0, 36.0], shoonya_0sP7JX23MP60AJ, 5753942]
[paragraph, [185.0, 1351.0, 1174.0, 36.0], shoonya_0sP7JX23MP60AJ, 5753942]
[paragraph, [185.0, 1387.0, 1174.0, 36.0], shoonya_0sP7JX23MP60AJ, 5753942]
[paragraph, [185.0, 1423.0, 1174.0, 36.0], shoonya_0sP7JX23MP60AJ, 5753942]
[paragraph, [185.0, 1459.0, 1174.0, 36.0], shoonya_0sP7JX23MP60AJ, 5753942]
[ordered-list, [165.0, 1518.0, 1189.0, 36.0], shoonya_12sZVWV2AEFRQI, 5753942]
[ordered-list, [165.0, 1554.0, 1189.0, 36.0], shoonya_12sZVWV2AEFRQI, 5753942]
[ordered-list, [165.0, 1590.0, 1189.0, 36.0], shoonya_12sZVWV2AEFRQI, 5753942]
[ordered-list, [165.0, 1626.0, 1189.0, 36.0], shoonya_12sZVWV2AEFRQI, 5753942]
[ordered-list, [165.0, 1662.0, 1189.0, 36.0], shoonya_12sZVWV2AEFRQI, 5753942]
[ordered-list, [165.0, 1698.0, 1189.0, 36.0], shoonya_12sZVWV2AEFRQI, 5753942]
[ordered-list, [165.0, 1734.0, 1189.0, 36.0], shoonya_12sZVWV2AEFRQI, 5753942]
[ordered-list, [165.0, 1770.0, 1189.0, 36.0], shoonya_12sZVWV2AEFRQI, 5753942]
[ordered-list, [165.0, 1806.0, 1189.0, 36.0], shoonya_12sZVWV2AEFRQI, 5753942]
[ordered-list, [165.0, 1842.0, 1189.0, 36.0], shoonya_12sZVWV2AEFRQI, 5753942]
[reference, [185.0, 1936.0, 581.0, 36.0], fllmo08wN_, 5753942]
[reference, [185.0, 1972.0, 581.0, 36.0], fllmo08wN_, 5753942]
[reference, [185.0, 2008.0, 581.0, 36.0], fllmo08wN_, 5753942]
[reference, [185.0, 2044.0, 581.0, 36.0], fllmo08wN_, 5753942]
