[1818, 1374]
[folio, [475.0, 102.0, 417.0, 36.0], shoonya_1sHGAPD7OAW2SR, 5682943]
[paragraph, [693.0, 173.0, 565.0, 36.0], aqFFLPJvMD, 5682943]
[paragraph, [693.0, 209.0, 565.0, 36.0], aqFFLPJvMD, 5682943]
[paragraph, [693.0, 245.0, 565.0, 36.0], aqFFLPJvMD, 5682943]
[paragraph, [693.0, 281.0, 565.0, 36.0], aqFFLPJvMD, 5682943]
[paragraph, [106.0, 255.0, 571.0, 36.0], hryHwvB4FV, 5682943]
[paragraph, [106.0, 291.0, 571.0, 36.0], hryHwvB4FV, 5682943]
[paragraph, [106.0, 327.0, 571.0, 36.0], hryHwvB4FV, 5682943]
[paragraph, [106.0, 363.0, 571.0, 36.0], hryHwvB4FV, 5682943]
[paragraph, [106.0, 399.0, 571.0, 36.0], hryHwvB4FV, 5682943]
[paragraph, [106.0, 435.0, 571.0, 36.0], hryHwvB4FV, 5682943]
[paragraph, [106.0, 471.0, 571.0, 36.0], hryHwvB4FV, 5682943]
[paragraph, [106.0, 507.0, 571.0, 36.0], hryHwvB4FV, 5682943]
[paragraph, [106.0, 543.0, 571.0, 36.0], hryHwvB4FV, 5682943]
[paragraph, [106.0, 579.0, 571.0, 36.0], hryHwvB4FV, 5682943]
[paragraph, [106.0, 615.0, 571.0, 36.0], hryHwvB4FV, 5682943]
[paragraph, [106.0, 651.0, 571.0, 36.0], hryHwvB4FV, 5682943]
[paragraph, [106.0, 687.0, 571.0, 36.0], hryHwvB4FV, 5682943]
[paragraph, [106.0, 723.0, 571.0, 36.0], hryHwvB4FV, 5682943]
[paragraph, [106.0, 759.0, 571.0, 36.0], hryHwvB4FV, 5682943]
[paragraph, [106.0, 795.0, 571.0, 36.0], hryHwvB4FV, 5682943]
[paragraph, [106.0, 831.0, 571.0, 36.0], hryHwvB4FV, 5682943]
[paragraph, [106.0, 867.0, 571.0, 36.0], hryHwvB4FV, 5682943]
[paragraph, [106.0, 903.0, 571.0, 36.0], hryHwvB4FV, 5682943]
[paragraph, [106.0, 939.0, 571.0, 36.0], hryHwvB4FV, 5682943]
[paragraph, [106.0, 975.0, 571.0, 36.0], hryHwvB4FV, 5682943]
[paragraph, [106.0, 1011.0, 571.0, 36.0], hryHwvB4FV, 5682943]
[paragraph, [106.0, 1047.0, 571.0, 36.0], hryHwvB4FV, 5682943]
[paragraph, [106.0, 1083.0, 571.0, 36.0], hryHwvB4FV, 5682943]
[paragraph, [106.0, 1119.0, 571.0, 36.0], hryHwvB4FV, 5682943]
[paragraph, [106.0, 1155.0, 571.0, 36.0], hryHwvB4FV, 5682943]
[paragraph, [106.0, 1191.0, 571.0, 36.0], hryHwvB4FV, 5682943]
[paragraph, [106.0, 1227.0, 571.0, 36.0], hryHwvB4FV, 5682943]
[paragraph, [106.0, 1263.0, 571.0, 36.0], hryHwvB4FV, 5682943]
[paragraph, [106.0, 1299.0, 571.0, 36.0], hryHwvB4FV, 5682943]
[paragraph, [106.0, 1335.0, 571.0, 36.0], hryHwvB4FV, 5682943]
[paragraph, [106.0, 1371.0, 571.0, 36.0], hryHwvB4FV, 5682943]
[paragraph, [106.0, 1407.0, 571.0, 36.0], hryHwvB4FV, 5682943]
[paragraph, [106.0, 1443.0, 571.0, 36.0], hryHwvB4FV, 5682943]
[paragraph, [106.0, 1479.0, 571.0, 36.0], hryHwvB4FV, 5682943]
[paragraph, [106.0, 1515.0, 571.0, 36.0], hryHwvB4FV, 5682943]
[paragraph, [106.0, 1551.0, 571.0, 36.0], hryHwvB4FV, 5682943]
[paragraph, [106.0, 1587.0, 571.0, 36.0], hryHwvB4FV, 5682943]
[paragraph, [106.0, 1623.0, 571.0, 36.0], hryHwvB4FV, 5682943]
[paragraph, [695.0, 350.0, 570.0, 36.0], X7A1bS86gM, 5682943]
[paragraph, [695.0, 386.0, 570.0, 36.0], X7A1bS86gM, 5682943]
[paragraph, [695.0, 422.0, 570.0, 36.0], X7A1bS86gM, 5682943]
[paragraph, [695.0, 458.0, 570.0, 36.0], X7A1bS86gM, 5682943]
[paragraph, [695.0, 494.0, 570.0, 36.0], X7A1bS86gM, 5682943]
[paragraph, [695.0, 568.0, 570.0, 36.0], n20wVS5tZp, 5682943]
[paragraph, [695.0, 604.0, 570.0, 36.0], n20wVS5tZp, 5682943]
[paragraph, [695.0, 640.0, 570.0, 36.0], n20wVS5tZp, 5682943]
[paragraph, [695.0, 676.0, 570.0, 36.0], n20wVS5tZp, 5682943]
[paragraph, [695.0, 712.0, 570.0, 36.0], n20wVS5tZp, 5682943]
[paragraph, [738.0, 779.0, 427.0, 36.0], rvKC7U8FkU, 5682943]
[paragraph, [698.0, 943.0, 570.0, 36.0], WBmX4p_Epf, 5682943]
[paragraph, [698.0, 979.0, 570.0, 36.0], WBmX4p_Epf, 5682943]
[paragraph, [698.0, 1015.0, 570.0, 36.0], WBmX4p_Epf, 5682943]
[paragraph, [698.0, 1051.0, 570.0, 36.0], WBmX4p_Epf, 5682943]
[paragraph, [698.0, 1087.0, 570.0, 36.0], WBmX4p_Epf, 5682943]
[paragraph, [698.0, 1123.0, 570.0, 36.0], WBmX4p_Epf, 5682943]
[paragraph, [698.0, 1159.0, 570.0, 36.0], WBmX4p_Epf, 5682943]
[paragraph, [698.0, 1195.0, 570.0, 36.0], WBmX4p_Epf, 5682943]
[paragraph, [698.0, 1231.0, 570.0, 36.0], WBmX4p_Epf, 5682943]
[paragraph, [698.0, 1267.0, 570.0, 36.0], WBmX4p_Epf, 5682943]
[paragraph, [698.0, 1303.0, 570.0, 36.0], WBmX4p_Epf, 5682943]
[paragraph, [698.0, 1339.0, 570.0, 36.0], WBmX4p_Epf, 5682943]
[paragraph, [698.0, 1375.0, 570.0, 36.0], WBmX4p_Epf, 5682943]
[paragraph, [698.0, 1411.0, 570.0, 36.0], WBmX4p_Epf, 5682943]
[paragraph, [698.0, 1447.0, 570.0, 36.0], WBmX4p_Epf, 5682943]
[paragraph, [698.0, 1483.0, 570.0, 36.0], WBmX4p_Epf, 5682943]
[paragraph, [698.0, 1519.0, 570.0, 36.0], WBmX4p_Epf, 5682943]
[paragraph, [698.0, 1555.0, 570.0, 36.0], WBmX4p_Epf, 5682943]
[paragraph, [698.0, 1591.0, 570.0, 36.0], WBmX4p_Epf, 5682943]
[paragraph, [698.0, 1627.0, 570.0, 36.0], WBmX4p_Epf, 5682943]
