[3300, 2550]
[paragraph, [283.0, 280.0, 1995.0, 52.5], fkYyzQ0WT3, 5720243]
[paragraph, [283.0, 332.5, 1995.0, 52.5], fkYyzQ0WT3, 5720243]
[paragraph, [283.0, 385.0, 1995.0, 52.5], fkYyzQ0WT3, 5720243]
[paragraph, [283.0, 437.5, 1995.0, 52.5], fkYyzQ0WT3, 5720243]
[paragraph, [283.0, 490.0, 1995.0, 52.5], fkYyzQ0WT3, 5720243]
[paragraph, [283.0, 542.5, 1995.0, 52.5], fkYyzQ0WT3, 5720243]
[paragraph, [283.0, 595.0, 1995.0, 52.5], fkYyzQ0WT3, 5720243]
[paragraph, [283.0, 647.5, 1995.0, 52.5], fkYyzQ0WT3, 5720243]
[paragraph, [283.0, 700.0, 1995.0, 52.5], fkYyzQ0WT3, 5720243]
[paragraph, [286.0, 822.0, 1055.0, 52.5], jY5GcNI3l9, 5720243]
[ordered-list, [347.0, 937.0, 1934.0, 52.5], T_1fkXFxLR, 5720243]
[ordered-list, [347.0, 989.5, 1934.0, 52.5], T_1fkXFxLR, 5720243]
[ordered-list, [347.0, 1042.0, 1934.0, 52.5], T_1fkXFxLR, 5720243]
[ordered-list, [347.0, 1094.5, 1934.0, 52.5], T_1fkXFxLR, 5720243]
[ordered-list, [347.0, 1147.0, 1934.0, 52.5], T_1fkXFxLR, 5720243]
[ordered-list, [347.0, 1199.5, 1934.0, 52.5], T_1fkXFxLR, 5720243]
[ordered-list, [347.0, 1252.0, 1934.0, 52.5], T_1fkXFxLR, 5720243]
[ordered-list, [347.0, 1304.5, 1934.0, 52.5], T_1fkXFxLR, 5720243]
[ordered-list, [347.0, 1357.0, 1934.0, 52.5], T_1fkXFxLR, 5720243]
[ordered-list, [347.0, 1409.5, 1934.0, 52.5], T_1fkXFxLR, 5720243]
[ordered-list, [347.0, 1462.0, 1934.0, 52.5], T_1fkXFxLR, 5720243]
[ordered-list, [347.0, 1514.5, 1934.0, 52.5], T_1fkXFxLR, 5720243]
[ordered-list, [347.0, 1567.0, 1934.0, 52.5], T_1fkXFxLR, 5720243]
[ordered-list, [347.0, 1619.5, 1934.0, 52.5], T_1fkXFxLR, 5720243]
[ordered-list, [347.0, 1672.0, 1934.0, 52.5], T_1fkXFxLR, 5720243]
[ordered-list, [347.0, 1724.5, 1934.0, 52.5], T_1fkXFxLR, 5720243]
[paragraph, [270.0, 1798.0, 2011.0, 52.5], 9XPeKNA2Af, 5720243]
[paragraph, [270.0, 1850.5, 2011.0, 52.5], 9XPeKNA2Af, 5720243]
[paragraph, [270.0, 1903.0, 2011.0, 52.5], 9XPeKNA2Af, 5720243]
[paragraph, [270.0, 1955.5, 2011.0, 52.5], 9XPeKNA2Af, 5720243]
[paragraph, [270.0, 2008.0, 2011.0, 52.5], 9XPeKNA2Af, 5720243]
[paragraph, [270.0, 2060.5, 2011.0, 52.5], 9XPeKNA2Af, 5720243]
[paragraph, [270.0, 2113.0, 2011.0, 52.5], 9XPeKNA2Af, 5720243]
[paragraph, [270.0, 2165.5, 2011.0, 52.5], 9XPeKNA2Af, 5720243]
[paragraph, [270.0, 2218.0, 2011.0, 52.5], 9XPeKNA2Af, 5720243]
[paragraph, [270.0, 2270.5, 2011.0, 52.5], 9XPeKNA2Af, 5720243]
[paragraph, [270.0, 2323.0, 2011.0, 52.5], 9XPeKNA2Af, 5720243]
[paragraph, [270.0, 2375.5, 2011.0, 52.5], 9XPeKNA2Af, 5720243]
[paragraph, [270.0, 2428.0, 2011.0, 52.5], 9XPeKNA2Af, 5720243]
[paragraph, [270.0, 2480.5, 2011.0, 52.5], 9XPeKNA2Af, 5720243]
[paragraph, [270.0, 2533.0, 2011.0, 52.5], 9XPeKNA2Af, 5720243]
[paragraph, [270.0, 2585.5, 2011.0, 52.5], 9XPeKNA2Af, 5720243]
[paragraph, [270.0, 2638.0, 2011.0, 52.5], 9XPeKNA2Af, 5720243]
[paragraph, [270.0, 2690.5, 2011.0, 52.5], 9XPeKNA2Af, 5720243]
[paragraph, [270.0, 2743.0, 2011.0, 52.5], 9XPeKNA2Af, 5720243]
[paragraph, [270.0, 2795.5, 2011.0, 52.5], 9XPeKNA2Af, 5720243]
[paragraph, [270.0, 2848.0, 2011.0, 52.5], 9XPeKNA2Af, 5720243]
[paragraph, [270.0, 2900.5, 2011.0, 52.5], 9XPeKNA2Af, 5720243]
