[668, 446]
[paragraph, [57.0, 85.0, 346.0, 18.0], -QZWD-m4Jk, 6493671]
[paragraph, [57.0, 103.0, 346.0, 18.0], -QZWD-m4Jk, 6493671]
[paragraph, [57.0, 121.0, 346.0, 18.0], -QZWD-m4Jk, 6493671]
[paragraph, [57.0, 139.0, 346.0, 18.0], -QZWD-m4Jk, 6493671]
[paragraph, [58.0, 172.0, 349.0, 18.0], shoonya_0sMRL4VI4XY09T, 6493671]
[paragraph, [58.0, 190.0, 349.0, 18.0], shoonya_0sMRL4VI4XY09T, 6493671]
[paragraph, [58.0, 208.0, 349.0, 18.0], shoonya_0sMRL4VI4XY09T, 6493671]
[paragraph, [58.0, 226.0, 349.0, 18.0], shoonya_0sMRL4VI4XY09T, 6493671]
[paragraph, [58.0, 244.0, 349.0, 18.0], shoonya_0sMRL4VI4XY09T, 6493671]
[paragraph, [58.0, 262.0, 349.0, 18.0], shoonya_0sMRL4VI4XY09T, 6493671]
[paragraph, [58.0, 280.0, 349.0, 18.0], shoonya_0sMRL4VI4XY09T, 6493671]
[paragraph, [58.0, 298.0, 349.0, 18.0], shoonya_0sMRL4VI4XY09T, 6493671]
[paragraph, [61.0, 329.0, 344.0, 18.0], 8BPqR5c82m, 6493671]
[paragraph, [61.0, 347.0, 344.0, 18.0], 8BPqR5c82m, 6493671]
[paragraph, [61.0, 365.0, 344.0, 18.0], 8BPqR5c82m, 6493671]
[paragraph, [61.0, 383.0, 344.0, 18.0], 8BPqR5c82m, 6493671]
[paragraph, [61.0, 401.0, 344.0, 18.0], 8BPqR5c82m, 6493671]
[paragraph, [61.0, 419.0, 344.0, 18.0], 8BPqR5c82m, 6493671]
[paragraph, [61.0, 437.0, 344.0, 18.0], 8BPqR5c82m, 6493671]
[paragraph, [61.0, 455.0, 344.0, 18.0], 8BPqR5c82m, 6493671]
[paragraph, [65.0, 482.0, 342.0, 18.0], juXyQ_ZbZ2, 6493671]
[paragraph, [65.0, 500.0, 342.0, 18.0], juXyQ_ZbZ2, 6493671]
[paragraph, [65.0, 518.0, 342.0, 18.0], juXyQ_ZbZ2, 6493671]
[paragraph, [65.0, 536.0, 342.0, 18.0], juXyQ_ZbZ2, 6493671]
[paragraph, [65.0, 554.0, 342.0, 18.0], juXyQ_ZbZ2, 6493671]
[paragraph, [65.0, 572.0, 342.0, 18.0], juXyQ_ZbZ2, 6493671]
[paragraph, [65.0, 590.0, 342.0, 18.0], juXyQ_ZbZ2, 6493671]
