[1625, 1211]
[section-title, [105.0, 125.0, 1014.0, 49.5], HTiSiSKoI1, 5742658]
[author, [529.0, 192.0, 257.0, 36.0], iJzKqOoVls, 5742658]
[paragraph, [77.0, 245.0, 345.0, 36.0], TVVq9M9y3N, 5742658]
[paragraph, [77.0, 281.0, 345.0, 36.0], TVVq9M9y3N, 5742658]
[paragraph, [77.0, 317.0, 345.0, 36.0], TVVq9M9y3N, 5742658]
[paragraph, [77.0, 353.0, 345.0, 36.0], TVVq9M9y3N, 5742658]
[paragraph, [77.0, 389.0, 345.0, 36.0], TVVq9M9y3N, 5742658]
[paragraph, [77.0, 425.0, 345.0, 36.0], TVVq9M9y3N, 5742658]
[paragraph, [437.0, 248.0, 343.0, 36.0], EXg-onVfNK, 5742658]
[paragraph, [437.0, 284.0, 343.0, 36.0], EXg-onVfNK, 5742658]
[paragraph, [437.0, 320.0, 343.0, 36.0], EXg-onVfNK, 5742658]
[paragraph, [437.0, 356.0, 343.0, 36.0], EXg-onVfNK, 5742658]
[paragraph, [437.0, 392.0, 343.0, 36.0], EXg-onVfNK, 5742658]
[paragraph, [437.0, 428.0, 343.0, 36.0], EXg-onVfNK, 5742658]
[paragraph, [437.0, 464.0, 343.0, 36.0], EXg-onVfNK, 5742658]
[paragraph, [437.0, 500.0, 343.0, 36.0], EXg-onVfNK, 5742658]
[paragraph, [805.0, 249.0, 345.0, 36.0], shoonya_2sL2EOUN46PA4L, 5742658]
[paragraph, [797.0, 368.0, 346.0, 36.0], EOsbzEmvOy, 5742658]
[paragraph, [797.0, 404.0, 346.0, 36.0], EOsbzEmvOy, 5742658]
[paragraph, [797.0, 440.0, 346.0, 36.0], EOsbzEmvOy, 5742658]
[paragraph, [797.0, 476.0, 346.0, 36.0], EOsbzEmvOy, 5742658]
[paragraph, [797.0, 512.0, 346.0, 36.0], EOsbzEmvOy, 5742658]
[paragraph, [72.0, 481.0, 343.0, 36.0], KieDeLx3mj, 5742658]
[paragraph, [72.0, 517.0, 343.0, 36.0], KieDeLx3mj, 5742658]
[paragraph, [72.0, 553.0, 343.0, 36.0], KieDeLx3mj, 5742658]
[paragraph, [72.0, 589.0, 343.0, 36.0], KieDeLx3mj, 5742658]
[paragraph, [72.0, 625.0, 343.0, 36.0], KieDeLx3mj, 5742658]
