[1754, 1241]
[ordered-list, [192.0, 209.0, 900.0, 36.0], shoonya_0sN8VHVD7CZMYW, 5761835]
[ordered-list, [192.0, 245.0, 900.0, 36.0], shoonya_0sN8VHVD7CZMYW, 5761835]
[ordered-list, [192.0, 281.0, 900.0, 36.0], shoonya_0sN8VHVD7CZMYW, 5761835]
[ordered-list, [192.0, 317.0, 900.0, 36.0], shoonya_0sN8VHVD7CZMYW, 5761835]
[ordered-list, [192.0, 353.0, 900.0, 36.0], shoonya_0sN8VHVD7CZMYW, 5761835]
[ordered-list, [192.0, 389.0, 900.0, 36.0], shoonya_0sN8VHVD7CZMYW, 5761835]
[ordered-list, [192.0, 425.0, 900.0, 36.0], shoonya_0sN8VHVD7CZMYW, 5761835]
[ordered-list, [192.0, 461.0, 900.0, 36.0], shoonya_0sN8VHVD7CZMYW, 5761835]
[ordered-list, [192.0, 497.0, 900.0, 36.0], shoonya_0sN8VHVD7CZMYW, 5761835]
[ordered-list, [192.0, 533.0, 900.0, 36.0], shoonya_0sN8VHVD7CZMYW, 5761835]
[ordered-list, [192.0, 569.0, 900.0, 36.0], shoonya_0sN8VHVD7CZMYW, 5761835]
[ordered-list, [192.0, 605.0, 900.0, 36.0], shoonya_0sN8VHVD7CZMYW, 5761835]
[ordered-list, [192.0, 641.0, 900.0, 36.0], shoonya_0sN8VHVD7CZMYW, 5761835]
[ordered-list, [192.0, 677.0, 900.0, 36.0], shoonya_0sN8VHVD7CZMYW, 5761835]
[ordered-list, [192.0, 713.0, 900.0, 36.0], shoonya_0sN8VHVD7CZMYW, 5761835]
[ordered-list, [192.0, 749.0, 900.0, 36.0], shoonya_0sN8VHVD7CZMYW, 5761835]
[ordered-list, [192.0, 785.0, 900.0, 36.0], shoonya_0sN8VHVD7CZMYW, 5761835]
[ordered-list, [192.0, 821.0, 900.0, 36.0], shoonya_0sN8VHVD7CZMYW, 5761835]
[ordered-list, [192.0, 857.0, 900.0, 36.0], shoonya_0sN8VHVD7CZMYW, 5761835]
[ordered-list, [192.0, 893.0, 900.0, 36.0], shoonya_0sN8VHVD7CZMYW, 5761835]
[ordered-list, [192.0, 929.0, 900.0, 36.0], shoonya_0sN8VHVD7CZMYW, 5761835]
[ordered-list, [192.0, 965.0, 900.0, 36.0], shoonya_0sN8VHVD7CZMYW, 5761835]
[ordered-list, [192.0, 1001.0, 900.0, 36.0], shoonya_0sN8VHVD7CZMYW, 5761835]
[ordered-list, [192.0, 1037.0, 900.0, 36.0], shoonya_0sN8VHVD7CZMYW, 5761835]
[ordered-list, [192.0, 1073.0, 900.0, 36.0], shoonya_0sN8VHVD7CZMYW, 5761835]
[ordered-list, [192.0, 1109.0, 900.0, 36.0], shoonya_0sN8VHVD7CZMYW, 5761835]
[ordered-list, [192.0, 1145.0, 900.0, 36.0], shoonya_0sN8VHVD7CZMYW, 5761835]
[ordered-list, [192.0, 1181.0, 900.0, 36.0], shoonya_0sN8VHVD7CZMYW, 5761835]
[ordered-list, [192.0, 1217.0, 900.0, 36.0], shoonya_0sN8VHVD7CZMYW, 5761835]
[ordered-list, [192.0, 1253.0, 900.0, 36.0], shoonya_0sN8VHVD7CZMYW, 5761835]
[ordered-list, [192.0, 1289.0, 900.0, 36.0], shoonya_0sN8VHVD7CZMYW, 5761835]
[ordered-list, [192.0, 1325.0, 900.0, 36.0], shoonya_0sN8VHVD7CZMYW, 5761835]
[ordered-list, [192.0, 1361.0, 900.0, 36.0], shoonya_0sN8VHVD7CZMYW, 5761835]
[ordered-list, [192.0, 1397.0, 900.0, 36.0], shoonya_0sN8VHVD7CZMYW, 5761835]
[ordered-list, [192.0, 1433.0, 900.0, 36.0], shoonya_0sN8VHVD7CZMYW, 5761835]
[ordered-list, [192.0, 1469.0, 900.0, 36.0], shoonya_0sN8VHVD7CZMYW, 5761835]
[ordered-list, [192.0, 1505.0, 900.0, 36.0], shoonya_0sN8VHVD7CZMYW, 5761835]
[ordered-list, [192.0, 1541.0, 900.0, 36.0], shoonya_0sN8VHVD7CZMYW, 5761835]
