[1164, 755]
[paragraph, [72.0, 80.0, 616.0, 18.0], shoonya_3sDUX9XU5ZYW3X, 5691599]
[paragraph, [72.0, 98.0, 616.0, 18.0], shoonya_3sDUX9XU5ZYW3X, 5691599]
[paragraph, [73.0, 125.0, 612.0, 18.0], cD_eXuYX_-, 5691599]
[paragraph, [73.0, 143.0, 612.0, 18.0], cD_eXuYX_-, 5691599]
[paragraph, [73.0, 161.0, 612.0, 18.0], cD_eXuYX_-, 5691599]
[paragraph, [73.0, 179.0, 612.0, 18.0], cD_eXuYX_-, 5691599]
[paragraph, [99.0, 200.0, 296.0, 18.0], 9b04Ie6tAu, 5691599]
[paragraph, [106.0, 236.0, 97.0, 18.0], 3hvVuEnwlB, 5691599]
[paragraph, [103.0, 272.0, 227.0, 18.0], H1Cwv2-76G, 5691599]
[paragraph, [101.0, 303.0, 241.0, 18.0], skXMolluXP, 5691599]
[paragraph, [71.0, 338.0, 616.0, 18.0], B7RsD_0-sq, 5691599]
[paragraph, [71.0, 356.0, 616.0, 18.0], B7RsD_0-sq, 5691599]
[paragraph, [71.0, 374.0, 616.0, 18.0], B7RsD_0-sq, 5691599]
[paragraph, [71.0, 392.0, 616.0, 18.0], B7RsD_0-sq, 5691599]
[paragraph, [71.0, 410.0, 616.0, 18.0], B7RsD_0-sq, 5691599]
[paragraph, [71.0, 428.0, 616.0, 18.0], B7RsD_0-sq, 5691599]
[paragraph, [71.0, 446.0, 616.0, 18.0], B7RsD_0-sq, 5691599]
[paragraph, [71.0, 479.0, 615.0, 18.0], shoonya_1sN51U7ESSML4D, 5691599]
[paragraph, [71.0, 497.0, 615.0, 18.0], shoonya_1sN51U7ESSML4D, 5691599]
[paragraph, [71.0, 515.0, 615.0, 18.0], shoonya_1sN51U7ESSML4D, 5691599]
[paragraph, [71.0, 533.0, 615.0, 18.0], shoonya_1sN51U7ESSML4D, 5691599]
[paragraph, [71.0, 551.0, 615.0, 18.0], shoonya_1sN51U7ESSML4D, 5691599]
[paragraph, [71.0, 569.0, 615.0, 18.0], shoonya_1sN51U7ESSML4D, 5691599]
[paragraph, [71.0, 587.0, 615.0, 18.0], shoonya_1sN51U7ESSML4D, 5691599]
[paragraph, [71.0, 605.0, 615.0, 18.0], shoonya_1sN51U7ESSML4D, 5691599]
[paragraph, [71.0, 623.0, 615.0, 18.0], shoonya_1sN51U7ESSML4D, 5691599]
[paragraph, [71.0, 641.0, 615.0, 18.0], shoonya_1sN51U7ESSML4D, 5691599]
[paragraph, [71.0, 659.0, 615.0, 18.0], shoonya_1sN51U7ESSML4D, 5691599]
[paragraph, [71.0, 677.0, 615.0, 18.0], shoonya_1sN51U7ESSML4D, 5691599]
[paragraph, [71.0, 695.0, 615.0, 18.0], shoonya_1sN51U7ESSML4D, 5691599]
[paragraph, [70.0, 722.0, 615.0, 18.0], shoonya_0sQ72W5A4FA76X, 5691599]
[paragraph, [70.0, 740.0, 615.0, 18.0], shoonya_0sQ72W5A4FA76X, 5691599]
[paragraph, [70.0, 758.0, 615.0, 18.0], shoonya_0sQ72W5A4FA76X, 5691599]
[paragraph, [70.0, 776.0, 615.0, 18.0], shoonya_0sQ72W5A4FA76X, 5691599]
[paragraph, [70.0, 794.0, 615.0, 18.0], shoonya_0sQ72W5A4FA76X, 5691599]
[paragraph, [70.0, 812.0, 615.0, 18.0], shoonya_0sQ72W5A4FA76X, 5691599]
[paragraph, [67.0, 829.0, 621.0, 18.0], shoonya_4s42D9ZS6S02UJ, 5691599]
[paragraph, [67.0, 847.0, 621.0, 18.0], shoonya_4s42D9ZS6S02UJ, 5691599]
[paragraph, [67.0, 865.0, 621.0, 18.0], shoonya_4s42D9ZS6S02UJ, 5691599]
[paragraph, [67.0, 883.0, 621.0, 18.0], shoonya_4s42D9ZS6S02UJ, 5691599]
[paragraph, [67.0, 901.0, 621.0, 18.0], shoonya_4s42D9ZS6S02UJ, 5691599]
[paragraph, [67.0, 919.0, 621.0, 18.0], shoonya_4s42D9ZS6S02UJ, 5691599]
[paragraph, [67.0, 937.0, 621.0, 18.0], shoonya_4s42D9ZS6S02UJ, 5691599]
[paragraph, [67.0, 955.0, 621.0, 18.0], shoonya_4s42D9ZS6S02UJ, 5691599]
[paragraph, [67.0, 973.0, 621.0, 18.0], shoonya_4s42D9ZS6S02UJ, 5691599]
[paragraph, [67.0, 991.0, 621.0, 18.0], shoonya_4s42D9ZS6S02UJ, 5691599]
