[2339, 1653]
[folio, [709.0, 242.0, 254.0, 36.0], shoonya_4sJAW2B0U3FNFO, 5687242]
[section-title, [280.0, 317.0, 1076.0, 52.5], -9pZhk_vvK, 5687242]
[paragraph, [241.0, 599.0, 1162.0, 36.0], shoonya_1sO6DMBIJ1HPPJ, 5687242]
[paragraph, [241.0, 635.0, 1162.0, 36.0], shoonya_1sO6DMBIJ1HPPJ, 5687242]
[paragraph, [241.0, 671.0, 1162.0, 36.0], shoonya_1sO6DMBIJ1HPPJ, 5687242]
[paragraph, [241.0, 707.0, 1162.0, 36.0], shoonya_1sO6DMBIJ1HPPJ, 5687242]
[paragraph, [241.0, 743.0, 1162.0, 36.0], shoonya_1sO6DMBIJ1HPPJ, 5687242]
[paragraph, [241.0, 779.0, 1162.0, 36.0], shoonya_1sO6DMBIJ1HPPJ, 5687242]
[paragraph, [241.0, 815.0, 1162.0, 36.0], shoonya_1sO6DMBIJ1HPPJ, 5687242]
[paragraph, [241.0, 851.0, 1162.0, 36.0], shoonya_1sO6DMBIJ1HPPJ, 5687242]
[paragraph, [241.0, 887.0, 1162.0, 36.0], shoonya_1sO6DMBIJ1HPPJ, 5687242]
[paragraph, [241.0, 923.0, 1162.0, 36.0], shoonya_1sO6DMBIJ1HPPJ, 5687242]
[paragraph, [241.0, 959.0, 1162.0, 36.0], shoonya_1sO6DMBIJ1HPPJ, 5687242]
[paragraph, [241.0, 995.0, 1162.0, 36.0], shoonya_1sO6DMBIJ1HPPJ, 5687242]
[paragraph, [241.0, 1031.0, 1162.0, 36.0], shoonya_1sO6DMBIJ1HPPJ, 5687242]
[paragraph, [241.0, 1067.0, 1162.0, 36.0], shoonya_1sO6DMBIJ1HPPJ, 5687242]
[paragraph, [241.0, 1103.0, 1162.0, 36.0], shoonya_1sO6DMBIJ1HPPJ, 5687242]
[paragraph, [237.0, 1156.0, 1164.0, 36.0], shoonya_0sFPDRURG47MXE, 5687242]
[paragraph, [237.0, 1192.0, 1164.0, 36.0], shoonya_0sFPDRURG47MXE, 5687242]
[paragraph, [237.0, 1228.0, 1164.0, 36.0], shoonya_0sFPDRURG47MXE, 5687242]
[paragraph, [237.0, 1264.0, 1164.0, 36.0], shoonya_0sFPDRURG47MXE, 5687242]
[paragraph, [237.0, 1300.0, 1164.0, 36.0], shoonya_0sFPDRURG47MXE, 5687242]
[paragraph, [237.0, 1336.0, 1164.0, 36.0], shoonya_0sFPDRURG47MXE, 5687242]
[paragraph, [237.0, 1372.0, 1164.0, 36.0], shoonya_0sFPDRURG47MXE, 5687242]
[paragraph, [237.0, 1408.0, 1164.0, 36.0], shoonya_0sFPDRURG47MXE, 5687242]
[paragraph, [237.0, 1444.0, 1164.0, 36.0], shoonya_0sFPDRURG47MXE, 5687242]
[paragraph, [237.0, 1480.0, 1164.0, 36.0], shoonya_0sFPDRURG47MXE, 5687242]
[paragraph, [237.0, 1516.0, 1164.0, 36.0], shoonya_0sFPDRURG47MXE, 5687242]
[paragraph, [237.0, 1552.0, 1164.0, 36.0], shoonya_0sFPDRURG47MXE, 5687242]
[paragraph, [237.0, 1588.0, 1164.0, 36.0], shoonya_0sFPDRURG47MXE, 5687242]
[paragraph, [237.0, 1624.0, 1164.0, 36.0], shoonya_0sFPDRURG47MXE, 5687242]
[paragraph, [237.0, 1660.0, 1164.0, 36.0], shoonya_0sFPDRURG47MXE, 5687242]
[paragraph, [237.0, 1696.0, 1164.0, 36.0], shoonya_0sFPDRURG47MXE, 5687242]
[paragraph, [237.0, 1732.0, 1164.0, 36.0], shoonya_0sFPDRURG47MXE, 5687242]
[paragraph, [237.0, 1768.0, 1164.0, 36.0], shoonya_0sFPDRURG47MXE, 5687242]
[paragraph, [237.0, 1804.0, 1164.0, 36.0], shoonya_0sFPDRURG47MXE, 5687242]
[paragraph, [237.0, 1840.0, 1164.0, 36.0], shoonya_0sFPDRURG47MXE, 5687242]
[paragraph, [237.0, 1876.0, 1164.0, 36.0], shoonya_0sFPDRURG47MXE, 5687242]
[paragraph, [237.0, 1912.0, 1164.0, 36.0], shoonya_0sFPDRURG47MXE, 5687242]
[paragraph, [237.0, 1948.0, 1164.0, 36.0], shoonya_0sFPDRURG47MXE, 5687242]
[paragraph, [237.0, 1984.0, 1164.0, 36.0], shoonya_0sFPDRURG47MXE, 5687242]
[reference, [238.0, 2086.0, 801.0, 36.0], shoonya_2s1A7POCHM4OT1, 5687242]
