[2200, 1700]
[paragraph, [289.0, 101.0, 1088.0, 36.0], shoonya_1sNOJKW8JG8OO8, 5731484]
[paragraph, [289.0, 137.0, 1088.0, 36.0], shoonya_1sNOJKW8JG8OO8, 5731484]
[paragraph, [289.0, 173.0, 1088.0, 36.0], shoonya_1sNOJKW8JG8OO8, 5731484]
[paragraph, [289.0, 209.0, 1088.0, 36.0], shoonya_1sNOJKW8JG8OO8, 5731484]
[paragraph, [289.0, 245.0, 1088.0, 36.0], shoonya_1sNOJKW8JG8OO8, 5731484]
[paragraph, [289.0, 281.0, 1088.0, 36.0], shoonya_1sNOJKW8JG8OO8, 5731484]
[paragraph, [289.0, 317.0, 1088.0, 36.0], shoonya_1sNOJKW8JG8OO8, 5731484]
[paragraph, [289.0, 353.0, 1088.0, 36.0], shoonya_1sNOJKW8JG8OO8, 5731484]
[paragraph, [289.0, 389.0, 1088.0, 36.0], shoonya_1sNOJKW8JG8OO8, 5731484]
[paragraph, [289.0, 425.0, 1088.0, 36.0], shoonya_1sNOJKW8JG8OO8, 5731484]
[paragraph, [289.0, 461.0, 1088.0, 36.0], shoonya_1sNOJKW8JG8OO8, 5731484]
[paragraph, [278.0, 509.0, 1104.0, 36.0], shoonya_0sYCETHN2PFXRC, 5731484]
[paragraph, [278.0, 545.0, 1104.0, 36.0], shoonya_0sYCETHN2PFXRC, 5731484]
[paragraph, [278.0, 581.0, 1104.0, 36.0], shoonya_0sYCETHN2PFXRC, 5731484]
[paragraph, [278.0, 617.0, 1104.0, 36.0], shoonya_0sYCETHN2PFXRC, 5731484]
[paragraph, [278.0, 653.0, 1104.0, 36.0], shoonya_0sYCETHN2PFXRC, 5731484]
[paragraph, [278.0, 689.0, 1104.0, 36.0], shoonya_0sYCETHN2PFXRC, 5731484]
[paragraph, [278.0, 725.0, 1104.0, 36.0], shoonya_0sYCETHN2PFXRC, 5731484]
[paragraph, [278.0, 761.0, 1104.0, 36.0], shoonya_0sYCETHN2PFXRC, 5731484]
[paragraph, [278.0, 797.0, 1104.0, 36.0], shoonya_0sYCETHN2PFXRC, 5731484]
[paragraph, [278.0, 833.0, 1104.0, 36.0], shoonya_0sYCETHN2PFXRC, 5731484]
[paragraph, [278.0, 869.0, 1104.0, 36.0], shoonya_0sYCETHN2PFXRC, 5731484]
[paragraph, [278.0, 905.0, 1104.0, 36.0], shoonya_0sYCETHN2PFXRC, 5731484]
[paragraph, [278.0, 941.0, 1104.0, 36.0], shoonya_0sYCETHN2PFXRC, 5731484]
[paragraph, [278.0, 977.0, 1104.0, 36.0], shoonya_0sYCETHN2PFXRC, 5731484]
[paragraph, [278.0, 1013.0, 1104.0, 36.0], shoonya_0sYCETHN2PFXRC, 5731484]
[paragraph, [278.0, 1049.0, 1104.0, 36.0], shoonya_0sYCETHN2PFXRC, 5731484]
[paragraph, [278.0, 1085.0, 1104.0, 36.0], shoonya_0sYCETHN2PFXRC, 5731484]
[paragraph, [278.0, 1121.0, 1104.0, 36.0], shoonya_0sYCETHN2PFXRC, 5731484]
[paragraph, [278.0, 1157.0, 1104.0, 36.0], shoonya_0sYCETHN2PFXRC, 5731484]
[paragraph, [278.0, 1193.0, 1104.0, 36.0], shoonya_0sYCETHN2PFXRC, 5731484]
[paragraph, [278.0, 1229.0, 1104.0, 36.0], shoonya_0sYCETHN2PFXRC, 5731484]
[paragraph, [278.0, 1265.0, 1104.0, 36.0], shoonya_0sYCETHN2PFXRC, 5731484]
[paragraph, [278.0, 1301.0, 1104.0, 36.0], shoonya_0sYCETHN2PFXRC, 5731484]
[paragraph, [278.0, 1337.0, 1104.0, 36.0], shoonya_0sYCETHN2PFXRC, 5731484]
[paragraph, [278.0, 1373.0, 1104.0, 36.0], shoonya_0sYCETHN2PFXRC, 5731484]
[paragraph, [278.0, 1409.0, 1104.0, 36.0], shoonya_0sYCETHN2PFXRC, 5731484]
[paragraph, [278.0, 1445.0, 1104.0, 36.0], shoonya_0sYCETHN2PFXRC, 5731484]
[paragraph, [278.0, 1481.0, 1104.0, 36.0], shoonya_0sYCETHN2PFXRC, 5731484]
[paragraph, [278.0, 1517.0, 1104.0, 36.0], shoonya_0sYCETHN2PFXRC, 5731484]
[paragraph, [278.0, 1553.0, 1104.0, 36.0], shoonya_0sYCETHN2PFXRC, 5731484]
[paragraph, [278.0, 1589.0, 1104.0, 36.0], shoonya_0sYCETHN2PFXRC, 5731484]
[paragraph, [278.0, 1625.0, 1104.0, 36.0], shoonya_0sYCETHN2PFXRC, 5731484]
[paragraph, [278.0, 1661.0, 1104.0, 36.0], shoonya_0sYCETHN2PFXRC, 5731484]
[paragraph, [278.0, 1697.0, 1104.0, 36.0], shoonya_0sYCETHN2PFXRC, 5731484]
[paragraph, [278.0, 1733.0, 1104.0, 36.0], shoonya_0sYCETHN2PFXRC, 5731484]
[paragraph, [278.0, 1769.0, 1104.0, 36.0], shoonya_0sYCETHN2PFXRC, 5731484]
[paragraph, [278.0, 1805.0, 1104.0, 36.0], shoonya_0sYCETHN2PFXRC, 5731484]
[paragraph, [278.0, 1841.0, 1104.0, 36.0], shoonya_0sYCETHN2PFXRC, 5731484]
[paragraph, [278.0, 1877.0, 1104.0, 36.0], shoonya_0sYCETHN2PFXRC, 5731484]
[paragraph, [278.0, 1913.0, 1104.0, 36.0], shoonya_0sYCETHN2PFXRC, 5731484]
[folio, [284.0, 2055.0, 356.0, 36.0], 8tbDCm6x-w, 5731484]
