[3509, 2482]
[folio, [822.0, 183.0, 508.0, 52.5], Tpx4gH2vUd, 5691511]
[folio, [822.0, 235.5, 508.0, 52.5], Tpx4gH2vUd, 5691511]
[paragraph, [191.0, 345.0, 1276.0, 52.5], shoonya_2sK963KDVA40UP, 5691511]
[paragraph, [207.0, 413.0, 1772.0, 52.5], shoonya_1sJ1F5PL24YK4F, 5691511]
[paragraph, [207.0, 465.5, 1772.0, 52.5], shoonya_1sJ1F5PL24YK4F, 5691511]
[paragraph, [207.0, 518.0, 1772.0, 52.5], shoonya_1sJ1F5PL24YK4F, 5691511]
[paragraph, [207.0, 570.5, 1772.0, 52.5], shoonya_1sJ1F5PL24YK4F, 5691511]
[paragraph, [207.0, 623.0, 1772.0, 52.5], shoonya_1sJ1F5PL24YK4F, 5691511]
[paragraph, [201.0, 719.0, 1818.0, 52.5], zCeSp0kcWW, 5691511]
[paragraph, [201.0, 771.5, 1818.0, 52.5], zCeSp0kcWW, 5691511]
[paragraph, [201.0, 824.0, 1818.0, 52.5], zCeSp0kcWW, 5691511]
[paragraph, [220.0, 884.0, 1762.0, 52.5], PpR1DTbsLA, 5691511]
[paragraph, [220.0, 936.5, 1762.0, 52.5], PpR1DTbsLA, 5691511]
[paragraph, [220.0, 989.0, 1762.0, 52.5], PpR1DTbsLA, 5691511]
[paragraph, [220.0, 1041.5, 1762.0, 52.5], PpR1DTbsLA, 5691511]
[paragraph, [205.0, 1099.0, 1796.0, 52.5], shoonya_4sAGR2FGLGDVAT, 5691511]
[paragraph, [205.0, 1151.5, 1796.0, 52.5], shoonya_4sAGR2FGLGDVAT, 5691511]
[paragraph, [205.0, 1204.0, 1796.0, 52.5], shoonya_4sAGR2FGLGDVAT, 5691511]
[paragraph, [205.0, 1256.5, 1796.0, 52.5], shoonya_4sAGR2FGLGDVAT, 5691511]
[paragraph, [205.0, 1309.0, 1796.0, 52.5], shoonya_4sAGR2FGLGDVAT, 5691511]
[paragraph, [205.0, 1361.5, 1796.0, 52.5], shoonya_4sAGR2FGLGDVAT, 5691511]
[paragraph, [205.0, 1414.0, 1796.0, 52.5], shoonya_4sAGR2FGLGDVAT, 5691511]
[paragraph, [205.0, 1466.5, 1796.0, 52.5], shoonya_4sAGR2FGLGDVAT, 5691511]
[paragraph, [205.0, 1519.0, 1796.0, 52.5], shoonya_4sAGR2FGLGDVAT, 5691511]
[paragraph, [205.0, 1571.5, 1796.0, 52.5], shoonya_4sAGR2FGLGDVAT, 5691511]
[paragraph, [294.0, 1641.0, 825.0, 52.5], iHkiHLpSe0, 5691511]
[paragraph, [319.0, 1715.0, 1151.0, 52.5], 7kXQXCJQ29, 5691511]
[paragraph, [300.0, 1796.0, 1082.0, 52.5], yVOFB7CKqQ, 5691511]
[paragraph, [282.0, 1870.0, 468.0, 52.5], 3MoM1z4AjO, 5691511]
[paragraph, [189.0, 1945.0, 1833.0, 52.5], 8STXEv5rLh, 5691511]
[paragraph, [189.0, 1997.5, 1833.0, 52.5], 8STXEv5rLh, 5691511]
[paragraph, [189.0, 2050.0, 1833.0, 52.5], 8STXEv5rLh, 5691511]
[paragraph, [189.0, 2102.5, 1833.0, 52.5], 8STXEv5rLh, 5691511]
[paragraph, [319.0, 2174.0, 1144.0, 52.5], aUKYodW_gx, 5691511]
[paragraph, [304.0, 2261.0, 999.0, 52.5], sd9CNFtyf2, 5691511]
[paragraph, [279.0, 2323.0, 1026.0, 52.5], v-sJmIBO8j, 5691511]
[paragraph, [273.0, 2401.0, 595.0, 52.5], M-lf383uRm, 5691511]
[paragraph, [310.0, 2478.0, 806.0, 52.5], M89UG4QvDH, 5691511]
[section-title, [920.0, 2851.0, 445.0, 93.0], shoonya_3sYECH8IME7HV5, 5691511]
[paragraph, [279.0, 3000.0, 648.0, 52.5], Ikz3bVG5oP, 5691511]
[paragraph, [304.0, 3080.0, 632.0, 52.5], Gddpvd2B4K, 5691511]
[paragraph, [294.0, 3155.0, 1659.0, 52.5], 3gbVj__JNu, 5691511]
[folio, [319.0, 3251.0, 443.0, 52.5], jRA0548O35, 5691511]
