[3508, 2481]
[contact-info, [687.0, 90.0, 1072.0, 52.5], jE_QGMMkSs, 6491241]
[contact-info, [687.0, 142.5, 1072.0, 52.5], jE_QGMMkSs, 6491241]
[contact-info, [721.0, 472.0, 1038.0, 52.5], uXVcsvXVJM, 6491241]
[contact-info, [1479.0, 693.0, 802.0, 52.5], UXGKVJOtlZ, 6491241]
[contact-info, [1479.0, 745.5, 802.0, 52.5], UXGKVJOtlZ, 6491241]
[contact-info, [1479.0, 798.0, 802.0, 52.5], UXGKVJOtlZ, 6491241]
[section-title, [1075.0, 926.0, 326.0, 93.0], TtKdhuro5b, 6491241]
[paragraph, [590.0, 1153.0, 1280.0, 52.5], qnPSoRWuTM, 6491241]
[paragraph, [590.0, 1205.5, 1280.0, 52.5], qnPSoRWuTM, 6491241]
[dateline, [1066.0, 1405.0, 366.0, 52.5], QSXtzGdTdq, 6491241]
[paragraph, [189.0, 1676.0, 544.0, 52.5], MUGDmT0A1T, 6491241]
[paragraph, [170.0, 1788.0, 2120.0, 52.5], ptFniCRRu0, 6491241]
[paragraph, [170.0, 1840.5, 2120.0, 52.5], ptFniCRRu0, 6491241]
[paragraph, [170.0, 1893.0, 2120.0, 52.5], ptFniCRRu0, 6491241]
[paragraph, [170.0, 1945.5, 2120.0, 52.5], ptFniCRRu0, 6491241]
[paragraph, [170.0, 1998.0, 2120.0, 52.5], ptFniCRRu0, 6491241]
[paragraph, [170.0, 2050.5, 2120.0, 52.5], ptFniCRRu0, 6491241]
[paragraph, [170.0, 2103.0, 2120.0, 52.5], ptFniCRRu0, 6491241]
[folio, [670.0, 3013.0, 1139.0, 52.5], MgxpePW7aU, 6491241]
[folio, [670.0, 3065.5, 1139.0, 52.5], MgxpePW7aU, 6491241]
[folio, [670.0, 3118.0, 1139.0, 52.5], MgxpePW7aU, 6491241]
