[842, 596]
[headline, [29.0, 19.0, 524.0, 25.5], v0DCARl7X8, 5780031]
[headline, [29.0, 44.5, 524.0, 25.5], v0DCARl7X8, 5780031]
[headline, [29.0, 70.0, 524.0, 25.5], v0DCARl7X8, 5780031]
[folio, [287.0, 106.0, 43.0, 18.0], L-hOAVQlAW, 5780031]
[folio, [287.0, 124.0, 43.0, 18.0], L-hOAVQlAW, 5780031]
[section-title, [20.0, 128.0, 292.0, 30.0], IFKy82ZGq8, 5780031]
[paragraph, [19.0, 186.0, 305.0, 18.0], shoonya_12sM6KVNIYJUPW, 5780031]
[paragraph, [19.0, 204.0, 305.0, 18.0], shoonya_12sM6KVNIYJUPW, 5780031]
[paragraph, [19.0, 222.0, 305.0, 18.0], shoonya_12sM6KVNIYJUPW, 5780031]
[paragraph, [19.0, 240.0, 305.0, 18.0], shoonya_12sM6KVNIYJUPW, 5780031]
[paragraph, [19.0, 258.0, 305.0, 18.0], shoonya_12sM6KVNIYJUPW, 5780031]
[folio, [532.0, 283.0, 53.0, 18.0], cAGqIG-qcW, 5780031]
[folio, [532.0, 301.0, 53.0, 18.0], cAGqIG-qcW, 5780031]
[paragraph, [459.0, 334.0, 106.0, 18.0], shoonya_23sS8D53RU8HLL, 5780031]
[paragraph, [459.0, 352.0, 106.0, 18.0], shoonya_23sS8D53RU8HLL, 5780031]
[paragraph, [343.0, 335.0, 98.0, 18.0], shoonya_22sEJTQ5EYXGNZ, 5780031]
[paragraph, [343.0, 353.0, 98.0, 18.0], shoonya_22sEJTQ5EYXGNZ, 5780031]
[folio, [534.0, 371.0, 49.0, 18.0], XSlPkYdjW_, 5780031]
[folio, [534.0, 389.0, 49.0, 18.0], XSlPkYdjW_, 5780031]
[folio, [288.0, 373.0, 43.0, 18.0], 5WILE747dy, 5780031]
[folio, [288.0, 391.0, 43.0, 18.0], 5WILE747dy, 5780031]
[folio, [115.0, 377.0, 52.0, 18.0], i0Mkl1AW4j, 5780031]
[folio, [115.0, 395.0, 52.0, 18.0], i0Mkl1AW4j, 5780031]
[section-title, [176.0, 406.0, 119.0, 30.0], shoonya_9sFRDUEIHWYNQV, 5780031]
[section-title, [26.0, 407.0, 101.0, 30.0], shoonya_10sSU4RZZWMKMT, 5780031]
[paragraph, [333.0, 417.0, 252.0, 18.0], shoonya_7sR3ZCHPALQ1RA, 5780031]
[paragraph, [333.0, 435.0, 252.0, 18.0], shoonya_7sR3ZCHPALQ1RA, 5780031]
[paragraph, [333.0, 453.0, 252.0, 18.0], shoonya_7sR3ZCHPALQ1RA, 5780031]
[paragraph, [333.0, 471.0, 252.0, 18.0], shoonya_7sR3ZCHPALQ1RA, 5780031]
[paragraph, [333.0, 489.0, 252.0, 18.0], shoonya_7sR3ZCHPALQ1RA, 5780031]
[paragraph, [333.0, 507.0, 252.0, 18.0], shoonya_7sR3ZCHPALQ1RA, 5780031]
[paragraph, [333.0, 525.0, 252.0, 18.0], shoonya_7sR3ZCHPALQ1RA, 5780031]
[paragraph, [172.0, 442.0, 154.0, 18.0], shoonya_6sP5G9R0NPHN0B, 5780031]
[paragraph, [172.0, 460.0, 154.0, 18.0], shoonya_6sP5G9R0NPHN0B, 5780031]
[paragraph, [172.0, 478.0, 154.0, 18.0], shoonya_6sP5G9R0NPHN0B, 5780031]
[paragraph, [172.0, 496.0, 154.0, 18.0], shoonya_6sP5G9R0NPHN0B, 5780031]
[paragraph, [172.0, 514.0, 154.0, 18.0], shoonya_6sP5G9R0NPHN0B, 5780031]
[paragraph, [26.0, 443.0, 125.0, 18.0], shoonya_3s9J4RG2R8348N, 5780031]
[paragraph, [26.0, 461.0, 125.0, 18.0], shoonya_3s9J4RG2R8348N, 5780031]
[paragraph, [26.0, 479.0, 125.0, 18.0], shoonya_3s9J4RG2R8348N, 5780031]
[paragraph, [26.0, 497.0, 125.0, 18.0], shoonya_3s9J4RG2R8348N, 5780031]
[paragraph, [26.0, 515.0, 125.0, 18.0], shoonya_3s9J4RG2R8348N, 5780031]
[folio, [540.0, 542.0, 40.0, 18.0], shoonya_21s7EGF1S0SR6W, 5780031]
[paragraph, [25.0, 544.0, 123.0, 18.0], shoonya_0sBF9NN245HVVF, 5780031]
[paragraph, [25.0, 562.0, 123.0, 18.0], shoonya_0sBF9NN245HVVF, 5780031]
[paragraph, [25.0, 580.0, 123.0, 18.0], shoonya_0sBF9NN245HVVF, 5780031]
[paragraph, [25.0, 598.0, 123.0, 18.0], shoonya_0sBF9NN245HVVF, 5780031]
[paragraph, [25.0, 616.0, 123.0, 18.0], shoonya_0sBF9NN245HVVF, 5780031]
[paragraph, [25.0, 634.0, 123.0, 18.0], shoonya_0sBF9NN245HVVF, 5780031]
[paragraph, [25.0, 652.0, 123.0, 18.0], shoonya_0sBF9NN245HVVF, 5780031]
[section-title, [448.0, 580.0, 108.0, 30.0], shoonya_4s6DA7X8PCDJIB, 5780031]
[paragraph, [447.0, 616.0, 114.0, 18.0], shoonya_5sR31I688QJ4BF, 5780031]
[paragraph, [447.0, 634.0, 114.0, 18.0], shoonya_5sR31I688QJ4BF, 5780031]
[folio, [392.0, 688.0, 47.0, 18.0], shoonya_19sRZH3EVWAGSP, 5780031]
[folio, [115.0, 672.0, 49.0, 18.0], qNeSdAZ30t, 5780031]
[folio, [115.0, 690.0, 49.0, 18.0], qNeSdAZ30t, 5780031]
[paragraph, [21.0, 720.0, 138.0, 18.0], shoonya_2sDDE7RSF161R7, 5780031]
[paragraph, [21.0, 738.0, 138.0, 18.0], shoonya_2sDDE7RSF161R7, 5780031]
[paragraph, [21.0, 756.0, 138.0, 18.0], shoonya_2sDDE7RSF161R7, 5780031]
[paragraph, [21.0, 774.0, 138.0, 18.0], shoonya_2sDDE7RSF161R7, 5780031]
[paragraph, [21.0, 792.0, 138.0, 18.0], shoonya_2sDDE7RSF161R7, 5780031]
[paragraph, [175.0, 725.0, 253.0, 18.0], shoonya_11sZGYCX3XYEP0, 5780031]
[paragraph, [175.0, 743.0, 253.0, 18.0], shoonya_11sZGYCX3XYEP0, 5780031]
[paragraph, [175.0, 761.0, 253.0, 18.0], shoonya_11sZGYCX3XYEP0, 5780031]
[paragraph, [175.0, 779.0, 253.0, 18.0], shoonya_11sZGYCX3XYEP0, 5780031]
[paragraph, [445.0, 733.0, 122.0, 18.0], shoonya_1s1WS56SVPXM57, 5780031]
[paragraph, [445.0, 751.0, 122.0, 18.0], shoonya_1s1WS56SVPXM57, 5780031]
[paragraph, [445.0, 769.0, 122.0, 18.0], shoonya_1s1WS56SVPXM57, 5780031]
