[2150, 1329]
[folio, [1003.0, 137.0, 194.0, 36.0], 0LLW6p_RpQ, 5691744]
[folio, [419.0, 141.0, 425.0, 36.0], shoonya_1sFPJKLMEGQBRI, 5691744]
[paragraph, [369.0, 225.0, 533.0, 36.0], qtZ3zNGcXJ, 5691744]
[paragraph, [385.0, 298.0, 548.0, 36.0], shoonya_0sVWPQEXXFFQQX, 5691744]
[paragraph, [385.0, 334.0, 548.0, 36.0], shoonya_0sVWPQEXXFFQQX, 5691744]
[paragraph, [385.0, 370.0, 548.0, 36.0], shoonya_0sVWPQEXXFFQQX, 5691744]
[paragraph, [385.0, 406.0, 548.0, 36.0], shoonya_0sVWPQEXXFFQQX, 5691744]
[paragraph, [385.0, 442.0, 548.0, 36.0], shoonya_0sVWPQEXXFFQQX, 5691744]
[paragraph, [385.0, 478.0, 548.0, 36.0], shoonya_0sVWPQEXXFFQQX, 5691744]
[paragraph, [385.0, 514.0, 548.0, 36.0], shoonya_0sVWPQEXXFFQQX, 5691744]
[paragraph, [385.0, 550.0, 548.0, 36.0], shoonya_0sVWPQEXXFFQQX, 5691744]
[paragraph, [385.0, 586.0, 548.0, 36.0], shoonya_0sVWPQEXXFFQQX, 5691744]
[paragraph, [385.0, 622.0, 548.0, 36.0], shoonya_0sVWPQEXXFFQQX, 5691744]
[paragraph, [385.0, 658.0, 548.0, 36.0], shoonya_0sVWPQEXXFFQQX, 5691744]
[paragraph, [385.0, 694.0, 548.0, 36.0], shoonya_0sVWPQEXXFFQQX, 5691744]
[paragraph, [385.0, 730.0, 548.0, 36.0], shoonya_0sVWPQEXXFFQQX, 5691744]
[paragraph, [385.0, 766.0, 548.0, 36.0], shoonya_0sVWPQEXXFFQQX, 5691744]
[paragraph, [385.0, 802.0, 548.0, 36.0], shoonya_0sVWPQEXXFFQQX, 5691744]
[paragraph, [385.0, 838.0, 548.0, 36.0], shoonya_0sVWPQEXXFFQQX, 5691744]
[paragraph, [385.0, 874.0, 548.0, 36.0], shoonya_0sVWPQEXXFFQQX, 5691744]
[paragraph, [385.0, 910.0, 548.0, 36.0], shoonya_0sVWPQEXXFFQQX, 5691744]
[paragraph, [385.0, 946.0, 548.0, 36.0], shoonya_0sVWPQEXXFFQQX, 5691744]
[paragraph, [385.0, 982.0, 548.0, 36.0], shoonya_0sVWPQEXXFFQQX, 5691744]
[paragraph, [385.0, 1018.0, 548.0, 36.0], shoonya_0sVWPQEXXFFQQX, 5691744]
[paragraph, [385.0, 1054.0, 548.0, 36.0], shoonya_0sVWPQEXXFFQQX, 5691744]
[paragraph, [385.0, 1090.0, 548.0, 36.0], shoonya_0sVWPQEXXFFQQX, 5691744]
[paragraph, [385.0, 1126.0, 548.0, 36.0], shoonya_0sVWPQEXXFFQQX, 5691744]
[paragraph, [385.0, 1162.0, 548.0, 36.0], shoonya_0sVWPQEXXFFQQX, 5691744]
[paragraph, [385.0, 1198.0, 548.0, 36.0], shoonya_0sVWPQEXXFFQQX, 5691744]
[paragraph, [385.0, 1234.0, 548.0, 36.0], shoonya_0sVWPQEXXFFQQX, 5691744]
[paragraph, [385.0, 1270.0, 548.0, 36.0], shoonya_0sVWPQEXXFFQQX, 5691744]
[paragraph, [385.0, 1306.0, 548.0, 36.0], shoonya_0sVWPQEXXFFQQX, 5691744]
[paragraph, [385.0, 1342.0, 548.0, 36.0], shoonya_0sVWPQEXXFFQQX, 5691744]
[paragraph, [385.0, 1378.0, 548.0, 36.0], shoonya_0sVWPQEXXFFQQX, 5691744]
[paragraph, [385.0, 1414.0, 548.0, 36.0], shoonya_0sVWPQEXXFFQQX, 5691744]
[paragraph, [385.0, 1450.0, 548.0, 36.0], shoonya_0sVWPQEXXFFQQX, 5691744]
[paragraph, [385.0, 1486.0, 548.0, 36.0], shoonya_0sVWPQEXXFFQQX, 5691744]
[paragraph, [385.0, 1522.0, 548.0, 36.0], shoonya_0sVWPQEXXFFQQX, 5691744]
[paragraph, [385.0, 1558.0, 548.0, 36.0], shoonya_0sVWPQEXXFFQQX, 5691744]
[paragraph, [385.0, 1594.0, 548.0, 36.0], shoonya_0sVWPQEXXFFQQX, 5691744]
[paragraph, [416.0, 1656.0, 523.0, 36.0], URvPEHkL-m, 5691744]
[footnote, [156.0, 1751.0, 1038.0, 36.0], shoonya_2sPRPH7X8IT91T, 5691744]
[footnote, [156.0, 1787.0, 1038.0, 36.0], shoonya_2sPRPH7X8IT91T, 5691744]
[footnote, [156.0, 1823.0, 1038.0, 36.0], shoonya_2sPRPH7X8IT91T, 5691744]
[footnote, [156.0, 1859.0, 1038.0, 36.0], shoonya_2sPRPH7X8IT91T, 5691744]
[footnote, [156.0, 1895.0, 1038.0, 36.0], shoonya_2sPRPH7X8IT91T, 5691744]
[footnote, [156.0, 1931.0, 1038.0, 36.0], shoonya_2sPRPH7X8IT91T, 5691744]
[footnote, [156.0, 1967.0, 1038.0, 36.0], shoonya_2sPRPH7X8IT91T, 5691744]
