[2151, 1415]
[paragraph, [155.0, 232.0, 1171.0, 36.0], shoonya_0sW5C92AZ8ZL89, 5655020]
[paragraph, [155.0, 268.0, 1171.0, 36.0], shoonya_0sW5C92AZ8ZL89, 5655020]
[paragraph, [155.0, 304.0, 1171.0, 36.0], shoonya_0sW5C92AZ8ZL89, 5655020]
[paragraph, [155.0, 340.0, 1171.0, 36.0], shoonya_0sW5C92AZ8ZL89, 5655020]
[paragraph, [155.0, 376.0, 1171.0, 36.0], shoonya_0sW5C92AZ8ZL89, 5655020]
[paragraph, [155.0, 412.0, 1171.0, 36.0], shoonya_0sW5C92AZ8ZL89, 5655020]
[paragraph, [155.0, 448.0, 1171.0, 36.0], shoonya_0sW5C92AZ8ZL89, 5655020]
[paragraph, [155.0, 484.0, 1171.0, 36.0], shoonya_0sW5C92AZ8ZL89, 5655020]
[paragraph, [155.0, 520.0, 1171.0, 36.0], shoonya_0sW5C92AZ8ZL89, 5655020]
[paragraph, [155.0, 556.0, 1171.0, 36.0], shoonya_0sW5C92AZ8ZL89, 5655020]
[paragraph, [155.0, 592.0, 1171.0, 36.0], shoonya_0sW5C92AZ8ZL89, 5655020]
[paragraph, [155.0, 628.0, 1171.0, 36.0], shoonya_0sW5C92AZ8ZL89, 5655020]
[paragraph, [155.0, 664.0, 1171.0, 36.0], shoonya_0sW5C92AZ8ZL89, 5655020]
[paragraph, [155.0, 700.0, 1171.0, 36.0], shoonya_0sW5C92AZ8ZL89, 5655020]
[paragraph, [155.0, 736.0, 1171.0, 36.0], shoonya_0sW5C92AZ8ZL89, 5655020]
[paragraph, [155.0, 772.0, 1171.0, 36.0], shoonya_0sW5C92AZ8ZL89, 5655020]
[paragraph, [155.0, 808.0, 1171.0, 36.0], shoonya_0sW5C92AZ8ZL89, 5655020]
[paragraph, [155.0, 844.0, 1171.0, 36.0], shoonya_0sW5C92AZ8ZL89, 5655020]
[paragraph, [155.0, 880.0, 1171.0, 36.0], shoonya_0sW5C92AZ8ZL89, 5655020]
[paragraph, [155.0, 916.0, 1171.0, 36.0], shoonya_0sW5C92AZ8ZL89, 5655020]
[paragraph, [155.0, 952.0, 1171.0, 36.0], shoonya_0sW5C92AZ8ZL89, 5655020]
[paragraph, [155.0, 988.0, 1171.0, 36.0], shoonya_0sW5C92AZ8ZL89, 5655020]
[paragraph, [155.0, 1024.0, 1171.0, 36.0], shoonya_0sW5C92AZ8ZL89, 5655020]
[paragraph, [158.0, 1133.0, 1167.0, 36.0], shoonya_1sYJPQAYRWKPNQ, 5655020]
[paragraph, [158.0, 1169.0, 1167.0, 36.0], shoonya_1sYJPQAYRWKPNQ, 5655020]
[paragraph, [158.0, 1205.0, 1167.0, 36.0], shoonya_1sYJPQAYRWKPNQ, 5655020]
[paragraph, [158.0, 1241.0, 1167.0, 36.0], shoonya_1sYJPQAYRWKPNQ, 5655020]
[paragraph, [158.0, 1277.0, 1167.0, 36.0], shoonya_1sYJPQAYRWKPNQ, 5655020]
[paragraph, [158.0, 1313.0, 1167.0, 36.0], shoonya_1sYJPQAYRWKPNQ, 5655020]
[paragraph, [158.0, 1349.0, 1167.0, 36.0], shoonya_1sYJPQAYRWKPNQ, 5655020]
[paragraph, [158.0, 1385.0, 1167.0, 36.0], shoonya_1sYJPQAYRWKPNQ, 5655020]
[paragraph, [158.0, 1421.0, 1167.0, 36.0], shoonya_1sYJPQAYRWKPNQ, 5655020]
[paragraph, [158.0, 1457.0, 1167.0, 36.0], shoonya_1sYJPQAYRWKPNQ, 5655020]
[paragraph, [158.0, 1493.0, 1167.0, 36.0], shoonya_1sYJPQAYRWKPNQ, 5655020]
[paragraph, [158.0, 1529.0, 1167.0, 36.0], shoonya_1sYJPQAYRWKPNQ, 5655020]
[paragraph, [158.0, 1565.0, 1167.0, 36.0], shoonya_1sYJPQAYRWKPNQ, 5655020]
[paragraph, [158.0, 1601.0, 1167.0, 36.0], shoonya_1sYJPQAYRWKPNQ, 5655020]
[paragraph, [158.0, 1637.0, 1167.0, 36.0], shoonya_1sYJPQAYRWKPNQ, 5655020]
[paragraph, [158.0, 1673.0, 1167.0, 36.0], shoonya_1sYJPQAYRWKPNQ, 5655020]
[paragraph, [157.0, 1768.0, 1166.0, 36.0], shoonya_2sUS43BY0Q0WQX, 5655020]
[paragraph, [157.0, 1804.0, 1166.0, 36.0], shoonya_2sUS43BY0Q0WQX, 5655020]
[paragraph, [157.0, 1840.0, 1166.0, 36.0], shoonya_2sUS43BY0Q0WQX, 5655020]
[paragraph, [157.0, 1876.0, 1166.0, 36.0], shoonya_2sUS43BY0Q0WQX, 5655020]
[paragraph, [157.0, 1912.0, 1166.0, 36.0], shoonya_2sUS43BY0Q0WQX, 5655020]
[paragraph, [157.0, 1948.0, 1166.0, 36.0], shoonya_2sUS43BY0Q0WQX, 5655020]
[paragraph, [157.0, 1984.0, 1166.0, 36.0], shoonya_2sUS43BY0Q0WQX, 5655020]
