[2806, 1983]
[folio, [225.0, 231.0, 1026.0, 46.5], shoonya_2sD7ZQLDASFNYT, 5682413]
[folio, [225.0, 277.5, 1026.0, 46.5], shoonya_2sD7ZQLDASFNYT, 5682413]
[paragraph, [219.0, 449.0, 1555.0, 46.5], shoonya_1sORPDAI8XRTOT, 5682413]
[paragraph, [219.0, 495.5, 1555.0, 46.5], shoonya_1sORPDAI8XRTOT, 5682413]
[paragraph, [219.0, 542.0, 1555.0, 46.5], shoonya_1sORPDAI8XRTOT, 5682413]
[paragraph, [219.0, 588.5, 1555.0, 46.5], shoonya_1sORPDAI8XRTOT, 5682413]
[paragraph, [219.0, 635.0, 1555.0, 46.5], shoonya_1sORPDAI8XRTOT, 5682413]
[paragraph, [219.0, 681.5, 1555.0, 46.5], shoonya_1sORPDAI8XRTOT, 5682413]
[paragraph, [219.0, 728.0, 1555.0, 46.5], shoonya_1sORPDAI8XRTOT, 5682413]
[paragraph, [219.0, 774.5, 1555.0, 46.5], shoonya_1sORPDAI8XRTOT, 5682413]
[paragraph, [219.0, 821.0, 1555.0, 46.5], shoonya_1sORPDAI8XRTOT, 5682413]
[paragraph, [219.0, 867.5, 1555.0, 46.5], shoonya_1sORPDAI8XRTOT, 5682413]
[paragraph, [219.0, 914.0, 1555.0, 46.5], shoonya_1sORPDAI8XRTOT, 5682413]
[paragraph, [219.0, 960.5, 1555.0, 46.5], shoonya_1sORPDAI8XRTOT, 5682413]
[paragraph, [219.0, 1007.0, 1555.0, 46.5], shoonya_1sORPDAI8XRTOT, 5682413]
[paragraph, [219.0, 1053.5, 1555.0, 46.5], shoonya_1sORPDAI8XRTOT, 5682413]
[paragraph, [221.0, 1247.0, 1555.0, 46.5], shoonya_0sG36N92Y2FPCT, 5682413]
[paragraph, [221.0, 1293.5, 1555.0, 46.5], shoonya_0sG36N92Y2FPCT, 5682413]
[paragraph, [221.0, 1340.0, 1555.0, 46.5], shoonya_0sG36N92Y2FPCT, 5682413]
[paragraph, [221.0, 1386.5, 1555.0, 46.5], shoonya_0sG36N92Y2FPCT, 5682413]
[paragraph, [221.0, 1433.0, 1555.0, 46.5], shoonya_0sG36N92Y2FPCT, 5682413]
[paragraph, [221.0, 1479.5, 1555.0, 46.5], shoonya_0sG36N92Y2FPCT, 5682413]
[paragraph, [221.0, 1526.0, 1555.0, 46.5], shoonya_0sG36N92Y2FPCT, 5682413]
[paragraph, [221.0, 1572.5, 1555.0, 46.5], shoonya_0sG36N92Y2FPCT, 5682413]
[paragraph, [221.0, 1619.0, 1555.0, 46.5], shoonya_0sG36N92Y2FPCT, 5682413]
[paragraph, [221.0, 1665.5, 1555.0, 46.5], shoonya_0sG36N92Y2FPCT, 5682413]
[paragraph, [221.0, 1712.0, 1555.0, 46.5], shoonya_0sG36N92Y2FPCT, 5682413]
[paragraph, [221.0, 1758.5, 1555.0, 46.5], shoonya_0sG36N92Y2FPCT, 5682413]
[paragraph, [221.0, 1805.0, 1555.0, 46.5], shoonya_0sG36N92Y2FPCT, 5682413]
[paragraph, [221.0, 1851.5, 1555.0, 46.5], shoonya_0sG36N92Y2FPCT, 5682413]
[paragraph, [221.0, 1898.0, 1555.0, 46.5], shoonya_0sG36N92Y2FPCT, 5682413]
[paragraph, [221.0, 1944.5, 1555.0, 46.5], shoonya_0sG36N92Y2FPCT, 5682413]
[paragraph, [221.0, 1991.0, 1555.0, 46.5], shoonya_0sG36N92Y2FPCT, 5682413]
[paragraph, [221.0, 2037.5, 1555.0, 46.5], shoonya_0sG36N92Y2FPCT, 5682413]
[paragraph, [221.0, 2084.0, 1555.0, 46.5], shoonya_0sG36N92Y2FPCT, 5682413]
[paragraph, [221.0, 2130.5, 1555.0, 46.5], shoonya_0sG36N92Y2FPCT, 5682413]
[paragraph, [221.0, 2177.0, 1555.0, 46.5], shoonya_0sG36N92Y2FPCT, 5682413]
[paragraph, [221.0, 2223.5, 1555.0, 46.5], shoonya_0sG36N92Y2FPCT, 5682413]
[paragraph, [221.0, 2270.0, 1555.0, 46.5], shoonya_0sG36N92Y2FPCT, 5682413]
[paragraph, [221.0, 2316.5, 1555.0, 46.5], shoonya_0sG36N92Y2FPCT, 5682413]
[paragraph, [221.0, 2363.0, 1555.0, 46.5], shoonya_0sG36N92Y2FPCT, 5682413]
[paragraph, [221.0, 2409.5, 1555.0, 46.5], shoonya_0sG36N92Y2FPCT, 5682413]
[paragraph, [221.0, 2456.0, 1555.0, 46.5], shoonya_0sG36N92Y2FPCT, 5682413]
[paragraph, [221.0, 2502.5, 1555.0, 46.5], shoonya_0sG36N92Y2FPCT, 5682413]
