[1723, 1092]
[paragraph, [99.0, 101.0, 885.0, 36.0], shoonya_0sIZ8L6MC5IT27, 5681833]
[paragraph, [99.0, 137.0, 885.0, 36.0], shoonya_0sIZ8L6MC5IT27, 5681833]
[paragraph, [99.0, 173.0, 885.0, 36.0], shoonya_0sIZ8L6MC5IT27, 5681833]
[paragraph, [99.0, 209.0, 885.0, 36.0], shoonya_0sIZ8L6MC5IT27, 5681833]
[paragraph, [99.0, 245.0, 885.0, 36.0], shoonya_0sIZ8L6MC5IT27, 5681833]
[paragraph, [99.0, 281.0, 885.0, 36.0], shoonya_0sIZ8L6MC5IT27, 5681833]
[paragraph, [99.0, 317.0, 885.0, 36.0], shoonya_0sIZ8L6MC5IT27, 5681833]
[paragraph, [99.0, 353.0, 885.0, 36.0], shoonya_0sIZ8L6MC5IT27, 5681833]
[paragraph, [99.0, 389.0, 885.0, 36.0], shoonya_0sIZ8L6MC5IT27, 5681833]
[paragraph, [99.0, 425.0, 885.0, 36.0], shoonya_0sIZ8L6MC5IT27, 5681833]
[paragraph, [99.0, 461.0, 885.0, 36.0], shoonya_0sIZ8L6MC5IT27, 5681833]
[paragraph, [99.0, 497.0, 885.0, 36.0], shoonya_0sIZ8L6MC5IT27, 5681833]
[paragraph, [99.0, 533.0, 885.0, 36.0], shoonya_0sIZ8L6MC5IT27, 5681833]
[paragraph, [99.0, 569.0, 885.0, 36.0], shoonya_0sIZ8L6MC5IT27, 5681833]
[paragraph, [99.0, 605.0, 885.0, 36.0], shoonya_0sIZ8L6MC5IT27, 5681833]
[paragraph, [99.0, 641.0, 885.0, 36.0], shoonya_0sIZ8L6MC5IT27, 5681833]
[paragraph, [99.0, 677.0, 885.0, 36.0], shoonya_0sIZ8L6MC5IT27, 5681833]
[paragraph, [102.0, 808.0, 885.0, 36.0], shoonya_2sY48DP3ARVR8W, 5681833]
[paragraph, [102.0, 844.0, 885.0, 36.0], shoonya_2sY48DP3ARVR8W, 5681833]
[paragraph, [102.0, 880.0, 885.0, 36.0], shoonya_2sY48DP3ARVR8W, 5681833]
[paragraph, [102.0, 916.0, 885.0, 36.0], shoonya_2sY48DP3ARVR8W, 5681833]
[paragraph, [102.0, 952.0, 885.0, 36.0], shoonya_2sY48DP3ARVR8W, 5681833]
[paragraph, [102.0, 988.0, 885.0, 36.0], shoonya_2sY48DP3ARVR8W, 5681833]
[paragraph, [102.0, 1024.0, 885.0, 36.0], shoonya_2sY48DP3ARVR8W, 5681833]
[paragraph, [102.0, 1060.0, 885.0, 36.0], shoonya_2sY48DP3ARVR8W, 5681833]
[paragraph, [102.0, 1096.0, 885.0, 36.0], shoonya_2sY48DP3ARVR8W, 5681833]
[paragraph, [102.0, 1132.0, 885.0, 36.0], shoonya_2sY48DP3ARVR8W, 5681833]
[paragraph, [102.0, 1168.0, 885.0, 36.0], shoonya_2sY48DP3ARVR8W, 5681833]
[paragraph, [102.0, 1204.0, 885.0, 36.0], shoonya_2sY48DP3ARVR8W, 5681833]
[paragraph, [102.0, 1240.0, 885.0, 36.0], shoonya_2sY48DP3ARVR8W, 5681833]
[paragraph, [102.0, 1276.0, 885.0, 36.0], shoonya_2sY48DP3ARVR8W, 5681833]
[paragraph, [107.0, 1380.0, 883.0, 36.0], shoonya_4sUOJORW6GF47G, 5681833]
[paragraph, [107.0, 1416.0, 883.0, 36.0], shoonya_4sUOJORW6GF47G, 5681833]
[paragraph, [107.0, 1452.0, 883.0, 36.0], shoonya_4sUOJORW6GF47G, 5681833]
[paragraph, [107.0, 1488.0, 883.0, 36.0], shoonya_4sUOJORW6GF47G, 5681833]
[paragraph, [107.0, 1524.0, 883.0, 36.0], shoonya_4sUOJORW6GF47G, 5681833]
[folio, [461.0, 1585.0, 151.0, 36.0], -FEp3YmdNx, 5681833]
