[1200, 825]
[paragraph, [136.0, 106.0, 556.0, 18.0], shoonya_0sKKBJ9V41OJU9, 5690717]
[paragraph, [136.0, 124.0, 556.0, 18.0], shoonya_0sKKBJ9V41OJU9, 5690717]
[paragraph, [136.0, 142.0, 556.0, 18.0], shoonya_0sKKBJ9V41OJU9, 5690717]
[paragraph, [136.0, 160.0, 556.0, 18.0], shoonya_0sKKBJ9V41OJU9, 5690717]
[paragraph, [136.0, 178.0, 556.0, 18.0], shoonya_0sKKBJ9V41OJU9, 5690717]
[paragraph, [136.0, 196.0, 556.0, 18.0], shoonya_0sKKBJ9V41OJU9, 5690717]
[paragraph, [136.0, 214.0, 556.0, 18.0], shoonya_0sKKBJ9V41OJU9, 5690717]
[paragraph, [136.0, 232.0, 556.0, 18.0], shoonya_0sKKBJ9V41OJU9, 5690717]
[paragraph, [136.0, 250.0, 556.0, 18.0], shoonya_0sKKBJ9V41OJU9, 5690717]
[paragraph, [136.0, 268.0, 556.0, 18.0], shoonya_0sKKBJ9V41OJU9, 5690717]
[paragraph, [139.0, 290.0, 550.0, 18.0], kfL4h366pk, 5690717]
[paragraph, [139.0, 308.0, 550.0, 18.0], kfL4h366pk, 5690717]
[paragraph, [139.0, 326.0, 550.0, 18.0], kfL4h366pk, 5690717]
[paragraph, [139.0, 344.0, 550.0, 18.0], kfL4h366pk, 5690717]
[paragraph, [139.0, 362.0, 550.0, 18.0], kfL4h366pk, 5690717]
[paragraph, [139.0, 380.0, 550.0, 18.0], kfL4h366pk, 5690717]
[paragraph, [139.0, 398.0, 550.0, 18.0], kfL4h366pk, 5690717]
[paragraph, [139.0, 416.0, 550.0, 18.0], kfL4h366pk, 5690717]
[paragraph, [139.0, 434.0, 550.0, 18.0], kfL4h366pk, 5690717]
[paragraph, [139.0, 452.0, 550.0, 18.0], kfL4h366pk, 5690717]
[paragraph, [137.0, 475.0, 550.0, 18.0], NuiRS8rsRC, 5690717]
[paragraph, [137.0, 493.0, 550.0, 18.0], NuiRS8rsRC, 5690717]
[paragraph, [137.0, 511.0, 550.0, 18.0], NuiRS8rsRC, 5690717]
[paragraph, [137.0, 529.0, 550.0, 18.0], NuiRS8rsRC, 5690717]
[paragraph, [137.0, 547.0, 550.0, 18.0], NuiRS8rsRC, 5690717]
[paragraph, [137.0, 565.0, 550.0, 18.0], NuiRS8rsRC, 5690717]
[paragraph, [137.0, 583.0, 550.0, 18.0], NuiRS8rsRC, 5690717]
[paragraph, [137.0, 601.0, 550.0, 18.0], NuiRS8rsRC, 5690717]
[paragraph, [137.0, 619.0, 550.0, 18.0], NuiRS8rsRC, 5690717]
[paragraph, [137.0, 637.0, 550.0, 18.0], NuiRS8rsRC, 5690717]
[paragraph, [137.0, 655.0, 550.0, 18.0], NuiRS8rsRC, 5690717]
[paragraph, [137.0, 673.0, 550.0, 18.0], NuiRS8rsRC, 5690717]
[paragraph, [137.0, 691.0, 550.0, 18.0], NuiRS8rsRC, 5690717]
[paragraph, [137.0, 709.0, 550.0, 18.0], NuiRS8rsRC, 5690717]
[paragraph, [137.0, 727.0, 550.0, 18.0], NuiRS8rsRC, 5690717]
[paragraph, [137.0, 745.0, 550.0, 18.0], NuiRS8rsRC, 5690717]
[paragraph, [137.0, 763.0, 550.0, 18.0], NuiRS8rsRC, 5690717]
[paragraph, [137.0, 781.0, 550.0, 18.0], NuiRS8rsRC, 5690717]
[paragraph, [137.0, 799.0, 550.0, 18.0], NuiRS8rsRC, 5690717]
[paragraph, [137.0, 817.0, 550.0, 18.0], NuiRS8rsRC, 5690717]
[paragraph, [137.0, 835.0, 550.0, 18.0], NuiRS8rsRC, 5690717]
[paragraph, [137.0, 853.0, 550.0, 18.0], NuiRS8rsRC, 5690717]
[paragraph, [137.0, 871.0, 550.0, 18.0], NuiRS8rsRC, 5690717]
[paragraph, [137.0, 889.0, 550.0, 18.0], NuiRS8rsRC, 5690717]
[paragraph, [137.0, 907.0, 550.0, 18.0], NuiRS8rsRC, 5690717]
[paragraph, [137.0, 925.0, 550.0, 18.0], NuiRS8rsRC, 5690717]
[paragraph, [137.0, 943.0, 550.0, 18.0], NuiRS8rsRC, 5690717]
[paragraph, [135.0, 972.0, 557.0, 18.0], 91HBwb01M5, 5690717]
[paragraph, [135.0, 990.0, 557.0, 18.0], 91HBwb01M5, 5690717]
[paragraph, [135.0, 1008.0, 557.0, 18.0], 91HBwb01M5, 5690717]
[paragraph, [135.0, 1026.0, 557.0, 18.0], 91HBwb01M5, 5690717]
