[1261, 840]
[paragraph, [27.0, 21.0, 784.0, 18.0], shoonya_0sY3RDHXAG8DFN, 5750947]
[paragraph, [27.0, 39.0, 784.0, 18.0], shoonya_0sY3RDHXAG8DFN, 5750947]
[paragraph, [27.0, 57.0, 784.0, 18.0], shoonya_0sY3RDHXAG8DFN, 5750947]
[paragraph, [27.0, 75.0, 784.0, 18.0], shoonya_0sY3RDHXAG8DFN, 5750947]
[paragraph, [27.0, 93.0, 784.0, 18.0], shoonya_0sY3RDHXAG8DFN, 5750947]
[paragraph, [27.0, 111.0, 784.0, 18.0], shoonya_0sY3RDHXAG8DFN, 5750947]
[paragraph, [27.0, 129.0, 784.0, 18.0], shoonya_0sY3RDHXAG8DFN, 5750947]
[paragraph, [27.0, 147.0, 784.0, 18.0], shoonya_0sY3RDHXAG8DFN, 5750947]
[paragraph, [27.0, 165.0, 784.0, 18.0], shoonya_0sY3RDHXAG8DFN, 5750947]
[paragraph, [27.0, 183.0, 784.0, 18.0], shoonya_0sY3RDHXAG8DFN, 5750947]
[paragraph, [27.0, 201.0, 784.0, 18.0], shoonya_0sY3RDHXAG8DFN, 5750947]
[paragraph, [27.0, 219.0, 784.0, 18.0], shoonya_0sY3RDHXAG8DFN, 5750947]
[paragraph, [27.0, 237.0, 784.0, 18.0], shoonya_0sY3RDHXAG8DFN, 5750947]
[paragraph, [27.0, 255.0, 784.0, 18.0], shoonya_0sY3RDHXAG8DFN, 5750947]
[paragraph, [27.0, 273.0, 784.0, 18.0], shoonya_0sY3RDHXAG8DFN, 5750947]
[paragraph, [27.0, 291.0, 784.0, 18.0], shoonya_0sY3RDHXAG8DFN, 5750947]
[paragraph, [27.0, 309.0, 784.0, 18.0], shoonya_0sY3RDHXAG8DFN, 5750947]
[paragraph, [27.0, 327.0, 784.0, 18.0], shoonya_0sY3RDHXAG8DFN, 5750947]
[paragraph, [27.0, 345.0, 784.0, 18.0], shoonya_0sY3RDHXAG8DFN, 5750947]
[paragraph, [27.0, 363.0, 784.0, 18.0], shoonya_0sY3RDHXAG8DFN, 5750947]
[paragraph, [27.0, 381.0, 784.0, 18.0], shoonya_0sY3RDHXAG8DFN, 5750947]
[paragraph, [27.0, 399.0, 784.0, 18.0], shoonya_0sY3RDHXAG8DFN, 5750947]
[paragraph, [27.0, 417.0, 784.0, 18.0], shoonya_0sY3RDHXAG8DFN, 5750947]
[paragraph, [27.0, 435.0, 784.0, 18.0], shoonya_0sY3RDHXAG8DFN, 5750947]
[paragraph, [27.0, 453.0, 784.0, 18.0], shoonya_0sY3RDHXAG8DFN, 5750947]
[paragraph, [27.0, 471.0, 784.0, 18.0], shoonya_0sY3RDHXAG8DFN, 5750947]
[paragraph, [27.0, 489.0, 784.0, 18.0], shoonya_0sY3RDHXAG8DFN, 5750947]
[paragraph, [27.0, 507.0, 784.0, 18.0], shoonya_0sY3RDHXAG8DFN, 5750947]
[paragraph, [27.0, 525.0, 784.0, 18.0], shoonya_0sY3RDHXAG8DFN, 5750947]
[paragraph, [27.0, 543.0, 784.0, 18.0], shoonya_0sY3RDHXAG8DFN, 5750947]
[paragraph, [27.0, 561.0, 784.0, 18.0], shoonya_0sY3RDHXAG8DFN, 5750947]
[paragraph, [27.0, 579.0, 784.0, 18.0], shoonya_0sY3RDHXAG8DFN, 5750947]
[paragraph, [27.0, 597.0, 784.0, 18.0], shoonya_0sY3RDHXAG8DFN, 5750947]
[paragraph, [27.0, 615.0, 784.0, 18.0], shoonya_0sY3RDHXAG8DFN, 5750947]
[paragraph, [27.0, 633.0, 784.0, 18.0], shoonya_0sY3RDHXAG8DFN, 5750947]
[paragraph, [27.0, 651.0, 784.0, 18.0], shoonya_0sY3RDHXAG8DFN, 5750947]
[paragraph, [27.0, 669.0, 784.0, 18.0], shoonya_0sY3RDHXAG8DFN, 5750947]
