[3508, 2481]
[contact-info, [546.0, 86.0, 1344.0, 52.5], hQ_WnOxxia, 6515691]
[contact-info, [546.0, 138.5, 1344.0, 52.5], hQ_WnOxxia, 6515691]
[contact-info, [599.0, 512.0, 1285.0, 52.5], czcYC-0nd7, 6515691]
[contact-info, [599.0, 564.5, 1285.0, 52.5], czcYC-0nd7, 6515691]
[contact-info, [599.0, 617.0, 1285.0, 52.5], czcYC-0nd7, 6515691]
[contact-info, [599.0, 669.5, 1285.0, 52.5], czcYC-0nd7, 6515691]
[section-title, [850.0, 875.0, 763.0, 93.0], QQrQnywIY3, 6515691]
[folio, [214.0, 1120.0, 1229.0, 52.5], G8Xqum_j0q, 6515691]
[dateline, [173.0, 1372.0, 490.0, 52.5], IbFu-e_ld5, 6515691]
[dateline, [173.0, 1424.5, 490.0, 52.5], IbFu-e_ld5, 6515691]
[paragraph, [214.0, 1651.0, 257.0, 52.5], 6SbyhLXXnG, 6515691]
[paragraph, [198.0, 1757.0, 2086.0, 52.5], 2ogJwe9nuI, 6515691]
[paragraph, [198.0, 1809.5, 2086.0, 52.5], 2ogJwe9nuI, 6515691]
[paragraph, [198.0, 1862.0, 2086.0, 52.5], 2ogJwe9nuI, 6515691]
[paragraph, [198.0, 1914.5, 2086.0, 52.5], 2ogJwe9nuI, 6515691]
[paragraph, [198.0, 1967.0, 2086.0, 52.5], 2ogJwe9nuI, 6515691]
[paragraph, [198.0, 2019.5, 2086.0, 52.5], 2ogJwe9nuI, 6515691]
[ordered-list, [1242.0, 2483.0, 798.0, 52.5], J8le4eCWBt, 6515691]
[ordered-list, [1242.0, 2535.5, 798.0, 52.5], J8le4eCWBt, 6515691]
[ordered-list, [1242.0, 2588.0, 798.0, 52.5], J8le4eCWBt, 6515691]
[ordered-list, [195.0, 2489.0, 596.0, 52.5], wnu8U5uqhG, 6515691]
[ordered-list, [195.0, 2541.5, 596.0, 52.5], wnu8U5uqhG, 6515691]
[ordered-list, [195.0, 2594.0, 596.0, 52.5], wnu8U5uqhG, 6515691]
[contact-info, [1829.0, 3053.0, 478.0, 52.5], Fpj_QDXr5V, 6515691]
[contact-info, [975.0, 3262.0, 537.0, 52.5], QrCUpbbNG9, 6515691]
