[3509, 2482]
[paragraph, [215.0, 660.0, 1759.0, 52.5], shoonya_2sYWNQQS2WUESR, 5691505]
[paragraph, [215.0, 712.5, 1759.0, 52.5], shoonya_2sYWNQQS2WUESR, 5691505]
[paragraph, [215.0, 765.0, 1759.0, 52.5], shoonya_2sYWNQQS2WUESR, 5691505]
[paragraph, [213.0, 821.0, 1762.0, 52.5], shoonya_1s4NBUO6R78PN8, 5691505]
[paragraph, [213.0, 873.5, 1762.0, 52.5], shoonya_1s4NBUO6R78PN8, 5691505]
[paragraph, [213.0, 926.0, 1762.0, 52.5], shoonya_1s4NBUO6R78PN8, 5691505]
[paragraph, [213.0, 978.5, 1762.0, 52.5], shoonya_1s4NBUO6R78PN8, 5691505]
[paragraph, [213.0, 1031.0, 1762.0, 52.5], shoonya_1s4NBUO6R78PN8, 5691505]
[paragraph, [213.0, 1083.5, 1762.0, 52.5], shoonya_1s4NBUO6R78PN8, 5691505]
[paragraph, [213.0, 1136.0, 1762.0, 52.5], shoonya_1s4NBUO6R78PN8, 5691505]
[paragraph, [213.0, 1188.5, 1762.0, 52.5], shoonya_1s4NBUO6R78PN8, 5691505]
[paragraph, [213.0, 1241.0, 1762.0, 52.5], shoonya_1s4NBUO6R78PN8, 5691505]
[paragraph, [213.0, 1293.5, 1762.0, 52.5], shoonya_1s4NBUO6R78PN8, 5691505]
[paragraph, [213.0, 1346.0, 1762.0, 52.5], shoonya_1s4NBUO6R78PN8, 5691505]
[paragraph, [213.0, 1398.5, 1762.0, 52.5], shoonya_1s4NBUO6R78PN8, 5691505]
[paragraph, [248.0, 1467.0, 530.0, 52.5], cDjvr91xpS, 5691505]
[paragraph, [224.0, 1547.0, 1752.0, 52.5], shoonya_0sD4X7AHAISNMN, 5691505]
[paragraph, [224.0, 1599.5, 1752.0, 52.5], shoonya_0sD4X7AHAISNMN, 5691505]
[paragraph, [224.0, 1652.0, 1752.0, 52.5], shoonya_0sD4X7AHAISNMN, 5691505]
[paragraph, [224.0, 1704.5, 1752.0, 52.5], shoonya_0sD4X7AHAISNMN, 5691505]
[paragraph, [224.0, 1757.0, 1752.0, 52.5], shoonya_0sD4X7AHAISNMN, 5691505]
[paragraph, [224.0, 1809.5, 1752.0, 52.5], shoonya_0sD4X7AHAISNMN, 5691505]
[paragraph, [224.0, 1862.0, 1752.0, 52.5], shoonya_0sD4X7AHAISNMN, 5691505]
[paragraph, [224.0, 1914.5, 1752.0, 52.5], shoonya_0sD4X7AHAISNMN, 5691505]
[paragraph, [224.0, 1967.0, 1752.0, 52.5], shoonya_0sD4X7AHAISNMN, 5691505]
[paragraph, [224.0, 2019.5, 1752.0, 52.5], shoonya_0sD4X7AHAISNMN, 5691505]
[paragraph, [224.0, 2072.0, 1752.0, 52.5], shoonya_0sD4X7AHAISNMN, 5691505]
[paragraph, [224.0, 2124.5, 1752.0, 52.5], shoonya_0sD4X7AHAISNMN, 5691505]
[paragraph, [224.0, 2177.0, 1752.0, 52.5], shoonya_0sD4X7AHAISNMN, 5691505]
[paragraph, [224.0, 2229.5, 1752.0, 52.5], shoonya_0sD4X7AHAISNMN, 5691505]
[paragraph, [224.0, 2282.0, 1752.0, 52.5], shoonya_0sD4X7AHAISNMN, 5691505]
[paragraph, [224.0, 2334.5, 1752.0, 52.5], shoonya_0sD4X7AHAISNMN, 5691505]
[paragraph, [224.0, 2387.0, 1752.0, 52.5], shoonya_0sD4X7AHAISNMN, 5691505]
[paragraph, [224.0, 2439.5, 1752.0, 52.5], shoonya_0sD4X7AHAISNMN, 5691505]
[paragraph, [224.0, 2492.0, 1752.0, 52.5], shoonya_0sD4X7AHAISNMN, 5691505]
[paragraph, [224.0, 2544.5, 1752.0, 52.5], shoonya_0sD4X7AHAISNMN, 5691505]
[paragraph, [224.0, 2597.0, 1752.0, 52.5], shoonya_0sD4X7AHAISNMN, 5691505]
[paragraph, [226.0, 2668.0, 1759.0, 52.5], b4TnKTonsL, 5691505]
[paragraph, [226.0, 2720.5, 1759.0, 52.5], b4TnKTonsL, 5691505]
[paragraph, [226.0, 2773.0, 1759.0, 52.5], b4TnKTonsL, 5691505]
[paragraph, [226.0, 2825.5, 1759.0, 52.5], b4TnKTonsL, 5691505]
[paragraph, [226.0, 2878.0, 1759.0, 52.5], b4TnKTonsL, 5691505]
[paragraph, [226.0, 2930.5, 1759.0, 52.5], b4TnKTonsL, 5691505]
[paragraph, [226.0, 2983.0, 1759.0, 52.5], b4TnKTonsL, 5691505]
[paragraph, [226.0, 3035.5, 1759.0, 52.5], b4TnKTonsL, 5691505]
[paragraph, [226.0, 3088.0, 1759.0, 52.5], b4TnKTonsL, 5691505]
[paragraph, [226.0, 3140.5, 1759.0, 52.5], b4TnKTonsL, 5691505]
[paragraph, [226.0, 3193.0, 1759.0, 52.5], b4TnKTonsL, 5691505]
[paragraph, [226.0, 3245.5, 1759.0, 52.5], b4TnKTonsL, 5691505]
