[3509, 2480]
[paragraph, [362.0, 384.0, 1773.0, 52.5], Ad9OGZqQ3G, 5724120]
[paragraph, [362.0, 436.5, 1773.0, 52.5], Ad9OGZqQ3G, 5724120]
[paragraph, [362.0, 489.0, 1773.0, 52.5], Ad9OGZqQ3G, 5724120]
[paragraph, [362.0, 541.5, 1773.0, 52.5], Ad9OGZqQ3G, 5724120]
[paragraph, [356.0, 613.0, 1832.0, 52.5], DUOeNLcCzw, 5724120]
[paragraph, [356.0, 665.5, 1832.0, 52.5], DUOeNLcCzw, 5724120]
[paragraph, [356.0, 718.0, 1832.0, 52.5], DUOeNLcCzw, 5724120]
[paragraph, [356.0, 770.5, 1832.0, 52.5], DUOeNLcCzw, 5724120]
[paragraph, [356.0, 823.0, 1832.0, 52.5], DUOeNLcCzw, 5724120]
[paragraph, [356.0, 875.5, 1832.0, 52.5], DUOeNLcCzw, 5724120]
[paragraph, [356.0, 928.0, 1832.0, 52.5], DUOeNLcCzw, 5724120]
[paragraph, [502.0, 1063.0, 945.0, 52.5], hxUyvOYiBc, 5724120]
[paragraph, [502.0, 1115.5, 945.0, 52.5], hxUyvOYiBc, 5724120]
[paragraph, [502.0, 1168.0, 945.0, 52.5], hxUyvOYiBc, 5724120]
[paragraph, [492.0, 1274.0, 1435.0, 52.5], Rm32MphjZx, 5724120]
[paragraph, [492.0, 1326.5, 1435.0, 52.5], Rm32MphjZx, 5724120]
[paragraph, [492.0, 1379.0, 1435.0, 52.5], Rm32MphjZx, 5724120]
[paragraph, [492.0, 1431.5, 1435.0, 52.5], Rm32MphjZx, 5724120]
[paragraph, [347.0, 1515.0, 1801.0, 52.5], KOjW57G01F, 5724120]
[paragraph, [347.0, 1567.5, 1801.0, 52.5], KOjW57G01F, 5724120]
[paragraph, [347.0, 1620.0, 1801.0, 52.5], KOjW57G01F, 5724120]
[paragraph, [347.0, 1672.5, 1801.0, 52.5], KOjW57G01F, 5724120]
[paragraph, [347.0, 1725.0, 1801.0, 52.5], KOjW57G01F, 5724120]
[paragraph, [347.0, 1777.5, 1801.0, 52.5], KOjW57G01F, 5724120]
[paragraph, [347.0, 1830.0, 1801.0, 52.5], KOjW57G01F, 5724120]
[paragraph, [347.0, 1882.5, 1801.0, 52.5], KOjW57G01F, 5724120]
[paragraph, [347.0, 1935.0, 1801.0, 52.5], KOjW57G01F, 5724120]
[paragraph, [347.0, 1987.5, 1801.0, 52.5], KOjW57G01F, 5724120]
[paragraph, [347.0, 2040.0, 1801.0, 52.5], KOjW57G01F, 5724120]
[paragraph, [347.0, 2092.5, 1801.0, 52.5], KOjW57G01F, 5724120]
[paragraph, [347.0, 2145.0, 1801.0, 52.5], KOjW57G01F, 5724120]
[paragraph, [347.0, 2197.5, 1801.0, 52.5], KOjW57G01F, 5724120]
[paragraph, [347.0, 2250.0, 1801.0, 52.5], KOjW57G01F, 5724120]
[paragraph, [347.0, 2302.5, 1801.0, 52.5], KOjW57G01F, 5724120]
[paragraph, [347.0, 2355.0, 1801.0, 52.5], KOjW57G01F, 5724120]
[paragraph, [331.0, 2586.0, 1831.0, 52.5], shoonya_1sQRW1DXH28IQZ, 5724120]
[paragraph, [331.0, 2638.5, 1831.0, 52.5], shoonya_1sQRW1DXH28IQZ, 5724120]
[paragraph, [331.0, 2691.0, 1831.0, 52.5], shoonya_1sQRW1DXH28IQZ, 5724120]
[paragraph, [331.0, 2743.5, 1831.0, 52.5], shoonya_1sQRW1DXH28IQZ, 5724120]
[paragraph, [331.0, 2796.0, 1831.0, 52.5], shoonya_1sQRW1DXH28IQZ, 5724120]
[paragraph, [331.0, 2848.5, 1831.0, 52.5], shoonya_1sQRW1DXH28IQZ, 5724120]
[paragraph, [331.0, 2901.0, 1831.0, 52.5], shoonya_1sQRW1DXH28IQZ, 5724120]
[paragraph, [331.0, 2953.5, 1831.0, 52.5], shoonya_1sQRW1DXH28IQZ, 5724120]
[paragraph, [331.0, 3006.0, 1831.0, 52.5], shoonya_1sQRW1DXH28IQZ, 5724120]
[paragraph, [331.0, 3058.5, 1831.0, 52.5], shoonya_1sQRW1DXH28IQZ, 5724120]
