[2200, 1700]
[paragraph, [372.0, 112.0, 1141.0, 36.0], shoonya_1sFLCCSCQUT9LY, 5733500]
[paragraph, [372.0, 148.0, 1141.0, 36.0], shoonya_1sFLCCSCQUT9LY, 5733500]
[paragraph, [372.0, 184.0, 1141.0, 36.0], shoonya_1sFLCCSCQUT9LY, 5733500]
[paragraph, [372.0, 220.0, 1141.0, 36.0], shoonya_1sFLCCSCQUT9LY, 5733500]
[paragraph, [372.0, 256.0, 1141.0, 36.0], shoonya_1sFLCCSCQUT9LY, 5733500]
[paragraph, [372.0, 292.0, 1141.0, 36.0], shoonya_1sFLCCSCQUT9LY, 5733500]
[paragraph, [372.0, 328.0, 1141.0, 36.0], shoonya_1sFLCCSCQUT9LY, 5733500]
[paragraph, [372.0, 364.0, 1141.0, 36.0], shoonya_1sFLCCSCQUT9LY, 5733500]
[paragraph, [372.0, 400.0, 1141.0, 36.0], shoonya_1sFLCCSCQUT9LY, 5733500]
[paragraph, [372.0, 436.0, 1141.0, 36.0], shoonya_1sFLCCSCQUT9LY, 5733500]
[paragraph, [372.0, 472.0, 1141.0, 36.0], shoonya_1sFLCCSCQUT9LY, 5733500]
[paragraph, [372.0, 508.0, 1141.0, 36.0], shoonya_1sFLCCSCQUT9LY, 5733500]
[paragraph, [372.0, 544.0, 1141.0, 36.0], shoonya_1sFLCCSCQUT9LY, 5733500]
[paragraph, [372.0, 580.0, 1141.0, 36.0], shoonya_1sFLCCSCQUT9LY, 5733500]
[paragraph, [372.0, 616.0, 1141.0, 36.0], shoonya_1sFLCCSCQUT9LY, 5733500]
[paragraph, [372.0, 652.0, 1141.0, 36.0], shoonya_1sFLCCSCQUT9LY, 5733500]
[paragraph, [372.0, 688.0, 1141.0, 36.0], shoonya_1sFLCCSCQUT9LY, 5733500]
[paragraph, [372.0, 724.0, 1141.0, 36.0], shoonya_1sFLCCSCQUT9LY, 5733500]
[paragraph, [372.0, 760.0, 1141.0, 36.0], shoonya_1sFLCCSCQUT9LY, 5733500]
[paragraph, [372.0, 796.0, 1141.0, 36.0], shoonya_1sFLCCSCQUT9LY, 5733500]
[paragraph, [372.0, 832.0, 1141.0, 36.0], shoonya_1sFLCCSCQUT9LY, 5733500]
[paragraph, [372.0, 868.0, 1141.0, 36.0], shoonya_1sFLCCSCQUT9LY, 5733500]
[paragraph, [372.0, 904.0, 1141.0, 36.0], shoonya_1sFLCCSCQUT9LY, 5733500]
[paragraph, [372.0, 940.0, 1141.0, 36.0], shoonya_1sFLCCSCQUT9LY, 5733500]
[paragraph, [372.0, 976.0, 1141.0, 36.0], shoonya_1sFLCCSCQUT9LY, 5733500]
[paragraph, [372.0, 1012.0, 1141.0, 36.0], shoonya_1sFLCCSCQUT9LY, 5733500]
[paragraph, [372.0, 1048.0, 1141.0, 36.0], shoonya_1sFLCCSCQUT9LY, 5733500]
[paragraph, [372.0, 1084.0, 1141.0, 36.0], shoonya_1sFLCCSCQUT9LY, 5733500]
[paragraph, [372.0, 1120.0, 1141.0, 36.0], shoonya_1sFLCCSCQUT9LY, 5733500]
[paragraph, [372.0, 1156.0, 1141.0, 36.0], shoonya_1sFLCCSCQUT9LY, 5733500]
[paragraph, [372.0, 1192.0, 1141.0, 36.0], shoonya_1sFLCCSCQUT9LY, 5733500]
[paragraph, [372.0, 1228.0, 1141.0, 36.0], shoonya_1sFLCCSCQUT9LY, 5733500]
[paragraph, [372.0, 1264.0, 1141.0, 36.0], shoonya_1sFLCCSCQUT9LY, 5733500]
[paragraph, [372.0, 1300.0, 1141.0, 36.0], shoonya_1sFLCCSCQUT9LY, 5733500]
[paragraph, [372.0, 1362.0, 1142.0, 36.0], shoonya_0sWRGDQ72Z1I7J, 5733500]
[paragraph, [372.0, 1398.0, 1142.0, 36.0], shoonya_0sWRGDQ72Z1I7J, 5733500]
[paragraph, [372.0, 1434.0, 1142.0, 36.0], shoonya_0sWRGDQ72Z1I7J, 5733500]
[paragraph, [372.0, 1470.0, 1142.0, 36.0], shoonya_0sWRGDQ72Z1I7J, 5733500]
[paragraph, [372.0, 1506.0, 1142.0, 36.0], shoonya_0sWRGDQ72Z1I7J, 5733500]
[paragraph, [372.0, 1542.0, 1142.0, 36.0], shoonya_0sWRGDQ72Z1I7J, 5733500]
[paragraph, [372.0, 1578.0, 1142.0, 36.0], shoonya_0sWRGDQ72Z1I7J, 5733500]
[paragraph, [372.0, 1614.0, 1142.0, 36.0], shoonya_0sWRGDQ72Z1I7J, 5733500]
[paragraph, [372.0, 1650.0, 1142.0, 36.0], shoonya_0sWRGDQ72Z1I7J, 5733500]
[paragraph, [372.0, 1686.0, 1142.0, 36.0], shoonya_0sWRGDQ72Z1I7J, 5733500]
[paragraph, [372.0, 1722.0, 1142.0, 36.0], shoonya_0sWRGDQ72Z1I7J, 5733500]
[paragraph, [372.0, 1758.0, 1142.0, 36.0], shoonya_0sWRGDQ72Z1I7J, 5733500]
[paragraph, [372.0, 1794.0, 1142.0, 36.0], shoonya_0sWRGDQ72Z1I7J, 5733500]
[paragraph, [372.0, 1880.0, 1133.0, 36.0], shoonya_2sMZS74ED72N7R, 5733500]
[paragraph, [372.0, 1916.0, 1133.0, 36.0], shoonya_2sMZS74ED72N7R, 5733500]
[paragraph, [372.0, 1952.0, 1133.0, 36.0], shoonya_2sMZS74ED72N7R, 5733500]
[paragraph, [372.0, 1988.0, 1133.0, 36.0], shoonya_2sMZS74ED72N7R, 5733500]
