[1818, 1374]
[folio, [479.0, 125.0, 413.0, 36.0], 6JNSqtTyU8, 5682645]
[paragraph, [695.0, 195.0, 570.0, 36.0], rYZkHjNddc, 5682645]
[paragraph, [695.0, 231.0, 570.0, 36.0], rYZkHjNddc, 5682645]
[paragraph, [695.0, 267.0, 570.0, 36.0], rYZkHjNddc, 5682645]
[paragraph, [108.0, 197.0, 568.0, 36.0], PZhsK5RBn1, 5682645]
[paragraph, [108.0, 233.0, 568.0, 36.0], PZhsK5RBn1, 5682645]
[paragraph, [108.0, 269.0, 568.0, 36.0], PZhsK5RBn1, 5682645]
[paragraph, [108.0, 305.0, 568.0, 36.0], PZhsK5RBn1, 5682645]
[paragraph, [108.0, 341.0, 568.0, 36.0], PZhsK5RBn1, 5682645]
[paragraph, [108.0, 377.0, 568.0, 36.0], PZhsK5RBn1, 5682645]
[paragraph, [697.0, 326.0, 570.0, 36.0], gimn1U4d-6, 5682645]
[paragraph, [697.0, 362.0, 570.0, 36.0], gimn1U4d-6, 5682645]
[paragraph, [697.0, 398.0, 570.0, 36.0], gimn1U4d-6, 5682645]
[paragraph, [699.0, 451.0, 568.0, 36.0], W5ykAu_zaT, 5682645]
[paragraph, [699.0, 487.0, 568.0, 36.0], W5ykAu_zaT, 5682645]
[paragraph, [699.0, 523.0, 568.0, 36.0], W5ykAu_zaT, 5682645]
[paragraph, [106.0, 454.0, 571.0, 36.0], FmR1kpKKVQ, 5682645]
[paragraph, [106.0, 490.0, 571.0, 36.0], FmR1kpKKVQ, 5682645]
[paragraph, [106.0, 526.0, 571.0, 36.0], FmR1kpKKVQ, 5682645]
[paragraph, [106.0, 562.0, 571.0, 36.0], FmR1kpKKVQ, 5682645]
[paragraph, [106.0, 598.0, 571.0, 36.0], FmR1kpKKVQ, 5682645]
[paragraph, [106.0, 634.0, 571.0, 36.0], FmR1kpKKVQ, 5682645]
[paragraph, [106.0, 670.0, 571.0, 36.0], FmR1kpKKVQ, 5682645]
[paragraph, [106.0, 706.0, 571.0, 36.0], FmR1kpKKVQ, 5682645]
[paragraph, [106.0, 742.0, 571.0, 36.0], FmR1kpKKVQ, 5682645]
[paragraph, [106.0, 778.0, 571.0, 36.0], FmR1kpKKVQ, 5682645]
[paragraph, [699.0, 578.0, 566.0, 36.0], MMxYMBYSNo, 5682645]
[paragraph, [699.0, 614.0, 566.0, 36.0], MMxYMBYSNo, 5682645]
[paragraph, [699.0, 650.0, 566.0, 36.0], MMxYMBYSNo, 5682645]
[paragraph, [699.0, 686.0, 566.0, 36.0], MMxYMBYSNo, 5682645]
[paragraph, [697.0, 748.0, 571.0, 36.0], jkJo0mK7jd, 5682645]
[paragraph, [697.0, 784.0, 571.0, 36.0], jkJo0mK7jd, 5682645]
[paragraph, [697.0, 820.0, 571.0, 36.0], jkJo0mK7jd, 5682645]
[paragraph, [108.0, 834.0, 571.0, 36.0], Pu3kPNkxLk, 5682645]
[paragraph, [108.0, 870.0, 571.0, 36.0], Pu3kPNkxLk, 5682645]
[paragraph, [108.0, 906.0, 571.0, 36.0], Pu3kPNkxLk, 5682645]
[paragraph, [108.0, 942.0, 571.0, 36.0], Pu3kPNkxLk, 5682645]
[paragraph, [108.0, 978.0, 571.0, 36.0], Pu3kPNkxLk, 5682645]
[paragraph, [108.0, 1014.0, 571.0, 36.0], Pu3kPNkxLk, 5682645]
[paragraph, [702.0, 916.0, 566.0, 36.0], lGao7XnfmQ, 5682645]
[paragraph, [702.0, 952.0, 566.0, 36.0], lGao7XnfmQ, 5682645]
[paragraph, [702.0, 988.0, 566.0, 36.0], lGao7XnfmQ, 5682645]
[paragraph, [702.0, 1043.0, 566.0, 36.0], JSxBzBhIad, 5682645]
[paragraph, [702.0, 1079.0, 566.0, 36.0], JSxBzBhIad, 5682645]
[paragraph, [702.0, 1115.0, 566.0, 36.0], JSxBzBhIad, 5682645]
[paragraph, [113.0, 1086.0, 570.0, 36.0], J6qF5OgSEg, 5682645]
[paragraph, [113.0, 1122.0, 570.0, 36.0], J6qF5OgSEg, 5682645]
[paragraph, [113.0, 1158.0, 570.0, 36.0], J6qF5OgSEg, 5682645]
[paragraph, [113.0, 1194.0, 570.0, 36.0], J6qF5OgSEg, 5682645]
[paragraph, [113.0, 1230.0, 570.0, 36.0], J6qF5OgSEg, 5682645]
[paragraph, [113.0, 1266.0, 570.0, 36.0], J6qF5OgSEg, 5682645]
[paragraph, [113.0, 1302.0, 570.0, 36.0], J6qF5OgSEg, 5682645]
[paragraph, [113.0, 1338.0, 570.0, 36.0], J6qF5OgSEg, 5682645]
[paragraph, [113.0, 1374.0, 570.0, 36.0], J6qF5OgSEg, 5682645]
[paragraph, [113.0, 1410.0, 570.0, 36.0], J6qF5OgSEg, 5682645]
[paragraph, [113.0, 1446.0, 570.0, 36.0], J6qF5OgSEg, 5682645]
[paragraph, [113.0, 1482.0, 570.0, 36.0], J6qF5OgSEg, 5682645]
[paragraph, [113.0, 1518.0, 570.0, 36.0], J6qF5OgSEg, 5682645]
[paragraph, [700.0, 1170.0, 571.0, 36.0], A129dqxHEM, 5682645]
[paragraph, [700.0, 1206.0, 571.0, 36.0], A129dqxHEM, 5682645]
[paragraph, [700.0, 1254.0, 571.0, 36.0], W9JbdQ6CAj, 5682645]
[paragraph, [700.0, 1290.0, 571.0, 36.0], W9JbdQ6CAj, 5682645]
[paragraph, [862.0, 1378.0, 290.0, 36.0], 3jmK7gAu88, 5682645]
[paragraph, [862.0, 1414.0, 290.0, 36.0], 3jmK7gAu88, 5682645]
[paragraph, [862.0, 1450.0, 290.0, 36.0], 3jmK7gAu88, 5682645]
[paragraph, [862.0, 1486.0, 290.0, 36.0], 3jmK7gAu88, 5682645]
[paragraph, [872.0, 1527.0, 276.0, 36.0], l8xIYrb4DQ, 5682645]
[paragraph, [872.0, 1563.0, 276.0, 36.0], l8xIYrb4DQ, 5682645]
[paragraph, [872.0, 1599.0, 276.0, 36.0], l8xIYrb4DQ, 5682645]
[paragraph, [113.0, 1562.0, 571.0, 36.0], WsyNhs2eRc, 5682645]
[paragraph, [113.0, 1598.0, 571.0, 36.0], WsyNhs2eRc, 5682645]
[paragraph, [111.0, 1641.0, 571.0, 36.0], 2M5xwmBl7I, 5682645]
[paragraph, [111.0, 1677.0, 571.0, 36.0], 2M5xwmBl7I, 5682645]
[paragraph, [736.0, 1675.0, 510.0, 36.0], fx5OCM84SU, 5682645]
