[1700, 2200]
[website-link, [27.0, 98.0, 329.0, 18.0], N16pwxU4cW, 5735435]
[website-link, [27.0, 116.0, 329.0, 18.0], N16pwxU4cW, 5735435]
[website-link, [27.0, 134.0, 329.0, 18.0], N16pwxU4cW, 5735435]
[paragraph, [392.0, 252.0, 1612.0, 36.0], D-WXU4hTV8, 5735435]
[paragraph, [392.0, 288.0, 1612.0, 36.0], D-WXU4hTV8, 5735435]
[paragraph, [392.0, 324.0, 1612.0, 36.0], D-WXU4hTV8, 5735435]
[paragraph, [392.0, 360.0, 1612.0, 36.0], D-WXU4hTV8, 5735435]
[paragraph, [387.0, 422.0, 1628.0, 36.0], EDX0TR-rHU, 5735435]
[paragraph, [387.0, 458.0, 1628.0, 36.0], EDX0TR-rHU, 5735435]
[paragraph, [387.0, 494.0, 1628.0, 36.0], EDX0TR-rHU, 5735435]
[paragraph, [387.0, 530.0, 1628.0, 36.0], EDX0TR-rHU, 5735435]
[paragraph, [387.0, 566.0, 1628.0, 36.0], EDX0TR-rHU, 5735435]
[paragraph, [387.0, 602.0, 1628.0, 36.0], EDX0TR-rHU, 5735435]
[paragraph, [387.0, 638.0, 1628.0, 36.0], EDX0TR-rHU, 5735435]
[paragraph, [387.0, 674.0, 1628.0, 36.0], EDX0TR-rHU, 5735435]
[paragraph, [387.0, 710.0, 1628.0, 36.0], EDX0TR-rHU, 5735435]
[paragraph, [387.0, 746.0, 1628.0, 36.0], EDX0TR-rHU, 5735435]
[paragraph, [390.0, 838.0, 1633.0, 36.0], shoonya_3sB2XEUAGACCKS, 5735435]
[paragraph, [390.0, 874.0, 1633.0, 36.0], shoonya_3sB2XEUAGACCKS, 5735435]
[paragraph, [390.0, 910.0, 1633.0, 36.0], shoonya_3sB2XEUAGACCKS, 5735435]
[paragraph, [390.0, 946.0, 1633.0, 36.0], shoonya_3sB2XEUAGACCKS, 5735435]
[paragraph, [390.0, 982.0, 1633.0, 36.0], shoonya_3sB2XEUAGACCKS, 5735435]
[paragraph, [390.0, 1018.0, 1633.0, 36.0], shoonya_3sB2XEUAGACCKS, 5735435]
[paragraph, [390.0, 1054.0, 1633.0, 36.0], shoonya_3sB2XEUAGACCKS, 5735435]
[paragraph, [390.0, 1090.0, 1633.0, 36.0], shoonya_3sB2XEUAGACCKS, 5735435]
[paragraph, [390.0, 1126.0, 1633.0, 36.0], shoonya_3sB2XEUAGACCKS, 5735435]
[paragraph, [390.0, 1162.0, 1633.0, 36.0], shoonya_3sB2XEUAGACCKS, 5735435]
[paragraph, [390.0, 1198.0, 1633.0, 36.0], shoonya_3sB2XEUAGACCKS, 5735435]
[paragraph, [398.0, 1263.0, 1606.0, 36.0], q6XT3VwKUi, 5735435]
[paragraph, [398.0, 1299.0, 1606.0, 36.0], q6XT3VwKUi, 5735435]
[paragraph, [398.0, 1335.0, 1606.0, 36.0], q6XT3VwKUi, 5735435]
[paragraph, [398.0, 1371.0, 1606.0, 36.0], q6XT3VwKUi, 5735435]
[folio, [2002.0, 1536.0, 164.0, 36.0], shoonya_2sAC4VG5B8T95S, 5735435]
[folio, [2002.0, 1572.0, 164.0, 36.0], shoonya_2sAC4VG5B8T95S, 5735435]
[folio, [2002.0, 1608.0, 164.0, 36.0], shoonya_2sAC4VG5B8T95S, 5735435]
