[1755, 1241]
[folio, [173.0, 183.0, 276.0, 36.0], -ukeuRqqJi, 5760652]
[paragraph, [164.0, 257.0, 876.0, 36.0], A56Q5Jt4i9, 5760652]
[paragraph, [164.0, 293.0, 876.0, 36.0], A56Q5Jt4i9, 5760652]
[paragraph, [164.0, 329.0, 876.0, 36.0], A56Q5Jt4i9, 5760652]
[paragraph, [164.0, 365.0, 876.0, 36.0], A56Q5Jt4i9, 5760652]
[paragraph, [164.0, 401.0, 876.0, 36.0], A56Q5Jt4i9, 5760652]
[paragraph, [164.0, 437.0, 876.0, 36.0], A56Q5Jt4i9, 5760652]
[paragraph, [164.0, 473.0, 876.0, 36.0], A56Q5Jt4i9, 5760652]
[paragraph, [164.0, 509.0, 876.0, 36.0], A56Q5Jt4i9, 5760652]
[paragraph, [164.0, 545.0, 876.0, 36.0], A56Q5Jt4i9, 5760652]
[paragraph, [164.0, 581.0, 876.0, 36.0], A56Q5Jt4i9, 5760652]
[paragraph, [164.0, 617.0, 876.0, 36.0], A56Q5Jt4i9, 5760652]
[paragraph, [164.0, 653.0, 876.0, 36.0], A56Q5Jt4i9, 5760652]
[paragraph, [164.0, 689.0, 876.0, 36.0], A56Q5Jt4i9, 5760652]
[paragraph, [164.0, 725.0, 876.0, 36.0], A56Q5Jt4i9, 5760652]
[paragraph, [164.0, 761.0, 876.0, 36.0], A56Q5Jt4i9, 5760652]
[paragraph, [164.0, 797.0, 876.0, 36.0], A56Q5Jt4i9, 5760652]
[paragraph, [164.0, 833.0, 876.0, 36.0], A56Q5Jt4i9, 5760652]
[paragraph, [164.0, 869.0, 876.0, 36.0], A56Q5Jt4i9, 5760652]
[paragraph, [167.0, 937.0, 870.0, 36.0], y4UWeKepha, 5760652]
[paragraph, [167.0, 973.0, 870.0, 36.0], y4UWeKepha, 5760652]
[paragraph, [167.0, 1009.0, 870.0, 36.0], y4UWeKepha, 5760652]
[paragraph, [167.0, 1045.0, 870.0, 36.0], y4UWeKepha, 5760652]
[paragraph, [167.0, 1081.0, 870.0, 36.0], y4UWeKepha, 5760652]
[paragraph, [167.0, 1117.0, 870.0, 36.0], y4UWeKepha, 5760652]
[paragraph, [167.0, 1153.0, 870.0, 36.0], y4UWeKepha, 5760652]
[paragraph, [167.0, 1189.0, 870.0, 36.0], y4UWeKepha, 5760652]
[paragraph, [167.0, 1225.0, 870.0, 36.0], y4UWeKepha, 5760652]
[section-title, [164.0, 1306.0, 654.0, 49.5], rGdQK5Yyb5, 5760652]
[paragraph, [162.0, 1371.0, 871.0, 36.0], lt3FA07aMM, 5760652]
[paragraph, [162.0, 1407.0, 871.0, 36.0], lt3FA07aMM, 5760652]
[paragraph, [162.0, 1443.0, 871.0, 36.0], lt3FA07aMM, 5760652]
[paragraph, [162.0, 1479.0, 871.0, 36.0], lt3FA07aMM, 5760652]
[paragraph, [162.0, 1515.0, 871.0, 36.0], lt3FA07aMM, 5760652]
[paragraph, [162.0, 1551.0, 871.0, 36.0], lt3FA07aMM, 5760652]
