[1684, 1191]
[folio, [401.0, 93.0, 387.0, 36.0], dCkrgXbTmn, 6464773]
[paragraph, [83.0, 198.0, 1022.0, 36.0], eZvcpdluss, 6464773]
[paragraph, [83.0, 234.0, 1022.0, 36.0], eZvcpdluss, 6464773]
[paragraph, [83.0, 270.0, 1022.0, 36.0], eZvcpdluss, 6464773]
[paragraph, [83.0, 306.0, 1022.0, 36.0], eZvcpdluss, 6464773]
[paragraph, [83.0, 342.0, 1022.0, 36.0], eZvcpdluss, 6464773]
[paragraph, [83.0, 378.0, 1022.0, 36.0], eZvcpdluss, 6464773]
[paragraph, [89.0, 442.0, 772.0, 36.0], KcGAX87mr0, 6464773]
[paragraph, [89.0, 478.0, 772.0, 36.0], KcGAX87mr0, 6464773]
[paragraph, [89.0, 514.0, 772.0, 36.0], KcGAX87mr0, 6464773]
[paragraph, [86.0, 577.0, 1012.0, 36.0], aqmlGoS303, 6464773]
[paragraph, [86.0, 613.0, 1012.0, 36.0], aqmlGoS303, 6464773]
[paragraph, [86.0, 649.0, 1012.0, 36.0], aqmlGoS303, 6464773]
[paragraph, [86.0, 685.0, 1012.0, 36.0], aqmlGoS303, 6464773]
[paragraph, [86.0, 721.0, 1012.0, 36.0], aqmlGoS303, 6464773]
[section-title, [326.0, 763.0, 541.0, 49.5], i81JWwX1OY, 6464773]
[paragraph, [86.0, 848.0, 1013.0, 36.0], cLFy5h4U1K, 6464773]
[paragraph, [86.0, 884.0, 1013.0, 36.0], cLFy5h4U1K, 6464773]
[paragraph, [86.0, 920.0, 1013.0, 36.0], cLFy5h4U1K, 6464773]
[paragraph, [86.0, 956.0, 1013.0, 36.0], cLFy5h4U1K, 6464773]
[paragraph, [86.0, 992.0, 1013.0, 36.0], cLFy5h4U1K, 6464773]
[paragraph, [86.0, 1028.0, 1013.0, 36.0], cLFy5h4U1K, 6464773]
[paragraph, [89.0, 1097.0, 717.0, 36.0], ipY8hhG3n2, 6464773]
[paragraph, [89.0, 1133.0, 717.0, 36.0], ipY8hhG3n2, 6464773]
[paragraph, [89.0, 1169.0, 717.0, 36.0], ipY8hhG3n2, 6464773]
[paragraph, [90.0, 1228.0, 1016.0, 36.0], 4-TjnvRDaI, 6464773]
[paragraph, [90.0, 1264.0, 1016.0, 36.0], 4-TjnvRDaI, 6464773]
[paragraph, [90.0, 1300.0, 1016.0, 36.0], 4-TjnvRDaI, 6464773]
[paragraph, [90.0, 1336.0, 1016.0, 36.0], 4-TjnvRDaI, 6464773]
[paragraph, [314.0, 1411.0, 562.0, 36.0], JBeOWFApMx, 6464773]
