[1300, 900]
[folio, [335.0, 30.0, 243.0, 18.0], k42BKbcELb, 5731003]
[folio, [335.0, 48.0, 243.0, 18.0], k42BKbcELb, 5731003]
[paragraph, [111.0, 93.0, 695.0, 18.0], shoonya_0sHUOHJRC8KGC4, 5731003]
[paragraph, [111.0, 111.0, 695.0, 18.0], shoonya_0sHUOHJRC8KGC4, 5731003]
[paragraph, [111.0, 129.0, 695.0, 18.0], shoonya_0sHUOHJRC8KGC4, 5731003]
[paragraph, [111.0, 147.0, 695.0, 18.0], shoonya_0sHUOHJRC8KGC4, 5731003]
[paragraph, [111.0, 165.0, 695.0, 18.0], shoonya_0sHUOHJRC8KGC4, 5731003]
[paragraph, [111.0, 183.0, 695.0, 18.0], shoonya_0sHUOHJRC8KGC4, 5731003]
[paragraph, [106.0, 216.0, 700.0, 18.0], shoonya_2s23Q0KIX82D1T, 5731003]
[paragraph, [106.0, 234.0, 700.0, 18.0], shoonya_2s23Q0KIX82D1T, 5731003]
[paragraph, [106.0, 252.0, 700.0, 18.0], shoonya_2s23Q0KIX82D1T, 5731003]
[paragraph, [106.0, 270.0, 700.0, 18.0], shoonya_2s23Q0KIX82D1T, 5731003]
[paragraph, [106.0, 288.0, 700.0, 18.0], shoonya_2s23Q0KIX82D1T, 5731003]
[paragraph, [106.0, 306.0, 700.0, 18.0], shoonya_2s23Q0KIX82D1T, 5731003]
[paragraph, [106.0, 324.0, 700.0, 18.0], shoonya_2s23Q0KIX82D1T, 5731003]
[paragraph, [106.0, 342.0, 700.0, 18.0], shoonya_2s23Q0KIX82D1T, 5731003]
[paragraph, [106.0, 360.0, 700.0, 18.0], shoonya_2s23Q0KIX82D1T, 5731003]
[paragraph, [222.0, 391.0, 446.0, 18.0], J_d3T9Waa6, 5731003]
[paragraph, [222.0, 409.0, 446.0, 18.0], J_d3T9Waa6, 5731003]
[paragraph, [222.0, 427.0, 446.0, 18.0], J_d3T9Waa6, 5731003]
[paragraph, [222.0, 445.0, 446.0, 18.0], J_d3T9Waa6, 5731003]
[paragraph, [634.0, 482.0, 162.0, 18.0], UFNmLkHaSW, 5731003]
[paragraph, [106.0, 514.0, 698.0, 18.0], shoonya_6sH9LHYQQ6W7EN, 5731003]
[paragraph, [106.0, 532.0, 698.0, 18.0], shoonya_6sH9LHYQQ6W7EN, 5731003]
[paragraph, [106.0, 550.0, 698.0, 18.0], shoonya_6sH9LHYQQ6W7EN, 5731003]
[paragraph, [106.0, 568.0, 698.0, 18.0], shoonya_6sH9LHYQQ6W7EN, 5731003]
[paragraph, [106.0, 586.0, 698.0, 18.0], shoonya_6sH9LHYQQ6W7EN, 5731003]
[paragraph, [106.0, 604.0, 698.0, 18.0], shoonya_6sH9LHYQQ6W7EN, 5731003]
[paragraph, [110.0, 639.0, 689.0, 18.0], shoonya_4sXLTW1BP3KFPW, 5731003]
[paragraph, [110.0, 657.0, 689.0, 18.0], shoonya_4sXLTW1BP3KFPW, 5731003]
[paragraph, [110.0, 675.0, 689.0, 18.0], shoonya_4sXLTW1BP3KFPW, 5731003]
[paragraph, [110.0, 693.0, 689.0, 18.0], shoonya_4sXLTW1BP3KFPW, 5731003]
[paragraph, [229.0, 728.0, 420.0, 18.0], TAXEOF4ys6, 5731003]
[paragraph, [229.0, 746.0, 420.0, 18.0], TAXEOF4ys6, 5731003]
[paragraph, [101.0, 768.0, 705.0, 18.0], y4D_7ppuI6, 5731003]
[paragraph, [101.0, 786.0, 705.0, 18.0], y4D_7ppuI6, 5731003]
[paragraph, [101.0, 804.0, 705.0, 18.0], y4D_7ppuI6, 5731003]
[paragraph, [101.0, 822.0, 705.0, 18.0], y4D_7ppuI6, 5731003]
[paragraph, [97.0, 851.0, 707.0, 18.0], shoonya_5sFLGGIDJW66VT, 5731003]
[paragraph, [97.0, 869.0, 707.0, 18.0], shoonya_5sFLGGIDJW66VT, 5731003]
[paragraph, [97.0, 887.0, 707.0, 18.0], shoonya_5sFLGGIDJW66VT, 5731003]
[paragraph, [97.0, 905.0, 707.0, 18.0], shoonya_5sFLGGIDJW66VT, 5731003]
[paragraph, [97.0, 923.0, 707.0, 18.0], shoonya_5sFLGGIDJW66VT, 5731003]
[paragraph, [97.0, 941.0, 707.0, 18.0], shoonya_5sFLGGIDJW66VT, 5731003]
[paragraph, [97.0, 959.0, 707.0, 18.0], shoonya_5sFLGGIDJW66VT, 5731003]
[paragraph, [103.0, 977.0, 699.0, 18.0], shoonya_3sO76CYRN3QI3C, 5731003]
[paragraph, [103.0, 995.0, 699.0, 18.0], shoonya_3sO76CYRN3QI3C, 5731003]
[paragraph, [103.0, 1013.0, 699.0, 18.0], shoonya_3sO76CYRN3QI3C, 5731003]
[paragraph, [103.0, 1031.0, 699.0, 18.0], shoonya_3sO76CYRN3QI3C, 5731003]
[paragraph, [103.0, 1049.0, 699.0, 18.0], shoonya_3sO76CYRN3QI3C, 5731003]
[paragraph, [103.0, 1067.0, 699.0, 18.0], shoonya_3sO76CYRN3QI3C, 5731003]
[paragraph, [103.0, 1085.0, 699.0, 18.0], shoonya_3sO76CYRN3QI3C, 5731003]
[paragraph, [106.0, 1104.0, 694.0, 18.0], un4rf20GZa, 5731003]
[paragraph, [106.0, 1122.0, 694.0, 18.0], un4rf20GZa, 5731003]
[paragraph, [106.0, 1140.0, 694.0, 18.0], un4rf20GZa, 5731003]
[paragraph, [106.0, 1158.0, 694.0, 18.0], un4rf20GZa, 5731003]
[paragraph, [106.0, 1176.0, 694.0, 18.0], un4rf20GZa, 5731003]
[paragraph, [106.0, 1194.0, 694.0, 18.0], un4rf20GZa, 5731003]
[paragraph, [106.0, 1212.0, 694.0, 18.0], un4rf20GZa, 5731003]
