[1050, 693]
[folio, [506.0, 71.0, 71.0, 18.0], ndB-Sznlz0, 5701732]
[folio, [506.0, 89.0, 71.0, 18.0], ndB-Sznlz0, 5701732]
[paragraph, [78.0, 119.0, 532.0, 18.0], shoonya_2sDNZZEQSLPGNR, 5701732]
[paragraph, [78.0, 137.0, 532.0, 18.0], shoonya_2sDNZZEQSLPGNR, 5701732]
[paragraph, [78.0, 155.0, 532.0, 18.0], shoonya_2sDNZZEQSLPGNR, 5701732]
[paragraph, [78.0, 173.0, 532.0, 18.0], shoonya_2sDNZZEQSLPGNR, 5701732]
[paragraph, [78.0, 191.0, 532.0, 18.0], shoonya_2sDNZZEQSLPGNR, 5701732]
[paragraph, [78.0, 209.0, 532.0, 18.0], shoonya_2sDNZZEQSLPGNR, 5701732]
[paragraph, [78.0, 227.0, 532.0, 18.0], shoonya_2sDNZZEQSLPGNR, 5701732]
[paragraph, [78.0, 245.0, 532.0, 18.0], shoonya_2sDNZZEQSLPGNR, 5701732]
[paragraph, [78.0, 263.0, 532.0, 18.0], shoonya_2sDNZZEQSLPGNR, 5701732]
[paragraph, [78.0, 281.0, 532.0, 18.0], shoonya_2sDNZZEQSLPGNR, 5701732]
[paragraph, [78.0, 299.0, 532.0, 18.0], shoonya_2sDNZZEQSLPGNR, 5701732]
[paragraph, [78.0, 317.0, 532.0, 18.0], shoonya_2sDNZZEQSLPGNR, 5701732]
[paragraph, [82.0, 370.0, 528.0, 18.0], shoonya_0sF8UUFW4AWOAH, 5701732]
[paragraph, [82.0, 388.0, 528.0, 18.0], shoonya_0sF8UUFW4AWOAH, 5701732]
[paragraph, [82.0, 406.0, 528.0, 18.0], shoonya_0sF8UUFW4AWOAH, 5701732]
[paragraph, [82.0, 424.0, 528.0, 18.0], shoonya_0sF8UUFW4AWOAH, 5701732]
[paragraph, [82.0, 442.0, 528.0, 18.0], shoonya_0sF8UUFW4AWOAH, 5701732]
[paragraph, [82.0, 460.0, 528.0, 18.0], shoonya_0sF8UUFW4AWOAH, 5701732]
[paragraph, [82.0, 478.0, 528.0, 18.0], shoonya_0sF8UUFW4AWOAH, 5701732]
[paragraph, [74.0, 498.0, 536.0, 18.0], u5Vsbxd8nt, 5701732]
[paragraph, [74.0, 516.0, 536.0, 18.0], u5Vsbxd8nt, 5701732]
[paragraph, [74.0, 534.0, 536.0, 18.0], u5Vsbxd8nt, 5701732]
[paragraph, [74.0, 552.0, 536.0, 18.0], u5Vsbxd8nt, 5701732]
[paragraph, [74.0, 570.0, 536.0, 18.0], u5Vsbxd8nt, 5701732]
[paragraph, [74.0, 588.0, 536.0, 18.0], u5Vsbxd8nt, 5701732]
[paragraph, [82.0, 615.0, 531.0, 18.0], shoonya_1sUE9RUJAFQZ18, 5701732]
[paragraph, [82.0, 633.0, 531.0, 18.0], shoonya_1sUE9RUJAFQZ18, 5701732]
[paragraph, [82.0, 651.0, 531.0, 18.0], shoonya_1sUE9RUJAFQZ18, 5701732]
[paragraph, [82.0, 669.0, 531.0, 18.0], shoonya_1sUE9RUJAFQZ18, 5701732]
[paragraph, [82.0, 687.0, 531.0, 18.0], shoonya_1sUE9RUJAFQZ18, 5701732]
[paragraph, [82.0, 705.0, 531.0, 18.0], shoonya_1sUE9RUJAFQZ18, 5701732]
[paragraph, [82.0, 723.0, 531.0, 18.0], shoonya_1sUE9RUJAFQZ18, 5701732]
[paragraph, [82.0, 741.0, 531.0, 18.0], shoonya_1sUE9RUJAFQZ18, 5701732]
[paragraph, [82.0, 759.0, 531.0, 18.0], shoonya_1sUE9RUJAFQZ18, 5701732]
[paragraph, [82.0, 777.0, 531.0, 18.0], shoonya_1sUE9RUJAFQZ18, 5701732]
[paragraph, [82.0, 795.0, 531.0, 18.0], shoonya_1sUE9RUJAFQZ18, 5701732]
[paragraph, [82.0, 813.0, 531.0, 18.0], shoonya_1sUE9RUJAFQZ18, 5701732]
[paragraph, [82.0, 846.0, 530.0, 18.0], shoonya_4sMK9T1J9L7XMT, 5701732]
[paragraph, [82.0, 864.0, 530.0, 18.0], shoonya_4sMK9T1J9L7XMT, 5701732]
[paragraph, [82.0, 882.0, 530.0, 18.0], shoonya_4sMK9T1J9L7XMT, 5701732]
[paragraph, [82.0, 900.0, 530.0, 18.0], shoonya_4sMK9T1J9L7XMT, 5701732]
[paragraph, [82.0, 918.0, 530.0, 18.0], shoonya_4sMK9T1J9L7XMT, 5701732]
[paragraph, [82.0, 936.0, 530.0, 18.0], shoonya_4sMK9T1J9L7XMT, 5701732]
[paragraph, [82.0, 954.0, 530.0, 18.0], shoonya_4sMK9T1J9L7XMT, 5701732]
