[2339, 1653]
[folio, [235.0, 330.0, 66.0, 36.0], VZhAfLqlgy, 5735795]
[sidebar, [59.0, 546.0, 139.0, 36.0], shoonya_8sE9VK4TX7OJI0, 5735795]
[sidebar, [59.0, 582.0, 139.0, 36.0], shoonya_8sE9VK4TX7OJI0, 5735795]
[figure-caption, [494.0, 1271.0, 696.0, 36.0], shoonya_7sRIWXMNEWVL99, 5735795]
[paragraph, [836.0, 1361.0, 579.0, 36.0], shoonya_1s8Y9MG7H450HV, 5735795]
[paragraph, [836.0, 1397.0, 579.0, 36.0], shoonya_1s8Y9MG7H450HV, 5735795]
[paragraph, [836.0, 1433.0, 579.0, 36.0], shoonya_1s8Y9MG7H450HV, 5735795]
[paragraph, [836.0, 1469.0, 579.0, 36.0], shoonya_1s8Y9MG7H450HV, 5735795]
[paragraph, [836.0, 1505.0, 579.0, 36.0], shoonya_1s8Y9MG7H450HV, 5735795]
[paragraph, [836.0, 1541.0, 579.0, 36.0], shoonya_1s8Y9MG7H450HV, 5735795]
[paragraph, [836.0, 1577.0, 579.0, 36.0], shoonya_1s8Y9MG7H450HV, 5735795]
[paragraph, [836.0, 1613.0, 579.0, 36.0], shoonya_1s8Y9MG7H450HV, 5735795]
[paragraph, [836.0, 1649.0, 579.0, 36.0], shoonya_1s8Y9MG7H450HV, 5735795]
[paragraph, [836.0, 1685.0, 579.0, 36.0], shoonya_1s8Y9MG7H450HV, 5735795]
[paragraph, [836.0, 1721.0, 579.0, 36.0], shoonya_1s8Y9MG7H450HV, 5735795]
[paragraph, [836.0, 1757.0, 579.0, 36.0], shoonya_1s8Y9MG7H450HV, 5735795]
[paragraph, [236.0, 1363.0, 583.0, 36.0], shoonya_4sI103DERHWM0T, 5735795]
[paragraph, [236.0, 1399.0, 583.0, 36.0], shoonya_4sI103DERHWM0T, 5735795]
[paragraph, [235.0, 1452.0, 581.0, 36.0], shoonya_2s6600Q8BCP4XP, 5735795]
[paragraph, [235.0, 1488.0, 581.0, 36.0], shoonya_2s6600Q8BCP4XP, 5735795]
[paragraph, [235.0, 1524.0, 581.0, 36.0], shoonya_2s6600Q8BCP4XP, 5735795]
[paragraph, [235.0, 1560.0, 581.0, 36.0], shoonya_2s6600Q8BCP4XP, 5735795]
[paragraph, [235.0, 1596.0, 581.0, 36.0], shoonya_2s6600Q8BCP4XP, 5735795]
[paragraph, [235.0, 1632.0, 581.0, 36.0], shoonya_2s6600Q8BCP4XP, 5735795]
[paragraph, [235.0, 1668.0, 581.0, 36.0], shoonya_2s6600Q8BCP4XP, 5735795]
[paragraph, [235.0, 1704.0, 581.0, 36.0], shoonya_2s6600Q8BCP4XP, 5735795]
[paragraph, [235.0, 1740.0, 581.0, 36.0], shoonya_2s6600Q8BCP4XP, 5735795]
[paragraph, [235.0, 1776.0, 581.0, 36.0], shoonya_2s6600Q8BCP4XP, 5735795]
[paragraph, [235.0, 1812.0, 581.0, 36.0], shoonya_2s6600Q8BCP4XP, 5735795]
[paragraph, [235.0, 1848.0, 581.0, 36.0], shoonya_2s6600Q8BCP4XP, 5735795]
[paragraph, [235.0, 1884.0, 581.0, 36.0], shoonya_2s6600Q8BCP4XP, 5735795]
[paragraph, [835.0, 1809.0, 582.0, 36.0], shoonya_3sV1QLLB8GO2UK, 5735795]
[paragraph, [835.0, 1845.0, 582.0, 36.0], shoonya_3sV1QLLB8GO2UK, 5735795]
[paragraph, [835.0, 1881.0, 582.0, 36.0], shoonya_3sV1QLLB8GO2UK, 5735795]
[folio, [1184.0, 1969.0, 233.0, 36.0], VH-ouF9eTA, 5735795]
