[2339, 1653]
[paragraph, [667.0, 245.0, 735.0, 36.0], xT-sR8-m4d, 5687257]
[paragraph, [250.0, 314.0, 1152.0, 36.0], shoonya_0sYSGZ1HX5IHQR, 5687257]
[paragraph, [250.0, 350.0, 1152.0, 36.0], shoonya_0sYSGZ1HX5IHQR, 5687257]
[paragraph, [250.0, 386.0, 1152.0, 36.0], shoonya_0sYSGZ1HX5IHQR, 5687257]
[paragraph, [250.0, 422.0, 1152.0, 36.0], shoonya_0sYSGZ1HX5IHQR, 5687257]
[paragraph, [250.0, 458.0, 1152.0, 36.0], shoonya_0sYSGZ1HX5IHQR, 5687257]
[paragraph, [250.0, 494.0, 1152.0, 36.0], shoonya_0sYSGZ1HX5IHQR, 5687257]
[paragraph, [250.0, 530.0, 1152.0, 36.0], shoonya_0sYSGZ1HX5IHQR, 5687257]
[paragraph, [250.0, 566.0, 1152.0, 36.0], shoonya_0sYSGZ1HX5IHQR, 5687257]
[paragraph, [250.0, 602.0, 1152.0, 36.0], shoonya_0sYSGZ1HX5IHQR, 5687257]
[paragraph, [250.0, 638.0, 1152.0, 36.0], shoonya_0sYSGZ1HX5IHQR, 5687257]
[paragraph, [250.0, 674.0, 1152.0, 36.0], shoonya_0sYSGZ1HX5IHQR, 5687257]
[paragraph, [250.0, 710.0, 1152.0, 36.0], shoonya_0sYSGZ1HX5IHQR, 5687257]
[paragraph, [250.0, 746.0, 1152.0, 36.0], shoonya_0sYSGZ1HX5IHQR, 5687257]
[paragraph, [615.0, 806.0, 790.0, 36.0], 5hQqQJM_b8, 5687257]
[paragraph, [250.0, 873.0, 1158.0, 36.0], shoonya_2sLY56OY21JI7I, 5687257]
[paragraph, [250.0, 909.0, 1158.0, 36.0], shoonya_2sLY56OY21JI7I, 5687257]
[paragraph, [250.0, 945.0, 1158.0, 36.0], shoonya_2sLY56OY21JI7I, 5687257]
[paragraph, [250.0, 981.0, 1158.0, 36.0], shoonya_2sLY56OY21JI7I, 5687257]
[paragraph, [250.0, 1017.0, 1158.0, 36.0], shoonya_2sLY56OY21JI7I, 5687257]
[paragraph, [250.0, 1053.0, 1158.0, 36.0], shoonya_2sLY56OY21JI7I, 5687257]
[paragraph, [250.0, 1089.0, 1158.0, 36.0], shoonya_2sLY56OY21JI7I, 5687257]
[paragraph, [669.0, 1151.0, 731.0, 36.0], _hhkHPJplf, 5687257]
[paragraph, [250.0, 1216.0, 1153.0, 36.0], shoonya_1sDQ1WWZC4V7M5, 5687257]
[paragraph, [250.0, 1252.0, 1153.0, 36.0], shoonya_1sDQ1WWZC4V7M5, 5687257]
[paragraph, [250.0, 1288.0, 1153.0, 36.0], shoonya_1sDQ1WWZC4V7M5, 5687257]
[paragraph, [250.0, 1324.0, 1153.0, 36.0], shoonya_1sDQ1WWZC4V7M5, 5687257]
[paragraph, [250.0, 1360.0, 1153.0, 36.0], shoonya_1sDQ1WWZC4V7M5, 5687257]
[paragraph, [250.0, 1396.0, 1153.0, 36.0], shoonya_1sDQ1WWZC4V7M5, 5687257]
[paragraph, [250.0, 1432.0, 1153.0, 36.0], shoonya_1sDQ1WWZC4V7M5, 5687257]
[reference, [733.0, 1502.0, 190.0, 36.0], Ss_0be0ypv, 5687257]
[paragraph, [243.0, 1504.0, 485.0, 36.0], Kqe5vjQC7t, 5687257]
[paragraph, [739.0, 1571.0, 661.0, 36.0], npC3dKztMm, 5687257]
[paragraph, [249.0, 1636.0, 1152.0, 36.0], shoonya_3sDRFPSOPQ10J7, 5687257]
[paragraph, [249.0, 1672.0, 1152.0, 36.0], shoonya_3sDRFPSOPQ10J7, 5687257]
[paragraph, [249.0, 1708.0, 1152.0, 36.0], shoonya_3sDRFPSOPQ10J7, 5687257]
[paragraph, [249.0, 1744.0, 1152.0, 36.0], shoonya_3sDRFPSOPQ10J7, 5687257]
[paragraph, [249.0, 1780.0, 1152.0, 36.0], shoonya_3sDRFPSOPQ10J7, 5687257]
[paragraph, [249.0, 1816.0, 1152.0, 36.0], shoonya_3sDRFPSOPQ10J7, 5687257]
[paragraph, [249.0, 1852.0, 1152.0, 36.0], shoonya_3sDRFPSOPQ10J7, 5687257]
[paragraph, [247.0, 1913.0, 632.0, 36.0], zZkYaD1oAS, 5687257]
[reference, [886.0, 1917.0, 214.0, 36.0], XHx4tMUSXX, 5687257]
[paragraph, [733.0, 1981.0, 671.0, 36.0], GBPW-8zEWl, 5687257]
[paragraph, [257.0, 2052.0, 1144.0, 36.0], shoonya_4sBAG0R41IB8C7, 5687257]
