[700, 484]
[section-title, [116.0, 69.0, 255.0, 30.0], shoonya_0sZ544TBNOT4K3, 6463954]
[ordered-list, [46.0, 97.0, 380.0, 18.0], cVijP_S06z, 6463954]
[ordered-list, [46.0, 115.0, 380.0, 18.0], cVijP_S06z, 6463954]
[ordered-list, [46.0, 133.0, 380.0, 18.0], cVijP_S06z, 6463954]
[ordered-list, [46.0, 151.0, 380.0, 18.0], cVijP_S06z, 6463954]
[ordered-list, [46.0, 169.0, 380.0, 18.0], cVijP_S06z, 6463954]
[ordered-list, [46.0, 187.0, 380.0, 18.0], cVijP_S06z, 6463954]
[ordered-list, [46.0, 205.0, 380.0, 18.0], cVijP_S06z, 6463954]
[ordered-list, [46.0, 251.0, 386.0, 18.0], qBjcRzXUya, 6463954]
[ordered-list, [46.0, 269.0, 386.0, 18.0], qBjcRzXUya, 6463954]
[ordered-list, [46.0, 287.0, 386.0, 18.0], qBjcRzXUya, 6463954]
[ordered-list, [46.0, 305.0, 386.0, 18.0], qBjcRzXUya, 6463954]
[ordered-list, [46.0, 323.0, 386.0, 18.0], qBjcRzXUya, 6463954]
[ordered-list, [46.0, 341.0, 386.0, 18.0], qBjcRzXUya, 6463954]
[ordered-list, [47.0, 393.0, 389.0, 18.0], 9D7xF51oPg, 6463954]
[ordered-list, [47.0, 411.0, 389.0, 18.0], 9D7xF51oPg, 6463954]
[ordered-list, [47.0, 429.0, 389.0, 18.0], 9D7xF51oPg, 6463954]
[ordered-list, [47.0, 447.0, 389.0, 18.0], 9D7xF51oPg, 6463954]
[ordered-list, [47.0, 465.0, 389.0, 18.0], 9D7xF51oPg, 6463954]
[ordered-list, [47.0, 483.0, 389.0, 18.0], 9D7xF51oPg, 6463954]
[ordered-list, [47.0, 501.0, 389.0, 18.0], 9D7xF51oPg, 6463954]
[ordered-list, [47.0, 519.0, 389.0, 18.0], 9D7xF51oPg, 6463954]
[ordered-list, [47.0, 537.0, 389.0, 18.0], 9D7xF51oPg, 6463954]
[ordered-list, [50.0, 589.0, 393.0, 18.0], 5GHmnK1STe, 6463954]
[ordered-list, [50.0, 607.0, 393.0, 18.0], 5GHmnK1STe, 6463954]
[ordered-list, [50.0, 625.0, 393.0, 18.0], 5GHmnK1STe, 6463954]
