[1755, 1240]
[paragraph, [135.0, 216.0, 974.0, 36.0], shoonya_0sCIZD5UGJWQ0W, 5693265]
[paragraph, [135.0, 252.0, 974.0, 36.0], shoonya_0sCIZD5UGJWQ0W, 5693265]
[paragraph, [135.0, 288.0, 974.0, 36.0], shoonya_0sCIZD5UGJWQ0W, 5693265]
[paragraph, [135.0, 324.0, 974.0, 36.0], shoonya_0sCIZD5UGJWQ0W, 5693265]
[paragraph, [135.0, 360.0, 974.0, 36.0], shoonya_0sCIZD5UGJWQ0W, 5693265]
[paragraph, [135.0, 396.0, 974.0, 36.0], shoonya_0sCIZD5UGJWQ0W, 5693265]
[paragraph, [135.0, 432.0, 974.0, 36.0], shoonya_0sCIZD5UGJWQ0W, 5693265]
[paragraph, [135.0, 468.0, 974.0, 36.0], shoonya_0sCIZD5UGJWQ0W, 5693265]
[paragraph, [135.0, 504.0, 974.0, 36.0], shoonya_0sCIZD5UGJWQ0W, 5693265]
[paragraph, [135.0, 540.0, 974.0, 36.0], shoonya_0sCIZD5UGJWQ0W, 5693265]
[paragraph, [135.0, 576.0, 974.0, 36.0], shoonya_0sCIZD5UGJWQ0W, 5693265]
[paragraph, [135.0, 612.0, 974.0, 36.0], shoonya_0sCIZD5UGJWQ0W, 5693265]
[paragraph, [135.0, 648.0, 974.0, 36.0], shoonya_0sCIZD5UGJWQ0W, 5693265]
[paragraph, [136.0, 735.0, 970.0, 36.0], shoonya_1sUPPD2EQ25NVF, 5693265]
[paragraph, [136.0, 771.0, 970.0, 36.0], shoonya_1sUPPD2EQ25NVF, 5693265]
[paragraph, [136.0, 807.0, 970.0, 36.0], shoonya_1sUPPD2EQ25NVF, 5693265]
[paragraph, [136.0, 843.0, 970.0, 36.0], shoonya_1sUPPD2EQ25NVF, 5693265]
[paragraph, [136.0, 879.0, 970.0, 36.0], shoonya_1sUPPD2EQ25NVF, 5693265]
[paragraph, [136.0, 915.0, 970.0, 36.0], shoonya_1sUPPD2EQ25NVF, 5693265]
[paragraph, [136.0, 951.0, 970.0, 36.0], shoonya_1sUPPD2EQ25NVF, 5693265]
[paragraph, [136.0, 987.0, 970.0, 36.0], shoonya_1sUPPD2EQ25NVF, 5693265]
[paragraph, [135.0, 1068.0, 973.0, 36.0], shoonya_2s3L3TO8Z53E46, 5693265]
[paragraph, [135.0, 1104.0, 973.0, 36.0], shoonya_2s3L3TO8Z53E46, 5693265]
[paragraph, [135.0, 1140.0, 973.0, 36.0], shoonya_2s3L3TO8Z53E46, 5693265]
[paragraph, [135.0, 1176.0, 973.0, 36.0], shoonya_2s3L3TO8Z53E46, 5693265]
[paragraph, [135.0, 1212.0, 973.0, 36.0], shoonya_2s3L3TO8Z53E46, 5693265]
[paragraph, [135.0, 1248.0, 973.0, 36.0], shoonya_2s3L3TO8Z53E46, 5693265]
[paragraph, [135.0, 1284.0, 973.0, 36.0], shoonya_2s3L3TO8Z53E46, 5693265]
[paragraph, [135.0, 1320.0, 973.0, 36.0], shoonya_2s3L3TO8Z53E46, 5693265]
[paragraph, [135.0, 1356.0, 973.0, 36.0], shoonya_2s3L3TO8Z53E46, 5693265]
