[792, 612]
[contact-info, [181.0, 118.0, 249.0, 18.0], shoonya_0sSL01P7YJO32W, 6461255]
[contact-info, [181.0, 136.0, 249.0, 18.0], shoonya_0sSL01P7YJO32W, 6461255]
[ordered-list, [130.0, 210.0, 380.0, 18.0], GVhqfz4omM, 6461255]
[ordered-list, [130.0, 228.0, 380.0, 18.0], GVhqfz4omM, 6461255]
[ordered-list, [130.0, 246.0, 380.0, 18.0], GVhqfz4omM, 6461255]
[ordered-list, [130.0, 264.0, 380.0, 18.0], GVhqfz4omM, 6461255]
[ordered-list, [130.0, 282.0, 380.0, 18.0], GVhqfz4omM, 6461255]
[ordered-list, [130.0, 300.0, 380.0, 18.0], GVhqfz4omM, 6461255]
[ordered-list, [130.0, 318.0, 380.0, 18.0], GVhqfz4omM, 6461255]
[ordered-list, [130.0, 336.0, 380.0, 18.0], GVhqfz4omM, 6461255]
[ordered-list, [130.0, 354.0, 380.0, 18.0], GVhqfz4omM, 6461255]
[ordered-list, [130.0, 372.0, 380.0, 18.0], GVhqfz4omM, 6461255]
[ordered-list, [130.0, 390.0, 380.0, 18.0], GVhqfz4omM, 6461255]
[ordered-list, [130.0, 408.0, 380.0, 18.0], GVhqfz4omM, 6461255]
[ordered-list, [130.0, 426.0, 380.0, 18.0], GVhqfz4omM, 6461255]
[ordered-list, [130.0, 444.0, 380.0, 18.0], GVhqfz4omM, 6461255]
[ordered-list, [130.0, 462.0, 380.0, 18.0], GVhqfz4omM, 6461255]
[ordered-list, [130.0, 480.0, 380.0, 18.0], GVhqfz4omM, 6461255]
[ordered-list, [130.0, 498.0, 380.0, 18.0], GVhqfz4omM, 6461255]
[ordered-list, [130.0, 516.0, 380.0, 18.0], GVhqfz4omM, 6461255]
[ordered-list, [130.0, 534.0, 380.0, 18.0], GVhqfz4omM, 6461255]
[ordered-list, [130.0, 552.0, 380.0, 18.0], GVhqfz4omM, 6461255]
[ordered-list, [130.0, 570.0, 380.0, 18.0], GVhqfz4omM, 6461255]
[ordered-list, [130.0, 588.0, 380.0, 18.0], GVhqfz4omM, 6461255]
[ordered-list, [130.0, 606.0, 380.0, 18.0], GVhqfz4omM, 6461255]
[ordered-list, [130.0, 624.0, 380.0, 18.0], GVhqfz4omM, 6461255]
[ordered-list, [130.0, 642.0, 380.0, 18.0], GVhqfz4omM, 6461255]
[ordered-list, [130.0, 660.0, 380.0, 18.0], GVhqfz4omM, 6461255]
