[1606, 1056]
[folio, [446.0, 95.0, 160.0, 36.0], shoonya_0sXJHH1AGPWTO8, 5683964]
[folio, [97.0, 97.0, 253.0, 36.0], jCHQxI8hzf, 5683964]
[paragraph, [250.0, 144.0, 450.0, 36.0], shoonya_2sACRN7JD14C4U, 5683964]
[paragraph, [250.0, 180.0, 450.0, 36.0], shoonya_2sACRN7JD14C4U, 5683964]
[paragraph, [250.0, 216.0, 450.0, 36.0], shoonya_2sACRN7JD14C4U, 5683964]
[paragraph, [250.0, 252.0, 450.0, 36.0], shoonya_2sACRN7JD14C4U, 5683964]
[paragraph, [250.0, 288.0, 450.0, 36.0], shoonya_2sACRN7JD14C4U, 5683964]
[paragraph, [250.0, 324.0, 450.0, 36.0], shoonya_2sACRN7JD14C4U, 5683964]
[paragraph, [250.0, 360.0, 450.0, 36.0], shoonya_2sACRN7JD14C4U, 5683964]
[paragraph, [250.0, 396.0, 450.0, 36.0], shoonya_2sACRN7JD14C4U, 5683964]
[paragraph, [250.0, 432.0, 450.0, 36.0], shoonya_2sACRN7JD14C4U, 5683964]
[paragraph, [250.0, 468.0, 450.0, 36.0], shoonya_2sACRN7JD14C4U, 5683964]
[paragraph, [250.0, 504.0, 450.0, 36.0], shoonya_2sACRN7JD14C4U, 5683964]
[paragraph, [250.0, 540.0, 450.0, 36.0], shoonya_2sACRN7JD14C4U, 5683964]
[paragraph, [250.0, 576.0, 450.0, 36.0], shoonya_2sACRN7JD14C4U, 5683964]
[paragraph, [250.0, 612.0, 450.0, 36.0], shoonya_2sACRN7JD14C4U, 5683964]
[paragraph, [250.0, 648.0, 450.0, 36.0], shoonya_2sACRN7JD14C4U, 5683964]
[paragraph, [250.0, 684.0, 450.0, 36.0], shoonya_2sACRN7JD14C4U, 5683964]
[paragraph, [250.0, 720.0, 450.0, 36.0], shoonya_2sACRN7JD14C4U, 5683964]
[paragraph, [250.0, 756.0, 450.0, 36.0], shoonya_2sACRN7JD14C4U, 5683964]
[paragraph, [250.0, 792.0, 450.0, 36.0], shoonya_2sACRN7JD14C4U, 5683964]
[paragraph, [250.0, 828.0, 450.0, 36.0], shoonya_2sACRN7JD14C4U, 5683964]
[paragraph, [250.0, 864.0, 450.0, 36.0], shoonya_2sACRN7JD14C4U, 5683964]
[paragraph, [250.0, 900.0, 450.0, 36.0], shoonya_2sACRN7JD14C4U, 5683964]
[paragraph, [250.0, 936.0, 450.0, 36.0], shoonya_2sACRN7JD14C4U, 5683964]
[paragraph, [250.0, 972.0, 450.0, 36.0], shoonya_2sACRN7JD14C4U, 5683964]
[paragraph, [250.0, 1008.0, 450.0, 36.0], shoonya_2sACRN7JD14C4U, 5683964]
[paragraph, [250.0, 1044.0, 450.0, 36.0], shoonya_2sACRN7JD14C4U, 5683964]
[paragraph, [250.0, 1080.0, 450.0, 36.0], shoonya_2sACRN7JD14C4U, 5683964]
[paragraph, [250.0, 1116.0, 450.0, 36.0], shoonya_2sACRN7JD14C4U, 5683964]
[paragraph, [250.0, 1152.0, 450.0, 36.0], shoonya_2sACRN7JD14C4U, 5683964]
[paragraph, [250.0, 1188.0, 450.0, 36.0], shoonya_2sACRN7JD14C4U, 5683964]
[paragraph, [250.0, 1224.0, 450.0, 36.0], shoonya_2sACRN7JD14C4U, 5683964]
[paragraph, [250.0, 1260.0, 450.0, 36.0], shoonya_2sACRN7JD14C4U, 5683964]
[paragraph, [250.0, 1296.0, 450.0, 36.0], shoonya_2sACRN7JD14C4U, 5683964]
[paragraph, [250.0, 1332.0, 450.0, 36.0], shoonya_2sACRN7JD14C4U, 5683964]
[paragraph, [250.0, 1368.0, 450.0, 36.0], shoonya_2sACRN7JD14C4U, 5683964]
[paragraph, [250.0, 1404.0, 450.0, 36.0], shoonya_2sACRN7JD14C4U, 5683964]
[paragraph, [250.0, 1440.0, 450.0, 36.0], shoonya_2sACRN7JD14C4U, 5683964]
