[2339, 1656]
[folio, [430.0, 10.0, 485.0, 36.0], XtttQq8oAx, 5656499]
[chapter-title, [125.0, 98.0, 1436.0, 70.5], _R_OAHR0UG, 5656499]
[author, [102.0, 275.0, 1448.0, 36.0], shoonya_4s7WU1CVLYFL78, 5656499]
[author, [102.0, 311.0, 1448.0, 36.0], shoonya_4s7WU1CVLYFL78, 5656499]
[contact-info, [359.0, 382.0, 958.0, 36.0], TJevrq_ZEJ, 5656499]
[contact-info, [359.0, 418.0, 958.0, 36.0], TJevrq_ZEJ, 5656499]
[contact-info, [359.0, 454.0, 958.0, 36.0], TJevrq_ZEJ, 5656499]
[contact-info, [359.0, 490.0, 958.0, 36.0], TJevrq_ZEJ, 5656499]
[contact-info, [359.0, 526.0, 958.0, 36.0], TJevrq_ZEJ, 5656499]
[section-title, [766.0, 613.0, 135.0, 52.5], MoSLYTQnNu, 5656499]
[paragraph, [97.0, 752.0, 1462.0, 36.0], shoonya_0sWNKEGQZI0PYS, 5656499]
[paragraph, [97.0, 788.0, 1462.0, 36.0], shoonya_0sWNKEGQZI0PYS, 5656499]
[paragraph, [97.0, 824.0, 1462.0, 36.0], shoonya_0sWNKEGQZI0PYS, 5656499]
[paragraph, [97.0, 860.0, 1462.0, 36.0], shoonya_0sWNKEGQZI0PYS, 5656499]
[paragraph, [97.0, 896.0, 1462.0, 36.0], shoonya_0sWNKEGQZI0PYS, 5656499]
[paragraph, [97.0, 932.0, 1462.0, 36.0], shoonya_0sWNKEGQZI0PYS, 5656499]
[paragraph, [97.0, 968.0, 1462.0, 36.0], shoonya_0sWNKEGQZI0PYS, 5656499]
[paragraph, [97.0, 1004.0, 1462.0, 36.0], shoonya_0sWNKEGQZI0PYS, 5656499]
[paragraph, [97.0, 1040.0, 1462.0, 36.0], shoonya_0sWNKEGQZI0PYS, 5656499]
[paragraph, [97.0, 1076.0, 1462.0, 36.0], shoonya_0sWNKEGQZI0PYS, 5656499]
[paragraph, [97.0, 1112.0, 1462.0, 36.0], shoonya_0sWNKEGQZI0PYS, 5656499]
[paragraph, [97.0, 1148.0, 1462.0, 36.0], shoonya_0sWNKEGQZI0PYS, 5656499]
[paragraph, [97.0, 1184.0, 1462.0, 36.0], shoonya_0sWNKEGQZI0PYS, 5656499]
[paragraph, [97.0, 1220.0, 1462.0, 36.0], shoonya_0sWNKEGQZI0PYS, 5656499]
[paragraph, [97.0, 1256.0, 1462.0, 36.0], shoonya_0sWNKEGQZI0PYS, 5656499]
[paragraph, [97.0, 1292.0, 1462.0, 36.0], shoonya_0sWNKEGQZI0PYS, 5656499]
[paragraph, [97.0, 1328.0, 1462.0, 36.0], shoonya_0sWNKEGQZI0PYS, 5656499]
[paragraph, [97.0, 1364.0, 1462.0, 36.0], shoonya_0sWNKEGQZI0PYS, 5656499]
[paragraph, [97.0, 1400.0, 1462.0, 36.0], shoonya_0sWNKEGQZI0PYS, 5656499]
[paragraph, [97.0, 1436.0, 1462.0, 36.0], shoonya_0sWNKEGQZI0PYS, 5656499]
[paragraph, [97.0, 1472.0, 1462.0, 36.0], shoonya_0sWNKEGQZI0PYS, 5656499]
[paragraph, [97.0, 1508.0, 1462.0, 36.0], shoonya_0sWNKEGQZI0PYS, 5656499]
[paragraph, [97.0, 1544.0, 1462.0, 36.0], shoonya_0sWNKEGQZI0PYS, 5656499]
[paragraph, [91.0, 1605.0, 1473.0, 36.0], shoonya_1sFQ5HHKOXN0JR, 5656499]
[paragraph, [91.0, 1641.0, 1473.0, 36.0], shoonya_1sFQ5HHKOXN0JR, 5656499]
[paragraph, [91.0, 1677.0, 1473.0, 36.0], shoonya_1sFQ5HHKOXN0JR, 5656499]
[paragraph, [91.0, 1713.0, 1473.0, 36.0], shoonya_1sFQ5HHKOXN0JR, 5656499]
[paragraph, [91.0, 1749.0, 1473.0, 36.0], shoonya_1sFQ5HHKOXN0JR, 5656499]
[paragraph, [91.0, 1785.0, 1473.0, 36.0], shoonya_1sFQ5HHKOXN0JR, 5656499]
[paragraph, [91.0, 1821.0, 1473.0, 36.0], shoonya_1sFQ5HHKOXN0JR, 5656499]
[paragraph, [71.0, 1891.0, 1507.0, 36.0], shoonya_3sJZHGGBL3RA7Q, 5656499]
[paragraph, [71.0, 1927.0, 1507.0, 36.0], shoonya_3sJZHGGBL3RA7Q, 5656499]
[paragraph, [71.0, 1963.0, 1507.0, 36.0], shoonya_3sJZHGGBL3RA7Q, 5656499]
[paragraph, [71.0, 1999.0, 1507.0, 36.0], shoonya_3sJZHGGBL3RA7Q, 5656499]
[paragraph, [71.0, 2035.0, 1507.0, 36.0], shoonya_3sJZHGGBL3RA7Q, 5656499]
[paragraph, [71.0, 2071.0, 1507.0, 36.0], shoonya_3sJZHGGBL3RA7Q, 5656499]
[paragraph, [71.0, 2107.0, 1507.0, 36.0], shoonya_3sJZHGGBL3RA7Q, 5656499]
[footnote, [368.0, 2264.0, 922.0, 36.0], shoonya_5sMW1VN8OFRSI1, 5656499]
