[1230, 741]
[folio, [349.0, 176.0, 120.0, 18.0], AkLDgXq2-n, 5702277]
[paragraph, [118.0, 205.0, 422.0, 18.0], lriNF4Zxfk, 5702277]
[paragraph, [118.0, 223.0, 422.0, 18.0], lriNF4Zxfk, 5702277]
[paragraph, [118.0, 241.0, 422.0, 18.0], lriNF4Zxfk, 5702277]
[paragraph, [118.0, 259.0, 422.0, 18.0], lriNF4Zxfk, 5702277]
[paragraph, [118.0, 277.0, 422.0, 18.0], lriNF4Zxfk, 5702277]
[paragraph, [118.0, 295.0, 422.0, 18.0], lriNF4Zxfk, 5702277]
[paragraph, [118.0, 313.0, 422.0, 18.0], lriNF4Zxfk, 5702277]
[paragraph, [118.0, 331.0, 422.0, 18.0], lriNF4Zxfk, 5702277]
[paragraph, [118.0, 349.0, 422.0, 18.0], lriNF4Zxfk, 5702277]
[paragraph, [118.0, 367.0, 422.0, 18.0], lriNF4Zxfk, 5702277]
[paragraph, [118.0, 385.0, 422.0, 18.0], lriNF4Zxfk, 5702277]
[paragraph, [118.0, 403.0, 422.0, 18.0], lriNF4Zxfk, 5702277]
[paragraph, [118.0, 421.0, 422.0, 18.0], lriNF4Zxfk, 5702277]
[paragraph, [118.0, 439.0, 422.0, 18.0], lriNF4Zxfk, 5702277]
[paragraph, [118.0, 457.0, 422.0, 18.0], lriNF4Zxfk, 5702277]
[paragraph, [118.0, 475.0, 422.0, 18.0], lriNF4Zxfk, 5702277]
[paragraph, [118.0, 493.0, 422.0, 18.0], lriNF4Zxfk, 5702277]
[paragraph, [118.0, 511.0, 422.0, 18.0], lriNF4Zxfk, 5702277]
[paragraph, [118.0, 529.0, 422.0, 18.0], lriNF4Zxfk, 5702277]
[paragraph, [118.0, 547.0, 422.0, 18.0], lriNF4Zxfk, 5702277]
[paragraph, [118.0, 565.0, 422.0, 18.0], lriNF4Zxfk, 5702277]
[paragraph, [118.0, 583.0, 422.0, 18.0], lriNF4Zxfk, 5702277]
[paragraph, [118.0, 601.0, 422.0, 18.0], lriNF4Zxfk, 5702277]
[paragraph, [118.0, 619.0, 422.0, 18.0], lriNF4Zxfk, 5702277]
[paragraph, [118.0, 637.0, 422.0, 18.0], lriNF4Zxfk, 5702277]
[paragraph, [118.0, 655.0, 422.0, 18.0], lriNF4Zxfk, 5702277]
[paragraph, [118.0, 673.0, 422.0, 18.0], lriNF4Zxfk, 5702277]
[paragraph, [118.0, 691.0, 422.0, 18.0], lriNF4Zxfk, 5702277]
[paragraph, [118.0, 709.0, 422.0, 18.0], lriNF4Zxfk, 5702277]
[paragraph, [118.0, 727.0, 422.0, 18.0], lriNF4Zxfk, 5702277]
[paragraph, [118.0, 745.0, 422.0, 18.0], lriNF4Zxfk, 5702277]
[paragraph, [118.0, 763.0, 422.0, 18.0], lriNF4Zxfk, 5702277]
[paragraph, [118.0, 781.0, 422.0, 18.0], lriNF4Zxfk, 5702277]
[paragraph, [118.0, 799.0, 422.0, 18.0], lriNF4Zxfk, 5702277]
[paragraph, [118.0, 817.0, 422.0, 18.0], lriNF4Zxfk, 5702277]
[paragraph, [118.0, 835.0, 422.0, 18.0], lriNF4Zxfk, 5702277]
[paragraph, [118.0, 853.0, 422.0, 18.0], lriNF4Zxfk, 5702277]
[paragraph, [118.0, 871.0, 422.0, 18.0], lriNF4Zxfk, 5702277]
[paragraph, [118.0, 889.0, 422.0, 18.0], lriNF4Zxfk, 5702277]
[paragraph, [118.0, 907.0, 422.0, 18.0], lriNF4Zxfk, 5702277]
[paragraph, [118.0, 925.0, 422.0, 18.0], lriNF4Zxfk, 5702277]
[paragraph, [118.0, 943.0, 422.0, 18.0], lriNF4Zxfk, 5702277]
[paragraph, [118.0, 961.0, 422.0, 18.0], lriNF4Zxfk, 5702277]
[paragraph, [118.0, 979.0, 422.0, 18.0], lriNF4Zxfk, 5702277]
[paragraph, [118.0, 997.0, 422.0, 18.0], lriNF4Zxfk, 5702277]
[paragraph, [118.0, 1015.0, 422.0, 18.0], lriNF4Zxfk, 5702277]
[paragraph, [118.0, 1033.0, 422.0, 18.0], lriNF4Zxfk, 5702277]
