[1226, 792]
[section-title, [199.0, 92.0, 427.0, 30.0], PSbmbf8kfg, 5701167]
[options, [110.0, 216.0, 527.0, 18.0], IfpYi1AITs, 5701167]
[options, [114.0, 269.0, 478.0, 18.0], pt_bVTiv83, 5701167]
[options, [113.0, 324.0, 314.0, 18.0], UE7lK-2nHs, 5701167]
[sub-section-title, [80.0, 379.0, 94.0, 25.5], ZlNebzTXbf, 5701167]
[paragraph, [71.0, 410.0, 676.0, 18.0], plls25nMlN, 5701167]
[paragraph, [71.0, 428.0, 676.0, 18.0], plls25nMlN, 5701167]
[paragraph, [71.0, 446.0, 676.0, 18.0], plls25nMlN, 5701167]
[paragraph, [71.0, 464.0, 676.0, 18.0], plls25nMlN, 5701167]
[paragraph, [71.0, 482.0, 676.0, 18.0], plls25nMlN, 5701167]
[paragraph, [71.0, 500.0, 676.0, 18.0], plls25nMlN, 5701167]
[paragraph, [158.0, 544.0, 315.0, 18.0], shoonya_5s7FQEWIG1G7YK, 5701167]
[paragraph, [155.0, 573.0, 393.0, 18.0], shoonya_4sVQ88URXDBXW5, 5701167]
[paragraph, [155.0, 600.0, 409.0, 18.0], shoonya_2sLEMI3R10IUDN, 5701167]
[paragraph, [155.0, 627.0, 442.0, 18.0], shoonya_1sSR91CZ2ZCNCU, 5701167]
[paragraph, [156.0, 653.0, 338.0, 18.0], shoonya_3sX3W7SIJ4GMSK, 5701167]
[paragraph, [80.0, 681.0, 631.0, 18.0], wiC8K2isq0, 5701167]
[paragraph, [80.0, 699.0, 631.0, 18.0], wiC8K2isq0, 5701167]
[paragraph, [80.0, 717.0, 631.0, 18.0], wiC8K2isq0, 5701167]
[paragraph, [72.0, 738.0, 434.0, 18.0], DZ4GNHJinn, 5701167]
[paragraph, [72.0, 756.0, 434.0, 18.0], DZ4GNHJinn, 5701167]
[paragraph, [72.0, 774.0, 434.0, 18.0], DZ4GNHJinn, 5701167]
[paragraph, [72.0, 792.0, 434.0, 18.0], DZ4GNHJinn, 5701167]
[paragraph, [108.0, 817.0, 601.0, 18.0], shoonya_6sTI2HARG9HRXZ, 5701167]
[paragraph, [77.0, 871.0, 428.0, 18.0], VE3zZZeNwy, 5701167]
[unordered-list, [98.0, 899.0, 476.0, 18.0], shoonya_0sIHQ5LJUHNZLZ, 5701167]
[unordered-list, [98.0, 917.0, 476.0, 18.0], shoonya_0sIHQ5LJUHNZLZ, 5701167]
[unordered-list, [98.0, 935.0, 476.0, 18.0], shoonya_0sIHQ5LJUHNZLZ, 5701167]
[unordered-list, [98.0, 953.0, 476.0, 18.0], shoonya_0sIHQ5LJUHNZLZ, 5701167]
[unordered-list, [98.0, 971.0, 476.0, 18.0], shoonya_0sIHQ5LJUHNZLZ, 5701167]
[unordered-list, [98.0, 989.0, 476.0, 18.0], shoonya_0sIHQ5LJUHNZLZ, 5701167]
[unordered-list, [98.0, 1007.0, 476.0, 18.0], shoonya_0sIHQ5LJUHNZLZ, 5701167]
[unordered-list, [98.0, 1025.0, 476.0, 18.0], shoonya_0sIHQ5LJUHNZLZ, 5701167]
[unordered-list, [98.0, 1043.0, 476.0, 18.0], shoonya_0sIHQ5LJUHNZLZ, 5701167]
[unordered-list, [98.0, 1061.0, 476.0, 18.0], shoonya_0sIHQ5LJUHNZLZ, 5701167]
