[1271, 871]
[paragraph, [158.0, 93.0, 646.0, 18.0], shoonya_0sMF0BTU2TM2AN, 5776064]
[paragraph, [158.0, 111.0, 646.0, 18.0], shoonya_0sMF0BTU2TM2AN, 5776064]
[paragraph, [158.0, 129.0, 646.0, 18.0], shoonya_0sMF0BTU2TM2AN, 5776064]
[paragraph, [158.0, 147.0, 646.0, 18.0], shoonya_0sMF0BTU2TM2AN, 5776064]
[paragraph, [158.0, 165.0, 646.0, 18.0], shoonya_0sMF0BTU2TM2AN, 5776064]
[paragraph, [158.0, 183.0, 646.0, 18.0], shoonya_0sMF0BTU2TM2AN, 5776064]
[paragraph, [158.0, 201.0, 646.0, 18.0], shoonya_0sMF0BTU2TM2AN, 5776064]
[paragraph, [158.0, 219.0, 646.0, 18.0], shoonya_0sMF0BTU2TM2AN, 5776064]
[paragraph, [158.0, 237.0, 646.0, 18.0], shoonya_0sMF0BTU2TM2AN, 5776064]
[paragraph, [158.0, 255.0, 646.0, 18.0], shoonya_0sMF0BTU2TM2AN, 5776064]
[paragraph, [159.0, 270.0, 647.0, 18.0], shoonya_1sUEW0S2KEWGM8, 5776064]
[paragraph, [159.0, 288.0, 647.0, 18.0], shoonya_1sUEW0S2KEWGM8, 5776064]
[paragraph, [159.0, 306.0, 647.0, 18.0], shoonya_1sUEW0S2KEWGM8, 5776064]
[paragraph, [159.0, 324.0, 647.0, 18.0], shoonya_1sUEW0S2KEWGM8, 5776064]
[paragraph, [159.0, 342.0, 647.0, 18.0], shoonya_1sUEW0S2KEWGM8, 5776064]
[paragraph, [159.0, 360.0, 647.0, 18.0], shoonya_1sUEW0S2KEWGM8, 5776064]
[paragraph, [159.0, 378.0, 647.0, 18.0], shoonya_1sUEW0S2KEWGM8, 5776064]
[paragraph, [159.0, 396.0, 647.0, 18.0], shoonya_1sUEW0S2KEWGM8, 5776064]
[paragraph, [159.0, 414.0, 647.0, 18.0], shoonya_1sUEW0S2KEWGM8, 5776064]
[paragraph, [159.0, 432.0, 647.0, 18.0], shoonya_1sUEW0S2KEWGM8, 5776064]
[paragraph, [159.0, 450.0, 647.0, 18.0], shoonya_1sUEW0S2KEWGM8, 5776064]
[paragraph, [159.0, 468.0, 647.0, 18.0], shoonya_1sUEW0S2KEWGM8, 5776064]
[paragraph, [159.0, 486.0, 647.0, 18.0], shoonya_1sUEW0S2KEWGM8, 5776064]
