[567, 454]
[paragraph, [229.0, 34.0, 187.0, 18.0], shoonya_5sZQZZ3TCR1IBL, 6460730]
[paragraph, [229.0, 52.0, 187.0, 18.0], shoonya_5sZQZZ3TCR1IBL, 6460730]
[paragraph, [229.0, 70.0, 187.0, 18.0], shoonya_5sZQZZ3TCR1IBL, 6460730]
[paragraph, [229.0, 88.0, 187.0, 18.0], shoonya_5sZQZZ3TCR1IBL, 6460730]
[paragraph, [229.0, 106.0, 187.0, 18.0], shoonya_5sZQZZ3TCR1IBL, 6460730]
[paragraph, [229.0, 124.0, 187.0, 18.0], shoonya_5sZQZZ3TCR1IBL, 6460730]
[paragraph, [232.0, 154.0, 186.0, 18.0], shoonya_0s2NLZQXOG3HIH, 6460730]
[paragraph, [232.0, 172.0, 186.0, 18.0], shoonya_0s2NLZQXOG3HIH, 6460730]
[paragraph, [232.0, 190.0, 186.0, 18.0], shoonya_0s2NLZQXOG3HIH, 6460730]
[paragraph, [232.0, 208.0, 186.0, 18.0], shoonya_0s2NLZQXOG3HIH, 6460730]
[paragraph, [232.0, 226.0, 186.0, 18.0], shoonya_0s2NLZQXOG3HIH, 6460730]
[paragraph, [230.0, 245.0, 190.0, 18.0], shoonya_2sA0ELR3OZP11N, 6460730]
[paragraph, [230.0, 263.0, 190.0, 18.0], shoonya_2sA0ELR3OZP11N, 6460730]
[paragraph, [230.0, 281.0, 190.0, 18.0], shoonya_2sA0ELR3OZP11N, 6460730]
[paragraph, [230.0, 299.0, 190.0, 18.0], shoonya_2sA0ELR3OZP11N, 6460730]
[paragraph, [230.0, 317.0, 190.0, 18.0], shoonya_2sA0ELR3OZP11N, 6460730]
[paragraph, [230.0, 335.0, 190.0, 18.0], shoonya_2sA0ELR3OZP11N, 6460730]
[paragraph, [230.0, 353.0, 190.0, 18.0], shoonya_2sA0ELR3OZP11N, 6460730]
[paragraph, [230.0, 371.0, 190.0, 18.0], shoonya_2sA0ELR3OZP11N, 6460730]
[paragraph, [230.0, 389.0, 190.0, 18.0], shoonya_2sA0ELR3OZP11N, 6460730]
[paragraph, [230.0, 407.0, 190.0, 18.0], shoonya_2sA0ELR3OZP11N, 6460730]
[paragraph, [42.0, 264.0, 189.0, 18.0], shoonya_6sWBTZUQ318CUV, 6460730]
[paragraph, [42.0, 282.0, 189.0, 18.0], shoonya_6sWBTZUQ318CUV, 6460730]
[paragraph, [42.0, 300.0, 189.0, 18.0], shoonya_6sWBTZUQ318CUV, 6460730]
[paragraph, [43.0, 337.0, 186.0, 18.0], shoonya_3sQM99SWUA61WI, 6460730]
[paragraph, [43.0, 355.0, 186.0, 18.0], shoonya_3sQM99SWUA61WI, 6460730]
[paragraph, [43.0, 373.0, 186.0, 18.0], shoonya_3sQM99SWUA61WI, 6460730]
[paragraph, [43.0, 391.0, 186.0, 18.0], shoonya_3sQM99SWUA61WI, 6460730]
[paragraph, [43.0, 409.0, 186.0, 18.0], shoonya_3sQM99SWUA61WI, 6460730]
[paragraph, [43.0, 427.0, 186.0, 18.0], shoonya_3sQM99SWUA61WI, 6460730]
[paragraph, [230.0, 429.0, 190.0, 18.0], aMRMjPQi5B, 6460730]
[paragraph, [230.0, 447.0, 190.0, 18.0], aMRMjPQi5B, 6460730]
[paragraph, [230.0, 465.0, 190.0, 18.0], aMRMjPQi5B, 6460730]
[paragraph, [230.0, 483.0, 190.0, 18.0], aMRMjPQi5B, 6460730]
[paragraph, [43.0, 450.0, 186.0, 18.0], shoonya_7sWHUU8OKVI5TX, 6460730]
[paragraph, [43.0, 468.0, 186.0, 18.0], shoonya_7sWHUU8OKVI5TX, 6460730]
[paragraph, [43.0, 486.0, 186.0, 18.0], shoonya_7sWHUU8OKVI5TX, 6460730]
[paragraph, [43.0, 504.0, 186.0, 18.0], shoonya_7sWHUU8OKVI5TX, 6460730]
[paragraph, [242.0, 506.0, 180.0, 18.0], VE9rJNYk-8, 6460730]
[folio, [359.0, 533.0, 62.0, 18.0], Unq2g_R2ut, 6460730]
