[576, 360]
[paragraph, [31.0, 61.0, 296.0, 18.0], qMXDtFqhUn, 6516631]
[paragraph, [32.0, 92.0, 295.0, 18.0], VbH9F355V_, 6516631]
[paragraph, [32.0, 110.0, 295.0, 18.0], VbH9F355V_, 6516631]
[paragraph, [33.0, 138.0, 293.0, 18.0], UQQwMjeaAA, 6516631]
[paragraph, [33.0, 156.0, 293.0, 18.0], UQQwMjeaAA, 6516631]
[paragraph, [32.0, 208.0, 297.0, 18.0], G9eLD9Sub_, 6516631]
[paragraph, [32.0, 226.0, 297.0, 18.0], G9eLD9Sub_, 6516631]
[paragraph, [32.0, 244.0, 297.0, 18.0], G9eLD9Sub_, 6516631]
[paragraph, [32.0, 262.0, 297.0, 18.0], G9eLD9Sub_, 6516631]
[paragraph, [32.0, 280.0, 297.0, 18.0], G9eLD9Sub_, 6516631]
[paragraph, [32.0, 298.0, 297.0, 18.0], G9eLD9Sub_, 6516631]
[paragraph, [32.0, 316.0, 297.0, 18.0], G9eLD9Sub_, 6516631]
[paragraph, [32.0, 334.0, 297.0, 18.0], G9eLD9Sub_, 6516631]
[paragraph, [32.0, 352.0, 297.0, 18.0], G9eLD9Sub_, 6516631]
[paragraph, [33.0, 374.0, 296.0, 18.0], shoonya_0sR4LK7158OBVY, 6516631]
[paragraph, [33.0, 392.0, 296.0, 18.0], shoonya_0sR4LK7158OBVY, 6516631]
[paragraph, [33.0, 410.0, 296.0, 18.0], shoonya_0sR4LK7158OBVY, 6516631]
[paragraph, [33.0, 428.0, 296.0, 18.0], shoonya_0sR4LK7158OBVY, 6516631]
[paragraph, [33.0, 446.0, 296.0, 18.0], shoonya_0sR4LK7158OBVY, 6516631]
[paragraph, [33.0, 464.0, 296.0, 18.0], shoonya_0sR4LK7158OBVY, 6516631]
[paragraph, [33.0, 482.0, 296.0, 18.0], shoonya_0sR4LK7158OBVY, 6516631]
[paragraph, [33.0, 500.0, 296.0, 18.0], shoonya_0sR4LK7158OBVY, 6516631]
[paragraph, [33.0, 518.0, 296.0, 18.0], shoonya_0sR4LK7158OBVY, 6516631]
