[1951, 1219]
[folio, [239.0, 121.0, 190.0, 36.0], TI2FeRHJFZ, 5682245]
[paragraph, [123.0, 210.0, 977.0, 36.0], shoonya_0sSUP5Y3AY4PVF, 5682245]
[paragraph, [123.0, 246.0, 977.0, 36.0], shoonya_0sSUP5Y3AY4PVF, 5682245]
[paragraph, [123.0, 282.0, 977.0, 36.0], shoonya_0sSUP5Y3AY4PVF, 5682245]
[paragraph, [123.0, 318.0, 977.0, 36.0], shoonya_0sSUP5Y3AY4PVF, 5682245]
[paragraph, [123.0, 354.0, 977.0, 36.0], shoonya_0sSUP5Y3AY4PVF, 5682245]
[paragraph, [123.0, 390.0, 977.0, 36.0], shoonya_0sSUP5Y3AY4PVF, 5682245]
[paragraph, [123.0, 426.0, 977.0, 36.0], shoonya_0sSUP5Y3AY4PVF, 5682245]
[paragraph, [123.0, 462.0, 977.0, 36.0], shoonya_0sSUP5Y3AY4PVF, 5682245]
[paragraph, [123.0, 498.0, 977.0, 36.0], shoonya_0sSUP5Y3AY4PVF, 5682245]
[paragraph, [123.0, 534.0, 977.0, 36.0], shoonya_0sSUP5Y3AY4PVF, 5682245]
[paragraph, [123.0, 570.0, 977.0, 36.0], shoonya_0sSUP5Y3AY4PVF, 5682245]
[paragraph, [123.0, 606.0, 977.0, 36.0], shoonya_0sSUP5Y3AY4PVF, 5682245]
[paragraph, [123.0, 642.0, 977.0, 36.0], shoonya_0sSUP5Y3AY4PVF, 5682245]
[paragraph, [123.0, 678.0, 977.0, 36.0], shoonya_0sSUP5Y3AY4PVF, 5682245]
[paragraph, [123.0, 714.0, 977.0, 36.0], shoonya_0sSUP5Y3AY4PVF, 5682245]
[paragraph, [127.0, 789.0, 966.0, 36.0], shoonya_1sK03L5T6U3VMW, 5682245]
[paragraph, [127.0, 825.0, 966.0, 36.0], shoonya_1sK03L5T6U3VMW, 5682245]
[paragraph, [127.0, 861.0, 966.0, 36.0], shoonya_1sK03L5T6U3VMW, 5682245]
[paragraph, [127.0, 897.0, 966.0, 36.0], shoonya_1sK03L5T6U3VMW, 5682245]
[paragraph, [127.0, 933.0, 966.0, 36.0], shoonya_1sK03L5T6U3VMW, 5682245]
[paragraph, [127.0, 969.0, 966.0, 36.0], shoonya_1sK03L5T6U3VMW, 5682245]
[paragraph, [127.0, 1005.0, 966.0, 36.0], shoonya_1sK03L5T6U3VMW, 5682245]
[paragraph, [127.0, 1041.0, 966.0, 36.0], shoonya_1sK03L5T6U3VMW, 5682245]
[paragraph, [127.0, 1077.0, 966.0, 36.0], shoonya_1sK03L5T6U3VMW, 5682245]
[paragraph, [127.0, 1113.0, 966.0, 36.0], shoonya_1sK03L5T6U3VMW, 5682245]
[paragraph, [127.0, 1149.0, 966.0, 36.0], shoonya_1sK03L5T6U3VMW, 5682245]
[paragraph, [127.0, 1185.0, 966.0, 36.0], shoonya_1sK03L5T6U3VMW, 5682245]
[paragraph, [129.0, 1251.0, 961.0, 36.0], rSIMVjmidP, 5682245]
[paragraph, [129.0, 1287.0, 961.0, 36.0], rSIMVjmidP, 5682245]
[paragraph, [129.0, 1323.0, 961.0, 36.0], rSIMVjmidP, 5682245]
[paragraph, [126.0, 1370.0, 963.0, 36.0], 8yWrZ8igVl, 5682245]
[paragraph, [126.0, 1406.0, 963.0, 36.0], 8yWrZ8igVl, 5682245]
[paragraph, [126.0, 1442.0, 963.0, 36.0], 8yWrZ8igVl, 5682245]
[paragraph, [217.0, 1489.0, 90.0, 36.0], mKRN0SvY7R, 5682245]
[paragraph, [212.0, 1544.0, 256.0, 36.0], Z1dzb0_nNI, 5682245]
[paragraph, [209.0, 1603.0, 636.0, 36.0], 7wzbggeHuW, 5682245]
[paragraph, [213.0, 1662.0, 270.0, 36.0], dsYYwTIyOw, 5682245]
[paragraph, [131.0, 1718.0, 958.0, 36.0], 7bFUOBf_yu, 5682245]
[paragraph, [131.0, 1754.0, 958.0, 36.0], 7bFUOBf_yu, 5682245]
[paragraph, [131.0, 1790.0, 958.0, 36.0], 7bFUOBf_yu, 5682245]
