[515, 727]
[section-title, [250.0, 85.0, 54.0, 30.0], U9Q3ck8O8D, 6532703]
[paragraph, [416.0, 93.0, 273.0, 18.0], eBgSGUAcTv, 6532703]
[paragraph, [416.0, 111.0, 273.0, 18.0], eBgSGUAcTv, 6532703]
[paragraph, [416.0, 129.0, 273.0, 18.0], eBgSGUAcTv, 6532703]
[paragraph, [416.0, 147.0, 273.0, 18.0], eBgSGUAcTv, 6532703]
[paragraph, [187.0, 147.0, 165.0, 18.0], oFenpWF73D, 6532703]
[paragraph, [187.0, 165.0, 165.0, 18.0], oFenpWF73D, 6532703]
[paragraph, [187.0, 183.0, 165.0, 18.0], oFenpWF73D, 6532703]
[paragraph, [187.0, 201.0, 165.0, 18.0], oFenpWF73D, 6532703]
[paragraph, [187.0, 219.0, 165.0, 18.0], oFenpWF73D, 6532703]
[paragraph, [187.0, 237.0, 165.0, 18.0], oFenpWF73D, 6532703]
[paragraph, [187.0, 255.0, 165.0, 18.0], oFenpWF73D, 6532703]
[paragraph, [416.0, 201.0, 272.0, 18.0], cVSBBr3V1C, 6532703]
[paragraph, [416.0, 219.0, 272.0, 18.0], cVSBBr3V1C, 6532703]
[paragraph, [416.0, 237.0, 272.0, 18.0], cVSBBr3V1C, 6532703]
[paragraph, [424.0, 300.0, 265.0, 18.0], shoonya_0s10X5977WZAHE, 6532703]
[paragraph, [424.0, 318.0, 265.0, 18.0], shoonya_0s10X5977WZAHE, 6532703]
[paragraph, [424.0, 336.0, 265.0, 18.0], shoonya_0s10X5977WZAHE, 6532703]
[paragraph, [424.0, 354.0, 265.0, 18.0], shoonya_0s10X5977WZAHE, 6532703]
[paragraph, [149.0, 321.0, 255.0, 18.0], LZBq9qx3yE, 6532703]
[paragraph, [149.0, 339.0, 255.0, 18.0], LZBq9qx3yE, 6532703]
[footnote, [139.0, 380.0, 270.0, 18.0], SYM75y0tg2, 6532703]
[footnote, [139.0, 398.0, 270.0, 18.0], SYM75y0tg2, 6532703]
