[2339, 1654]
[folio, [1327.0, 45.0, 225.0, 36.0], WT5vbNKChE, 5750422]
[paragraph, [119.0, 107.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 143.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 179.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 215.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 251.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 287.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 323.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 359.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 395.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 431.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 467.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 503.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 539.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 575.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 611.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 647.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 683.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 719.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 755.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 791.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 827.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 863.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 899.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 935.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 971.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 1007.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 1043.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 1079.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 1115.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 1151.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 1187.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 1223.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 1259.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 1295.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 1331.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 1367.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 1403.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 1439.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 1475.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 1511.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 1547.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 1583.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 1619.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 1655.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 1691.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 1727.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 1763.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 1799.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 1835.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 1871.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 1907.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 1943.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 1979.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 2015.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 2051.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 2087.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 2123.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
[paragraph, [119.0, 2159.0, 1434.0, 36.0], gcAgQPVI0x, 5750422]
