[1754, 1241]
[section-title, [320.0, 175.0, 678.0, 49.5], shoonya_0s8CNCLZHXPW9S, 6470486]
[folio, [512.0, 320.0, 286.0, 36.0], -kohzd32EI, 6470486]
[folio, [512.0, 356.0, 286.0, 36.0], -kohzd32EI, 6470486]
[contact-info, [459.0, 710.0, 381.0, 36.0], 6THxZPb3Zj, 6470486]
[contact-info, [459.0, 746.0, 381.0, 36.0], 6THxZPb3Zj, 6470486]
[paragraph, [327.0, 830.0, 666.0, 36.0], lKr6vclKLu, 6470486]
[paragraph, [520.0, 898.0, 277.0, 36.0], gGB5DCagoT, 6470486]
[contact-info, [519.0, 1145.0, 283.0, 36.0], 26iLuHVkG9, 6470486]
[contact-info, [519.0, 1181.0, 283.0, 36.0], 26iLuHVkG9, 6470486]
[contact-info, [519.0, 1217.0, 283.0, 36.0], 26iLuHVkG9, 6470486]
[contact-info, [519.0, 1253.0, 283.0, 36.0], 26iLuHVkG9, 6470486]
[contact-info, [519.0, 1289.0, 283.0, 36.0], 26iLuHVkG9, 6470486]
[contact-info, [519.0, 1325.0, 283.0, 36.0], 26iLuHVkG9, 6470486]
