[1162, 749]
[folio, [309.0, 71.0, 147.0, 18.0], shoonya_4s3K6SEL1DQGHT, 5700311]
[paragraph, [71.0, 120.0, 609.0, 18.0], shoonya_1s0WLUCMNL52Q0, 5700311]
[paragraph, [71.0, 138.0, 609.0, 18.0], shoonya_1s0WLUCMNL52Q0, 5700311]
[paragraph, [71.0, 156.0, 609.0, 18.0], shoonya_1s0WLUCMNL52Q0, 5700311]
[paragraph, [71.0, 174.0, 609.0, 18.0], shoonya_1s0WLUCMNL52Q0, 5700311]
[paragraph, [71.0, 192.0, 609.0, 18.0], shoonya_1s0WLUCMNL52Q0, 5700311]
[paragraph, [71.0, 210.0, 609.0, 18.0], shoonya_1s0WLUCMNL52Q0, 5700311]
[paragraph, [71.0, 228.0, 609.0, 18.0], shoonya_1s0WLUCMNL52Q0, 5700311]
[paragraph, [71.0, 246.0, 609.0, 18.0], shoonya_1s0WLUCMNL52Q0, 5700311]
[paragraph, [71.0, 264.0, 609.0, 18.0], shoonya_1s0WLUCMNL52Q0, 5700311]
[paragraph, [71.0, 282.0, 609.0, 18.0], shoonya_1s0WLUCMNL52Q0, 5700311]
[paragraph, [71.0, 300.0, 609.0, 18.0], shoonya_1s0WLUCMNL52Q0, 5700311]
[paragraph, [71.0, 318.0, 609.0, 18.0], shoonya_1s0WLUCMNL52Q0, 5700311]
[paragraph, [71.0, 336.0, 609.0, 18.0], shoonya_1s0WLUCMNL52Q0, 5700311]
[paragraph, [71.0, 354.0, 609.0, 18.0], shoonya_1s0WLUCMNL52Q0, 5700311]
[paragraph, [71.0, 372.0, 609.0, 18.0], shoonya_1s0WLUCMNL52Q0, 5700311]
[paragraph, [71.0, 390.0, 609.0, 18.0], shoonya_1s0WLUCMNL52Q0, 5700311]
[paragraph, [71.0, 408.0, 609.0, 18.0], shoonya_1s0WLUCMNL52Q0, 5700311]
[paragraph, [71.0, 426.0, 609.0, 18.0], shoonya_1s0WLUCMNL52Q0, 5700311]
[paragraph, [71.0, 444.0, 609.0, 18.0], shoonya_1s0WLUCMNL52Q0, 5700311]
[paragraph, [70.0, 468.0, 609.0, 18.0], shoonya_0s3BDYU11CPNNP, 5700311]
[paragraph, [70.0, 486.0, 609.0, 18.0], shoonya_0s3BDYU11CPNNP, 5700311]
[paragraph, [70.0, 504.0, 609.0, 18.0], shoonya_0s3BDYU11CPNNP, 5700311]
[paragraph, [70.0, 522.0, 609.0, 18.0], shoonya_0s3BDYU11CPNNP, 5700311]
[paragraph, [70.0, 540.0, 609.0, 18.0], shoonya_0s3BDYU11CPNNP, 5700311]
[paragraph, [70.0, 558.0, 609.0, 18.0], shoonya_0s3BDYU11CPNNP, 5700311]
[paragraph, [70.0, 576.0, 609.0, 18.0], shoonya_0s3BDYU11CPNNP, 5700311]
[paragraph, [70.0, 594.0, 609.0, 18.0], shoonya_0s3BDYU11CPNNP, 5700311]
[paragraph, [70.0, 612.0, 609.0, 18.0], shoonya_0s3BDYU11CPNNP, 5700311]
[paragraph, [70.0, 630.0, 609.0, 18.0], shoonya_0s3BDYU11CPNNP, 5700311]
[paragraph, [70.0, 648.0, 609.0, 18.0], shoonya_0s3BDYU11CPNNP, 5700311]
[paragraph, [69.0, 677.0, 610.0, 18.0], shoonya_2sZPFKLV3G2QIA, 5700311]
[paragraph, [69.0, 695.0, 610.0, 18.0], shoonya_2sZPFKLV3G2QIA, 5700311]
[paragraph, [69.0, 713.0, 610.0, 18.0], shoonya_2sZPFKLV3G2QIA, 5700311]
[paragraph, [69.0, 731.0, 610.0, 18.0], shoonya_2sZPFKLV3G2QIA, 5700311]
[paragraph, [69.0, 749.0, 610.0, 18.0], shoonya_2sZPFKLV3G2QIA, 5700311]
[paragraph, [69.0, 767.0, 610.0, 18.0], shoonya_2sZPFKLV3G2QIA, 5700311]
[paragraph, [69.0, 785.0, 610.0, 18.0], shoonya_2sZPFKLV3G2QIA, 5700311]
[paragraph, [69.0, 803.0, 610.0, 18.0], shoonya_2sZPFKLV3G2QIA, 5700311]
[paragraph, [69.0, 821.0, 610.0, 18.0], shoonya_2sZPFKLV3G2QIA, 5700311]
[paragraph, [69.0, 839.0, 610.0, 18.0], shoonya_2sZPFKLV3G2QIA, 5700311]
[paragraph, [69.0, 857.0, 610.0, 18.0], shoonya_2sZPFKLV3G2QIA, 5700311]
[paragraph, [69.0, 875.0, 610.0, 18.0], shoonya_2sZPFKLV3G2QIA, 5700311]
[paragraph, [69.0, 893.0, 610.0, 18.0], shoonya_2sZPFKLV3G2QIA, 5700311]
[paragraph, [69.0, 911.0, 610.0, 18.0], shoonya_2sZPFKLV3G2QIA, 5700311]
[paragraph, [65.0, 951.0, 616.0, 18.0], shoonya_3sMMA9BHFXJWIT, 5700311]
[paragraph, [65.0, 969.0, 616.0, 18.0], shoonya_3sMMA9BHFXJWIT, 5700311]
[paragraph, [65.0, 987.0, 616.0, 18.0], shoonya_3sMMA9BHFXJWIT, 5700311]
[paragraph, [65.0, 1005.0, 616.0, 18.0], shoonya_3sMMA9BHFXJWIT, 5700311]
[paragraph, [65.0, 1023.0, 616.0, 18.0], shoonya_3sMMA9BHFXJWIT, 5700311]
[paragraph, [65.0, 1041.0, 616.0, 18.0], shoonya_3sMMA9BHFXJWIT, 5700311]
[paragraph, [65.0, 1059.0, 616.0, 18.0], shoonya_3sMMA9BHFXJWIT, 5700311]
[paragraph, [65.0, 1077.0, 616.0, 18.0], shoonya_3sMMA9BHFXJWIT, 5700311]
