[2230, 1630]
[paragraph, [201.0, 230.0, 1301.0, 36.0], TvaGoOiatu, 5757754]
[paragraph, [201.0, 266.0, 1301.0, 36.0], TvaGoOiatu, 5757754]
[paragraph, [201.0, 302.0, 1301.0, 36.0], TvaGoOiatu, 5757754]
[paragraph, [201.0, 338.0, 1301.0, 36.0], TvaGoOiatu, 5757754]
[paragraph, [201.0, 374.0, 1301.0, 36.0], TvaGoOiatu, 5757754]
[paragraph, [201.0, 410.0, 1301.0, 36.0], TvaGoOiatu, 5757754]
[paragraph, [201.0, 446.0, 1301.0, 36.0], TvaGoOiatu, 5757754]
[paragraph, [201.0, 482.0, 1301.0, 36.0], TvaGoOiatu, 5757754]
[paragraph, [201.0, 518.0, 1301.0, 36.0], TvaGoOiatu, 5757754]
[paragraph, [201.0, 554.0, 1301.0, 36.0], TvaGoOiatu, 5757754]
[paragraph, [201.0, 590.0, 1301.0, 36.0], TvaGoOiatu, 5757754]
[paragraph, [201.0, 626.0, 1301.0, 36.0], TvaGoOiatu, 5757754]
[paragraph, [201.0, 662.0, 1301.0, 36.0], TvaGoOiatu, 5757754]
[paragraph, [201.0, 698.0, 1301.0, 36.0], TvaGoOiatu, 5757754]
[paragraph, [201.0, 734.0, 1301.0, 36.0], TvaGoOiatu, 5757754]
[paragraph, [169.0, 1238.0, 1270.0, 36.0], hW95uRu-Va, 5757754]
[paragraph, [169.0, 1274.0, 1270.0, 36.0], hW95uRu-Va, 5757754]
[paragraph, [169.0, 1310.0, 1270.0, 36.0], hW95uRu-Va, 5757754]
[paragraph, [169.0, 1346.0, 1270.0, 36.0], hW95uRu-Va, 5757754]
[paragraph, [169.0, 1382.0, 1270.0, 36.0], hW95uRu-Va, 5757754]
[paragraph, [169.0, 1418.0, 1270.0, 36.0], hW95uRu-Va, 5757754]
[paragraph, [169.0, 1454.0, 1270.0, 36.0], hW95uRu-Va, 5757754]
[paragraph, [169.0, 1490.0, 1270.0, 36.0], hW95uRu-Va, 5757754]
[paragraph, [169.0, 1526.0, 1270.0, 36.0], hW95uRu-Va, 5757754]
[paragraph, [169.0, 1562.0, 1270.0, 36.0], hW95uRu-Va, 5757754]
[paragraph, [169.0, 1598.0, 1270.0, 36.0], hW95uRu-Va, 5757754]
[paragraph, [169.0, 1634.0, 1270.0, 36.0], hW95uRu-Va, 5757754]
[paragraph, [169.0, 1670.0, 1270.0, 36.0], hW95uRu-Va, 5757754]
[paragraph, [169.0, 1706.0, 1270.0, 36.0], hW95uRu-Va, 5757754]
[paragraph, [169.0, 1742.0, 1270.0, 36.0], hW95uRu-Va, 5757754]
