[690, 512]
[folio, [204.0, 43.0, 93.0, 18.0], W4_lzPWD_c, 6491766]
[headline, [187.0, 75.0, 129.0, 25.5], shoonya_5sI0N5KG2XITRQ, 6491766]
[author, [358.0, 103.0, 100.0, 18.0], uijNBjyto3, 6491766]
[paragraph, [257.0, 134.0, 210.0, 18.0], shoonya_2sJ2Z9Y058K36D, 6491766]
[paragraph, [257.0, 152.0, 210.0, 18.0], shoonya_2sJ2Z9Y058K36D, 6491766]
[paragraph, [257.0, 170.0, 210.0, 18.0], shoonya_2sJ2Z9Y058K36D, 6491766]
[paragraph, [257.0, 188.0, 210.0, 18.0], shoonya_2sJ2Z9Y058K36D, 6491766]
[paragraph, [257.0, 206.0, 210.0, 18.0], shoonya_2sJ2Z9Y058K36D, 6491766]
[paragraph, [257.0, 224.0, 210.0, 18.0], shoonya_2sJ2Z9Y058K36D, 6491766]
[paragraph, [257.0, 242.0, 210.0, 18.0], shoonya_2sJ2Z9Y058K36D, 6491766]
[paragraph, [257.0, 260.0, 210.0, 18.0], shoonya_2sJ2Z9Y058K36D, 6491766]
[paragraph, [257.0, 278.0, 210.0, 18.0], shoonya_2sJ2Z9Y058K36D, 6491766]
[paragraph, [257.0, 296.0, 210.0, 18.0], shoonya_2sJ2Z9Y058K36D, 6491766]
[paragraph, [257.0, 314.0, 210.0, 18.0], shoonya_2sJ2Z9Y058K36D, 6491766]
[paragraph, [33.0, 136.0, 211.0, 18.0], shoonya_0sV2AWWH4KZCEQ, 6491766]
[paragraph, [33.0, 154.0, 211.0, 18.0], shoonya_0sV2AWWH4KZCEQ, 6491766]
[paragraph, [33.0, 172.0, 211.0, 18.0], shoonya_0sV2AWWH4KZCEQ, 6491766]
[paragraph, [33.0, 190.0, 211.0, 18.0], shoonya_0sV2AWWH4KZCEQ, 6491766]
[paragraph, [33.0, 208.0, 211.0, 18.0], shoonya_0sV2AWWH4KZCEQ, 6491766]
[paragraph, [33.0, 226.0, 211.0, 18.0], shoonya_0sV2AWWH4KZCEQ, 6491766]
[paragraph, [33.0, 244.0, 211.0, 18.0], shoonya_0sV2AWWH4KZCEQ, 6491766]
[paragraph, [33.0, 262.0, 211.0, 18.0], shoonya_0sV2AWWH4KZCEQ, 6491766]
[paragraph, [33.0, 280.0, 211.0, 18.0], shoonya_0sV2AWWH4KZCEQ, 6491766]
[paragraph, [33.0, 298.0, 211.0, 18.0], shoonya_0sV2AWWH4KZCEQ, 6491766]
[paragraph, [33.0, 316.0, 211.0, 18.0], shoonya_0sV2AWWH4KZCEQ, 6491766]
[paragraph, [33.0, 334.0, 211.0, 18.0], shoonya_0sV2AWWH4KZCEQ, 6491766]
[paragraph, [33.0, 352.0, 211.0, 18.0], shoonya_0sV2AWWH4KZCEQ, 6491766]
[paragraph, [33.0, 370.0, 211.0, 18.0], shoonya_0sV2AWWH4KZCEQ, 6491766]
[paragraph, [33.0, 388.0, 211.0, 18.0], shoonya_0sV2AWWH4KZCEQ, 6491766]
[paragraph, [33.0, 406.0, 211.0, 18.0], shoonya_0sV2AWWH4KZCEQ, 6491766]
[paragraph, [33.0, 424.0, 211.0, 18.0], shoonya_0sV2AWWH4KZCEQ, 6491766]
[paragraph, [33.0, 442.0, 211.0, 18.0], shoonya_0sV2AWWH4KZCEQ, 6491766]
[paragraph, [33.0, 460.0, 211.0, 18.0], shoonya_0sV2AWWH4KZCEQ, 6491766]
[paragraph, [33.0, 478.0, 211.0, 18.0], shoonya_0sV2AWWH4KZCEQ, 6491766]
[paragraph, [254.0, 351.0, 214.0, 18.0], shoonya_1sWM70475VBD4W, 6491766]
[paragraph, [254.0, 369.0, 214.0, 18.0], shoonya_1sWM70475VBD4W, 6491766]
[paragraph, [254.0, 387.0, 214.0, 18.0], shoonya_1sWM70475VBD4W, 6491766]
[paragraph, [254.0, 405.0, 214.0, 18.0], shoonya_1sWM70475VBD4W, 6491766]
[paragraph, [254.0, 423.0, 214.0, 18.0], shoonya_1sWM70475VBD4W, 6491766]
[paragraph, [254.0, 441.0, 214.0, 18.0], shoonya_1sWM70475VBD4W, 6491766]
