[792, 612]
[folio, [250.0, 61.0, 97.0, 18.0], iGxsc1GdtN, 6493353]
[paragraph, [90.0, 95.0, 417.0, 18.0], 4lBO2wYyRL, 6493353]
[paragraph, [90.0, 113.0, 417.0, 18.0], 4lBO2wYyRL, 6493353]
[paragraph, [90.0, 131.0, 417.0, 18.0], 4lBO2wYyRL, 6493353]
[paragraph, [90.0, 149.0, 417.0, 18.0], 4lBO2wYyRL, 6493353]
[paragraph, [90.0, 167.0, 417.0, 18.0], 4lBO2wYyRL, 6493353]
[paragraph, [90.0, 185.0, 417.0, 18.0], 4lBO2wYyRL, 6493353]
[paragraph, [89.0, 218.0, 420.0, 18.0], 6dsu9xu6LV, 6493353]
[paragraph, [89.0, 236.0, 420.0, 18.0], 6dsu9xu6LV, 6493353]
[paragraph, [89.0, 254.0, 420.0, 18.0], 6dsu9xu6LV, 6493353]
[paragraph, [89.0, 272.0, 420.0, 18.0], 6dsu9xu6LV, 6493353]
[paragraph, [89.0, 290.0, 420.0, 18.0], 6dsu9xu6LV, 6493353]
[paragraph, [89.0, 308.0, 420.0, 18.0], 6dsu9xu6LV, 6493353]
[paragraph, [89.0, 326.0, 420.0, 18.0], 6dsu9xu6LV, 6493353]
[paragraph, [89.0, 344.0, 420.0, 18.0], 6dsu9xu6LV, 6493353]
[paragraph, [89.0, 362.0, 420.0, 18.0], 6dsu9xu6LV, 6493353]
[paragraph, [89.0, 380.0, 420.0, 18.0], 6dsu9xu6LV, 6493353]
[paragraph, [89.0, 398.0, 420.0, 18.0], 6dsu9xu6LV, 6493353]
[paragraph, [89.0, 416.0, 420.0, 18.0], 6dsu9xu6LV, 6493353]
[paragraph, [89.0, 434.0, 420.0, 18.0], 6dsu9xu6LV, 6493353]
[paragraph, [89.0, 452.0, 420.0, 18.0], 6dsu9xu6LV, 6493353]
[paragraph, [89.0, 470.0, 420.0, 18.0], 6dsu9xu6LV, 6493353]
[paragraph, [102.0, 548.0, 410.0, 18.0], MS4FZrwh_U, 6493353]
[paragraph, [102.0, 566.0, 410.0, 18.0], MS4FZrwh_U, 6493353]
[paragraph, [100.0, 595.0, 416.0, 18.0], 8eYT27-HJx, 6493353]
[paragraph, [100.0, 613.0, 416.0, 18.0], 8eYT27-HJx, 6493353]
[paragraph, [100.0, 631.0, 416.0, 18.0], 8eYT27-HJx, 6493353]
[paragraph, [100.0, 649.0, 416.0, 18.0], 8eYT27-HJx, 6493353]
[paragraph, [100.0, 667.0, 416.0, 18.0], 8eYT27-HJx, 6493353]
[paragraph, [100.0, 685.0, 416.0, 18.0], 8eYT27-HJx, 6493353]
[paragraph, [100.0, 703.0, 416.0, 18.0], 8eYT27-HJx, 6493353]
[paragraph, [100.0, 721.0, 416.0, 18.0], 8eYT27-HJx, 6493353]
