[1388, 886]
[folio, [638.0, 64.0, 200.0, 18.0], shoonya_4sSVUSDYLUO5P2, 5742991]
[folio, [372.0, 65.0, 134.0, 18.0], JeiHCfZ05d, 5742991]
[folio, [372.0, 83.0, 134.0, 18.0], JeiHCfZ05d, 5742991]
[paragraph, [452.0, 120.0, 398.0, 18.0], shoonya_1sVC4CB8G2W4OJ, 5742991]
[paragraph, [452.0, 138.0, 398.0, 18.0], shoonya_1sVC4CB8G2W4OJ, 5742991]
[paragraph, [452.0, 156.0, 398.0, 18.0], shoonya_1sVC4CB8G2W4OJ, 5742991]
[paragraph, [452.0, 174.0, 398.0, 18.0], shoonya_1sVC4CB8G2W4OJ, 5742991]
[paragraph, [452.0, 192.0, 398.0, 18.0], shoonya_1sVC4CB8G2W4OJ, 5742991]
[paragraph, [452.0, 210.0, 398.0, 18.0], shoonya_1sVC4CB8G2W4OJ, 5742991]
[paragraph, [452.0, 228.0, 398.0, 18.0], shoonya_1sVC4CB8G2W4OJ, 5742991]
[paragraph, [452.0, 246.0, 398.0, 18.0], shoonya_1sVC4CB8G2W4OJ, 5742991]
[paragraph, [452.0, 264.0, 398.0, 18.0], shoonya_1sVC4CB8G2W4OJ, 5742991]
[paragraph, [452.0, 282.0, 398.0, 18.0], shoonya_1sVC4CB8G2W4OJ, 5742991]
[paragraph, [452.0, 300.0, 398.0, 18.0], shoonya_1sVC4CB8G2W4OJ, 5742991]
[paragraph, [452.0, 318.0, 398.0, 18.0], shoonya_1sVC4CB8G2W4OJ, 5742991]
[paragraph, [452.0, 336.0, 398.0, 18.0], shoonya_1sVC4CB8G2W4OJ, 5742991]
[paragraph, [452.0, 354.0, 398.0, 18.0], shoonya_1sVC4CB8G2W4OJ, 5742991]
[paragraph, [452.0, 372.0, 398.0, 18.0], shoonya_1sVC4CB8G2W4OJ, 5742991]
[paragraph, [452.0, 390.0, 398.0, 18.0], shoonya_1sVC4CB8G2W4OJ, 5742991]
[paragraph, [452.0, 408.0, 398.0, 18.0], shoonya_1sVC4CB8G2W4OJ, 5742991]
[paragraph, [452.0, 426.0, 398.0, 18.0], shoonya_1sVC4CB8G2W4OJ, 5742991]
[paragraph, [452.0, 444.0, 398.0, 18.0], shoonya_1sVC4CB8G2W4OJ, 5742991]
[paragraph, [452.0, 462.0, 398.0, 18.0], shoonya_1sVC4CB8G2W4OJ, 5742991]
[paragraph, [452.0, 480.0, 398.0, 18.0], shoonya_1sVC4CB8G2W4OJ, 5742991]
[paragraph, [452.0, 498.0, 398.0, 18.0], shoonya_1sVC4CB8G2W4OJ, 5742991]
[paragraph, [452.0, 516.0, 398.0, 18.0], shoonya_1sVC4CB8G2W4OJ, 5742991]
[paragraph, [452.0, 534.0, 398.0, 18.0], shoonya_1sVC4CB8G2W4OJ, 5742991]
[paragraph, [452.0, 552.0, 398.0, 18.0], shoonya_1sVC4CB8G2W4OJ, 5742991]
[paragraph, [452.0, 570.0, 398.0, 18.0], shoonya_1sVC4CB8G2W4OJ, 5742991]
[paragraph, [452.0, 588.0, 398.0, 18.0], shoonya_1sVC4CB8G2W4OJ, 5742991]
[paragraph, [452.0, 606.0, 398.0, 18.0], shoonya_1sVC4CB8G2W4OJ, 5742991]
[paragraph, [452.0, 624.0, 398.0, 18.0], shoonya_1sVC4CB8G2W4OJ, 5742991]
[paragraph, [452.0, 642.0, 398.0, 18.0], shoonya_1sVC4CB8G2W4OJ, 5742991]
[paragraph, [452.0, 660.0, 398.0, 18.0], shoonya_1sVC4CB8G2W4OJ, 5742991]
[paragraph, [452.0, 678.0, 398.0, 18.0], shoonya_1sVC4CB8G2W4OJ, 5742991]
[paragraph, [452.0, 696.0, 398.0, 18.0], shoonya_1sVC4CB8G2W4OJ, 5742991]
[paragraph, [452.0, 714.0, 398.0, 18.0], shoonya_1sVC4CB8G2W4OJ, 5742991]
[paragraph, [452.0, 732.0, 398.0, 18.0], shoonya_1sVC4CB8G2W4OJ, 5742991]
[paragraph, [452.0, 750.0, 398.0, 18.0], shoonya_1sVC4CB8G2W4OJ, 5742991]
[paragraph, [452.0, 768.0, 398.0, 18.0], shoonya_1sVC4CB8G2W4OJ, 5742991]
[paragraph, [452.0, 786.0, 398.0, 18.0], shoonya_1sVC4CB8G2W4OJ, 5742991]
[paragraph, [452.0, 804.0, 398.0, 18.0], shoonya_1sVC4CB8G2W4OJ, 5742991]
[paragraph, [452.0, 822.0, 398.0, 18.0], shoonya_1sVC4CB8G2W4OJ, 5742991]
[paragraph, [452.0, 840.0, 398.0, 18.0], shoonya_1sVC4CB8G2W4OJ, 5742991]
[paragraph, [452.0, 858.0, 398.0, 18.0], shoonya_1sVC4CB8G2W4OJ, 5742991]
[paragraph, [31.0, 123.0, 397.0, 18.0], shoonya_0s6FBK5ACP75GN, 5742991]
