[2040, 1457]
[paragraph, [248.0, 151.0, 1108.0, 36.0], RuCTokkj7D, 5652383]
[paragraph, [248.0, 187.0, 1108.0, 36.0], RuCTokkj7D, 5652383]
[paragraph, [248.0, 223.0, 1108.0, 36.0], RuCTokkj7D, 5652383]
[section-title, [319.0, 308.0, 965.0, 52.5], Mhwjh2HBl8, 5652383]
[section-title, [319.0, 360.5, 965.0, 52.5], Mhwjh2HBl8, 5652383]
[paragraph, [250.0, 505.0, 1089.0, 36.0], shoonya_3s07JQQNC7552V, 5652383]
[paragraph, [250.0, 541.0, 1089.0, 36.0], shoonya_3s07JQQNC7552V, 5652383]
[paragraph, [250.0, 577.0, 1089.0, 36.0], shoonya_3s07JQQNC7552V, 5652383]
[paragraph, [250.0, 613.0, 1089.0, 36.0], shoonya_3s07JQQNC7552V, 5652383]
[paragraph, [250.0, 649.0, 1089.0, 36.0], shoonya_3s07JQQNC7552V, 5652383]
[paragraph, [250.0, 685.0, 1089.0, 36.0], shoonya_3s07JQQNC7552V, 5652383]
[paragraph, [250.0, 721.0, 1089.0, 36.0], shoonya_3s07JQQNC7552V, 5652383]
[paragraph, [247.0, 804.0, 1090.0, 36.0], shoonya_1sICM255E6KLWI, 5652383]
[paragraph, [247.0, 840.0, 1090.0, 36.0], shoonya_1sICM255E6KLWI, 5652383]
[paragraph, [247.0, 876.0, 1090.0, 36.0], shoonya_1sICM255E6KLWI, 5652383]
[paragraph, [247.0, 912.0, 1090.0, 36.0], shoonya_1sICM255E6KLWI, 5652383]
[paragraph, [247.0, 948.0, 1090.0, 36.0], shoonya_1sICM255E6KLWI, 5652383]
[paragraph, [247.0, 984.0, 1090.0, 36.0], shoonya_1sICM255E6KLWI, 5652383]
[paragraph, [247.0, 1020.0, 1090.0, 36.0], shoonya_1sICM255E6KLWI, 5652383]
[paragraph, [247.0, 1056.0, 1090.0, 36.0], shoonya_1sICM255E6KLWI, 5652383]
[paragraph, [247.0, 1092.0, 1090.0, 36.0], shoonya_1sICM255E6KLWI, 5652383]
[paragraph, [247.0, 1128.0, 1090.0, 36.0], shoonya_1sICM255E6KLWI, 5652383]
[paragraph, [253.0, 1331.0, 1089.0, 36.0], shoonya_0sBRXSDZME6QIX, 5652383]
[paragraph, [253.0, 1367.0, 1089.0, 36.0], shoonya_0sBRXSDZME6QIX, 5652383]
[paragraph, [253.0, 1403.0, 1089.0, 36.0], shoonya_0sBRXSDZME6QIX, 5652383]
[paragraph, [253.0, 1439.0, 1089.0, 36.0], shoonya_0sBRXSDZME6QIX, 5652383]
[paragraph, [253.0, 1475.0, 1089.0, 36.0], shoonya_0sBRXSDZME6QIX, 5652383]
[paragraph, [253.0, 1511.0, 1089.0, 36.0], shoonya_0sBRXSDZME6QIX, 5652383]
[paragraph, [253.0, 1547.0, 1089.0, 36.0], shoonya_0sBRXSDZME6QIX, 5652383]
[paragraph, [253.0, 1583.0, 1089.0, 36.0], shoonya_0sBRXSDZME6QIX, 5652383]
[paragraph, [253.0, 1619.0, 1089.0, 36.0], shoonya_0sBRXSDZME6QIX, 5652383]
[paragraph, [253.0, 1655.0, 1089.0, 36.0], shoonya_0sBRXSDZME6QIX, 5652383]
[paragraph, [253.0, 1691.0, 1089.0, 36.0], shoonya_0sBRXSDZME6QIX, 5652383]
[paragraph, [253.0, 1727.0, 1089.0, 36.0], shoonya_0sBRXSDZME6QIX, 5652383]
[footnote, [248.0, 1815.0, 1091.0, 36.0], yF0qZRmEjJ, 5652383]
[footnote, [248.0, 1851.0, 1091.0, 36.0], yF0qZRmEjJ, 5652383]
[footnote, [248.0, 1887.0, 1091.0, 36.0], yF0qZRmEjJ, 5652383]
