[2000, 1400]
[section-title, [338.0, 130.0, 753.0, 52.5], _Z4vz_4apx, 5758485]
[section-title, [338.0, 182.5, 753.0, 52.5], _Z4vz_4apx, 5758485]
[sidebar, [160.0, 355.0, 306.0, 36.0], DUhSQQ4HhS, 5758485]
[sidebar, [160.0, 391.0, 306.0, 36.0], DUhSQQ4HhS, 5758485]
[sidebar, [160.0, 427.0, 306.0, 36.0], DUhSQQ4HhS, 5758485]
[sidebar, [160.0, 463.0, 306.0, 36.0], DUhSQQ4HhS, 5758485]
[sidebar, [160.0, 499.0, 306.0, 36.0], DUhSQQ4HhS, 5758485]
[sidebar, [160.0, 535.0, 306.0, 36.0], DUhSQQ4HhS, 5758485]
[sidebar, [160.0, 571.0, 306.0, 36.0], DUhSQQ4HhS, 5758485]
[sidebar, [160.0, 607.0, 306.0, 36.0], DUhSQQ4HhS, 5758485]
[sidebar, [160.0, 643.0, 306.0, 36.0], DUhSQQ4HhS, 5758485]
[sidebar, [160.0, 679.0, 306.0, 36.0], DUhSQQ4HhS, 5758485]
[sidebar, [160.0, 715.0, 306.0, 36.0], DUhSQQ4HhS, 5758485]
[sidebar, [160.0, 751.0, 306.0, 36.0], DUhSQQ4HhS, 5758485]
[sidebar, [160.0, 787.0, 306.0, 36.0], DUhSQQ4HhS, 5758485]
[sidebar, [160.0, 823.0, 306.0, 36.0], DUhSQQ4HhS, 5758485]
[sidebar, [160.0, 859.0, 306.0, 36.0], DUhSQQ4HhS, 5758485]
[sidebar, [160.0, 895.0, 306.0, 36.0], DUhSQQ4HhS, 5758485]
[sidebar, [160.0, 931.0, 306.0, 36.0], DUhSQQ4HhS, 5758485]
[sidebar, [160.0, 967.0, 306.0, 36.0], DUhSQQ4HhS, 5758485]
[sidebar, [160.0, 1003.0, 306.0, 36.0], DUhSQQ4HhS, 5758485]
[sidebar, [160.0, 1039.0, 306.0, 36.0], DUhSQQ4HhS, 5758485]
[sidebar, [160.0, 1075.0, 306.0, 36.0], DUhSQQ4HhS, 5758485]
[sidebar, [160.0, 1111.0, 306.0, 36.0], DUhSQQ4HhS, 5758485]
[sidebar, [160.0, 1147.0, 306.0, 36.0], DUhSQQ4HhS, 5758485]
[sidebar, [160.0, 1183.0, 306.0, 36.0], DUhSQQ4HhS, 5758485]
[sidebar, [160.0, 1219.0, 306.0, 36.0], DUhSQQ4HhS, 5758485]
[sidebar, [160.0, 1255.0, 306.0, 36.0], DUhSQQ4HhS, 5758485]
[sidebar, [160.0, 1291.0, 306.0, 36.0], DUhSQQ4HhS, 5758485]
[sidebar, [160.0, 1327.0, 306.0, 36.0], DUhSQQ4HhS, 5758485]
[paragraph, [492.0, 356.0, 738.0, 36.0], shoonya_0sFBG4BS75EZ9K, 5758485]
[paragraph, [492.0, 392.0, 738.0, 36.0], shoonya_0sFBG4BS75EZ9K, 5758485]
[paragraph, [492.0, 428.0, 738.0, 36.0], shoonya_0sFBG4BS75EZ9K, 5758485]
[paragraph, [485.0, 602.0, 715.0, 36.0], wYdE--lhQB, 5758485]
[paragraph, [485.0, 638.0, 715.0, 36.0], wYdE--lhQB, 5758485]
[paragraph, [485.0, 674.0, 715.0, 36.0], wYdE--lhQB, 5758485]
[figure-caption, [996.0, 967.0, 119.0, 36.0], f7hB_iF8gy, 5758485]
[figure-caption, [1063.0, 1200.0, 153.0, 36.0], b7rbWWix8G, 5758485]
[figure-caption, [1063.0, 1236.0, 153.0, 36.0], b7rbWWix8G, 5758485]
[figure-caption, [776.0, 1217.0, 246.0, 36.0], VtnfSWsZwm, 5758485]
[figure-caption, [501.0, 1247.0, 265.0, 36.0], WNFOvtURoz, 5758485]
[figure-caption, [1044.0, 1501.0, 235.0, 36.0], 7IXKxW2Q2k, 5758485]
[figure-caption, [1044.0, 1537.0, 235.0, 36.0], 7IXKxW2Q2k, 5758485]
[figure-caption, [464.0, 1510.0, 227.0, 36.0], DtswkhdgLR, 5758485]
[figure-caption, [464.0, 1546.0, 227.0, 36.0], DtswkhdgLR, 5758485]
[figure-caption, [773.0, 1510.0, 209.0, 36.0], EfqMHSQvZW, 5758485]
[figure-caption, [1049.0, 1732.0, 244.0, 36.0], XJwFQIWLgy, 5758485]
[figure-caption, [507.0, 1783.0, 207.0, 36.0], GM5n7HPlwo, 5758485]
[figure-caption, [250.0, 1788.0, 191.0, 36.0], aaIlrDRhAr, 5758485]
[figure-caption, [250.0, 1824.0, 191.0, 36.0], aaIlrDRhAr, 5758485]
[figure-caption, [808.0, 1792.0, 125.0, 36.0], nMyLv1qRZv, 5758485]
