[1755, 1240]
[paragraph, [195.0, 206.0, 926.0, 36.0], aexjjRRFwF, 5743484]
[paragraph, [195.0, 242.0, 926.0, 36.0], aexjjRRFwF, 5743484]
[paragraph, [196.0, 306.0, 929.0, 36.0], shoonya_3s468RZV3JJ60L, 5743484]
[paragraph, [196.0, 342.0, 929.0, 36.0], shoonya_3s468RZV3JJ60L, 5743484]
[paragraph, [196.0, 378.0, 929.0, 36.0], shoonya_3s468RZV3JJ60L, 5743484]
[paragraph, [196.0, 414.0, 929.0, 36.0], shoonya_3s468RZV3JJ60L, 5743484]
[paragraph, [195.0, 465.0, 929.0, 36.0], YNC-z-nFY7, 5743484]
[paragraph, [195.0, 501.0, 929.0, 36.0], YNC-z-nFY7, 5743484]
[paragraph, [195.0, 537.0, 929.0, 36.0], YNC-z-nFY7, 5743484]
[paragraph, [195.0, 573.0, 929.0, 36.0], YNC-z-nFY7, 5743484]
[paragraph, [195.0, 609.0, 929.0, 36.0], YNC-z-nFY7, 5743484]
[paragraph, [195.0, 645.0, 929.0, 36.0], YNC-z-nFY7, 5743484]
[paragraph, [195.0, 681.0, 929.0, 36.0], YNC-z-nFY7, 5743484]
[paragraph, [195.0, 717.0, 929.0, 36.0], YNC-z-nFY7, 5743484]
[paragraph, [195.0, 753.0, 929.0, 36.0], YNC-z-nFY7, 5743484]
[paragraph, [195.0, 789.0, 929.0, 36.0], YNC-z-nFY7, 5743484]
[paragraph, [195.0, 825.0, 929.0, 36.0], YNC-z-nFY7, 5743484]
[paragraph, [195.0, 861.0, 929.0, 36.0], YNC-z-nFY7, 5743484]
[paragraph, [195.0, 897.0, 929.0, 36.0], YNC-z-nFY7, 5743484]
[paragraph, [195.0, 933.0, 929.0, 36.0], YNC-z-nFY7, 5743484]
[paragraph, [195.0, 969.0, 929.0, 36.0], YNC-z-nFY7, 5743484]
[paragraph, [195.0, 1005.0, 929.0, 36.0], YNC-z-nFY7, 5743484]
[paragraph, [195.0, 1041.0, 929.0, 36.0], YNC-z-nFY7, 5743484]
[paragraph, [195.0, 1077.0, 929.0, 36.0], YNC-z-nFY7, 5743484]
[paragraph, [195.0, 1113.0, 929.0, 36.0], YNC-z-nFY7, 5743484]
[paragraph, [195.0, 1149.0, 929.0, 36.0], YNC-z-nFY7, 5743484]
[paragraph, [195.0, 1185.0, 929.0, 36.0], YNC-z-nFY7, 5743484]
[paragraph, [195.0, 1221.0, 929.0, 36.0], YNC-z-nFY7, 5743484]
[paragraph, [199.0, 1300.0, 931.0, 36.0], shoonya_1s6POXU3DLKGBL, 5743484]
[paragraph, [199.0, 1336.0, 931.0, 36.0], shoonya_1s6POXU3DLKGBL, 5743484]
[paragraph, [199.0, 1372.0, 931.0, 36.0], shoonya_1s6POXU3DLKGBL, 5743484]
[paragraph, [199.0, 1408.0, 931.0, 36.0], shoonya_1s6POXU3DLKGBL, 5743484]
[paragraph, [199.0, 1444.0, 931.0, 36.0], shoonya_1s6POXU3DLKGBL, 5743484]
[paragraph, [199.0, 1480.0, 931.0, 36.0], shoonya_1s6POXU3DLKGBL, 5743484]
[paragraph, [199.0, 1516.0, 931.0, 36.0], shoonya_1s6POXU3DLKGBL, 5743484]
[paragraph, [199.0, 1552.0, 931.0, 36.0], shoonya_1s6POXU3DLKGBL, 5743484]
