[596, 393]
[section-title, [156.0, 37.0, 84.0, 30.0], RhrIJMaaoL, 6532716]
[paragraph, [78.0, 94.0, 237.0, 18.0], shoonya_0sLO62443N768Z, 6532716]
[paragraph, [78.0, 112.0, 237.0, 18.0], shoonya_0sLO62443N768Z, 6532716]
[paragraph, [78.0, 130.0, 237.0, 18.0], shoonya_0sLO62443N768Z, 6532716]
[paragraph, [78.0, 148.0, 237.0, 18.0], shoonya_0sLO62443N768Z, 6532716]
[paragraph, [78.0, 166.0, 237.0, 18.0], shoonya_0sLO62443N768Z, 6532716]
[paragraph, [78.0, 184.0, 237.0, 18.0], shoonya_0sLO62443N768Z, 6532716]
[paragraph, [78.0, 202.0, 237.0, 18.0], shoonya_0sLO62443N768Z, 6532716]
[paragraph, [78.0, 220.0, 237.0, 18.0], shoonya_0sLO62443N768Z, 6532716]
[paragraph, [78.0, 238.0, 237.0, 18.0], shoonya_0sLO62443N768Z, 6532716]
[paragraph, [78.0, 256.0, 237.0, 18.0], shoonya_0sLO62443N768Z, 6532716]
[paragraph, [78.0, 274.0, 237.0, 18.0], shoonya_0sLO62443N768Z, 6532716]
[paragraph, [78.0, 292.0, 237.0, 18.0], shoonya_0sLO62443N768Z, 6532716]
[paragraph, [78.0, 310.0, 237.0, 18.0], shoonya_0sLO62443N768Z, 6532716]
