[1650, 1275]
[paragraph, [133.0, 148.0, 1009.0, 36.0], LbLZhu63Np, 5704151]
[paragraph, [133.0, 184.0, 1009.0, 36.0], LbLZhu63Np, 5704151]
[paragraph, [133.0, 220.0, 1009.0, 36.0], LbLZhu63Np, 5704151]
[paragraph, [133.0, 256.0, 1009.0, 36.0], LbLZhu63Np, 5704151]
[paragraph, [133.0, 292.0, 1009.0, 36.0], LbLZhu63Np, 5704151]
[paragraph, [133.0, 328.0, 1009.0, 36.0], LbLZhu63Np, 5704151]
[paragraph, [133.0, 364.0, 1009.0, 36.0], LbLZhu63Np, 5704151]
[paragraph, [133.0, 400.0, 1009.0, 36.0], LbLZhu63Np, 5704151]
[paragraph, [133.0, 436.0, 1009.0, 36.0], LbLZhu63Np, 5704151]
[paragraph, [133.0, 472.0, 1009.0, 36.0], LbLZhu63Np, 5704151]
[paragraph, [133.0, 508.0, 1009.0, 36.0], LbLZhu63Np, 5704151]
[paragraph, [133.0, 544.0, 1009.0, 36.0], LbLZhu63Np, 5704151]
[paragraph, [133.0, 580.0, 1009.0, 36.0], LbLZhu63Np, 5704151]
[paragraph, [133.0, 616.0, 1009.0, 36.0], LbLZhu63Np, 5704151]
[paragraph, [133.0, 652.0, 1009.0, 36.0], LbLZhu63Np, 5704151]
[paragraph, [133.0, 688.0, 1009.0, 36.0], LbLZhu63Np, 5704151]
[paragraph, [133.0, 724.0, 1009.0, 36.0], LbLZhu63Np, 5704151]
[paragraph, [133.0, 760.0, 1009.0, 36.0], LbLZhu63Np, 5704151]
[paragraph, [133.0, 796.0, 1009.0, 36.0], LbLZhu63Np, 5704151]
[paragraph, [133.0, 832.0, 1009.0, 36.0], LbLZhu63Np, 5704151]
[paragraph, [133.0, 868.0, 1009.0, 36.0], LbLZhu63Np, 5704151]
[paragraph, [133.0, 904.0, 1009.0, 36.0], LbLZhu63Np, 5704151]
[paragraph, [133.0, 940.0, 1009.0, 36.0], LbLZhu63Np, 5704151]
[paragraph, [133.0, 976.0, 1009.0, 36.0], LbLZhu63Np, 5704151]
[paragraph, [133.0, 1012.0, 1009.0, 36.0], LbLZhu63Np, 5704151]
[paragraph, [142.0, 1094.0, 990.0, 36.0], shoonya_0sCHKOK9ILYV66, 5704151]
[paragraph, [142.0, 1130.0, 990.0, 36.0], shoonya_0sCHKOK9ILYV66, 5704151]
[paragraph, [142.0, 1166.0, 990.0, 36.0], shoonya_0sCHKOK9ILYV66, 5704151]
[paragraph, [142.0, 1202.0, 990.0, 36.0], shoonya_0sCHKOK9ILYV66, 5704151]
[paragraph, [142.0, 1238.0, 990.0, 36.0], shoonya_0sCHKOK9ILYV66, 5704151]
[paragraph, [142.0, 1274.0, 990.0, 36.0], shoonya_0sCHKOK9ILYV66, 5704151]
[paragraph, [142.0, 1310.0, 990.0, 36.0], shoonya_0sCHKOK9ILYV66, 5704151]
[paragraph, [142.0, 1346.0, 990.0, 36.0], shoonya_0sCHKOK9ILYV66, 5704151]
[paragraph, [142.0, 1382.0, 990.0, 36.0], shoonya_0sCHKOK9ILYV66, 5704151]
